Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Балезинская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151					
1	"Число избирателей, внесенных в списки"	28491	2056	942	1907	931	1643	1573	1559	721	1672	370	484	289	533	120	668	114	433	167	254	396	355	125	399	124	246	495	376	543	480	223	463	387	131	422	212	413	139	281	418	381	732	572	295	326	220	656	161	1649	178	79	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	25902	1810	860	1700	880	1480	1440	1390	650	1510	345	435	265	480	108	585	102	380	161	225	350	320	115	350	130	215	445	335	510	435	210	420	350	119	375	185	375	128	258	420	340	655	510	275	290	204	600	152	1580	200	85	160					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18360	1077	498	1121	460	947	914	842	375	864	278	362	215	372	105	527	88	327	139	177	258	235	101	285	105	194	288	206	361	220	116	335	259	105	301	170	331	99	215	334	254	571	397	202	223	137	434	117	1469	140	67	143					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1462	17	21	17	39	22	17	23	17	10	30	21	14	14	0	16	0	46	4	4	35	44	4	59	7	0	28	60	50	125	46	32	38	0	41	6	0	19	29	42	76	34	62	59	17	43	72	27	29	24	7	15					
6	Число погашенных бюллетеней	6079	716	341	562	381	511	509	524	258	636	37	52	36	94	3	42	14	7	18	44	57	41	10	6	18	21	129	69	99	90	48	53	53	14	33	9	44	10	14	44	10	50	51	14	50	24	94	8	82	36	11	2					
7	Число бюллетеней в переносных ящиках для голосования	1462	17	21	17	39	22	17	23	17	10	30	21	14	14	0	16	0	46	4	4	35	44	4	59	7	0	28	60	50	125	46	32	38	0	41	6	0	19	29	42	76	34	62	59	17	43	72	27	29	24	7	15					
8	Число бюллетеней в стационарных ящиках для голосования	18356	1077	498	1121	460	947	914	841	375	864	278	362	215	372	105	527	88	327	139	177	258	235	101	285	105	194	288	206	361	220	116	335	259	105	301	170	331	99	215	334	254	571	397	202	223	137	434	117	1466	140	67	143					
9	Число недействительных бюллетеней	347	17	12	17	14	13	19	16	9	9	7	5	5	5	0	9	3	7	7	0	10	7	0	4	1	3	2	2	10	10	7	17	1	2	4	7	9	5	0	16	11	8	8	3	1	2	5	1	5	5	0	7					
10	Число действительных бюллетеней	19471	1077	507	1121	485	956	912	848	383	865	301	378	224	381	105	534	85	366	136	181	283	272	105	340	111	191	314	264	401	335	155	350	296	103	338	169	322	113	244	360	319	597	451	258	239	178	501	143	1490	159	74	151					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	459	20	15	20	15	20	20	20	10	20	20	10	5	8	3	8	3	8	5	5	5	5	2	7	3	3	8	7	18	8	8	8	5	2	5	4	5	3	5	5	5	10	10	5	5	4	10	3	50	0	2	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	223	10	5	12	3	5	13	9	0	16	20	10	5	3	0	3	0	2	0	0	4	2	0	7	1	1	4	4	10	2	7	7	1	0	0	1	3	1	1	1	3	4	7	3	3	2	8	1	19	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	177	8	9	11	2	3	8	6	1	6	8	6	6	6	1	8	2	5	2	0	1	3	1	4	4	1	4	5	1	5	0	2	2	1	2	1	3	2	1	1	4	2	5	0	1	1	3	4	4	7	1	3					
14	Число погашенных открепительных удостоверений	236	10	10	8	12	15	7	11	10	4	0	0	0	5	3	5	3	6	5	5	1	3	2	0	2	2	4	3	8	6	1	1	4	2	5	3	2	2	4	4	2	6	3	2	2	2	2	2	31	0	2	4					
15	Число открепительных удостоверений выданных ТИК	18	2	1	2	3	0	1	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	304	19	5	11	10	11	8	11	7	9	13	6	2	3	0	12	0	5	5	2	13	5	0	4	4	4	6	6	4	4	1	13	3	0	2	1	5	2	0	5	2	14	11	3	2	2	9	6	26	2	2	4					
