Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Назаровская городская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590					
1	"Число избирателей, внесенных в списки"	43940	1156	2180	2265	2277	2042	2060	2467	2365	2495	2834	2608	2335	2404	2723	2844	1797	2351	2473	2102	162					
2	"Число бюллетеней, полученных участковыми комиссиями"	42980	1110	2150	2220	2230	2020	2000	2430	2340	2450	2830	2530	2300	2350	2650	2760	1750	2270	2420	2030	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21443	539	866	1200	1223	1054	1084	1215	1277	1425	1437	1230	1172	970	1335	1243	718	941	1553	961	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	766	51	33	20	11	28	23	37	21	30	20	13	19	10	35	39	84	71	40	43	138					
6	Число погашенных бюллетеней	20771	520	1251	1000	996	938	893	1178	1042	995	1373	1287	1109	1370	1280	1478	948	1258	827	1026	2					
7	Число бюллетеней в переносных ящиках для голосования	766	51	33	20	11	28	23	37	21	30	20	13	19	10	35	39	84	71	40	43	138					
8	Число бюллетеней в стационарных ящиках для голосования	21405	539	866	1198	1223	1051	1084	1215	1256	1425	1437	1230	1172	970	1335	1243	718	941	1541	961	0					
9	Число недействительных бюллетеней	338	10	17	19	18	15	13	30	18	13	16	20	30	15	29	19	11	16	13	11	5					
10	Число действительных бюллетеней	21833	580	882	1199	1216	1064	1094	1222	1259	1442	1441	1223	1161	965	1341	1263	791	996	1568	993	133					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	570	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	226	9	11	15	12	14	12	14	18	17	14	11	7	16	14	12	5	9	10	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	0	0	3	4	3	3	2	3	2	1	0	5	1	4	2	2	3	9	7	2					
14	Число погашенных открепительных удостоверений	344	21	19	15	18	16	18	16	12	13	16	19	23	14	16	18	25	21	20	24	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
