Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Петровская 																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №929	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981					
1	"Число избирателей, внесенных в списки"	59860	1638	1145	1884	1222	2022	1533	1358	1548	1120	1178	1405	1608	948	2289	1840	1709	2092	2474	1479	608	218	1355	1667	1429	334	1726	1700	1417	1501	2735	2027	1651	2300	1450	1995	1218	1782	1651	314	290					
2	"Число бюллетеней, полученных участковыми комиссиями"	57690	1500	1100	1800	1100	2000	1500	1300	1500	1000	1100	1300	1500	920	2200	1700	1700	2000	2400	1400	610	210	1300	1600	1400	340	1700	1700	1400	1500	2700	1800	1600	2300	1400	2000	1200	1700	1600	310	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26547	630	525	836	529	903	663	564	768	450	468	673	690	442	967	828	825	905	1073	620	328	128	542	706	577	196	778	673	635	548	1233	869	693	1029	604	837	544	794	1046	236	192					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1459	123	11	32	28	51	30	22	35	19	49	38	16	8	138	18	24	80	42	25	19	9	16	41	26	24	36	49	38	44	62	23	25	87	88	17	11	30	20	2	3					
6	Число погашенных бюллетеней	29684	747	564	932	543	1046	807	714	697	531	583	589	794	470	1095	854	851	1015	1285	755	263	73	742	853	797	120	886	978	727	908	1405	908	882	1184	708	1146	645	876	534	72	105					
7	Число бюллетеней в переносных ящиках для голосования	1459	123	11	32	28	51	30	22	35	19	49	38	16	8	138	18	24	80	42	25	19	9	16	41	26	24	36	49	38	44	62	23	25	87	88	17	11	30	20	2	3					
8	Число бюллетеней в стационарных ящиках для голосования	26548	630	525	834	529	903	663	564	768	450	468	673	690	442	967	828	829	905	1073	620	328	128	542	706	577	196	778	673	635	548	1233	869	693	1029	603	837	544	794	1046	236	192					
9	Число недействительных бюллетеней	587	28	3	13	11	21	13	12	22	12	5	11	16	10	9	18	7	13	4	25	12	2	16	24	10	12	16	14	23	9	30	14	21	30	16	18	12	17	21	2	15					
10	Число действительных бюллетеней	27420	725	533	853	546	933	680	574	781	457	512	700	690	440	1096	828	846	972	1111	620	335	135	542	723	593	208	798	708	650	583	1265	878	697	1086	675	836	543	807	1045	236	180					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	460	15	10	20	10	15	10	10	10	10	10	10	10	15	15	15	15	15	15	10	5	5	10	15	10	5	10	10	10	10	15	15	15	15	10	15	5	15	15	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	158	2	3	7	3	11	3	3	2	0	6	6	3	6	7	5	8	10	7	6	1	0	4	0	2	0	2	3	2	6	8	3	4	5	5	4	2	1	7	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	0	6	10	1	3	2	1	2	4	1	4	2	2	5	4	7	3	1	0	1	1	1	2	0	1	0	2	1	24	47	1	2	0	0	1	2	1	2	3	4					
14	Число погашенных открепительных удостоверений	295	13	7	13	7	4	7	7	8	10	4	4	7	9	8	10	7	5	8	4	4	5	6	15	8	5	8	7	8	2	2	12	11	10	5	11	3	14	8	5	4					
15	Число открепительных удостоверений выданных ТИК	39	2	0	4	0	1	2	1	1	0	1	0	0	1	2	0	2	2	0	3	1	0	1	1	0	0	1	3	1	0	0	1	0	5	1	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	353	13	8	8	6	11	7	3	9	8	8	7	5	7	9	8	6	13	11	5	13	0	10	9	7	5	10	11	9	2	15	12	8	17	15	7	5	13	18	15	0					
		1.26%	1.72%	1.49%	0.92%	1.07%	1.15%	1.01%	0.51%	1.12%	1.70%	1.54%	0.98%	0.70%	1.55%	0.81%	0.94%	0.70%	1.31%	0.98%	0.77%	3.74%	0.0%	1.79%	1.20%	1.16%	2.27%	1.22%	1.52%	1.33%	0.33%	1.15%	1.34%	1.11%	1.52%	2.17%	0.81%	0.90%	1.57%	1.68%	6.30%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	293	8	5	11	1	14	7	9	8	4	8	3	8	17	21	13	15	16	17	7	2	0	3	4	5	3	8	4	7	0	7	11	11	8	1	3	4	9	8	0	3					
		1.04%	1.06%	0.93%	1.27%	0.17%	1.46%	1.01%	1.53%	0.99%	0.85%	1.54%	0.42%	1.13%	3.77%	1.90%	1.53%	1.75%	1.62%	1.52%	1.08%	0.57%	0.0%	0.53%	0.53%	0.82%	1.36%	0.98%	0.55%	1.04%	0.0%	0.54%	1.23%	1.53%	0.71%	0.14%	0.35%	0.72%	1.09%	0.75%	0.0%	1.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1075	39	16	31	26	44	36	40	24	12	20	20	17	8	53	40	37	57	36	12	12	6	33	21	16	5	17	23	31	22	48	34	27	42	48	40	17	25	30	5	5					
		3.83%	5.17%	2.98%	3.57%	4.66%	4.61%	5.19%	6.82%	2.98%	2.55%	3.86%	2.81%	2.40%	1.77%	4.79%	4.72%	4.33%	5.78%	3.22%	1.86%	3.45%	4.37%	5.91%	2.81%	2.65%	2.27%	2.08%	3.18%	4.60%	3.71%	3.70%	3.81%	3.76%	3.76%	6.94%	4.68%	3.06%	3.03%	2.81%	2.10%	2.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	655	17	17	33	23	29	10	7	15	14	9	10	24	22	47	56	35	40	42	13	2	1	4	8	5	4	11	6	9	2	17	12	14	13	9	12	3	14	35	5	6					
		2.33%	2.25%	3.17%	3.81%	4.12%	3.03%	1.44%	1.19%	1.86%	2.98%	1.74%	1.40%	3.39%	4.88%	4.25%	6.61%	4.10%	4.06%	3.76%	2.01%	0.57%	0.72%	0.71%	1.07%	0.82%	1.81%	1.35%	0.83%	1.33%	0.33%	1.31%	1.34%	1.94%	1.16%	1.30%	1.40%	0.54%	1.69%	3.28%	2.10%	3.07%					
22	"5. ""За Русь Святую"""	174	6	4	1	5	2	6	0	3	3	2	2	5	6	11	2	4	6	3	0	4	1	1	6	2	0	1	6	2	2	13	18	9	5	4	5	1	2	15	3	3					
		0.62%	0.79%	0.74%	0.11%	0.89%	0.20%	0.86%	0.0%	0.37%	0.63%	0.38%	0.28%	0.70%	1.33%	0.99%	0.23%	0.46%	0.60%	0.26%	0.0%	1.15%	0.72%	0.17%	0.80%	0.33%	0.0%	0.12%	0.83%	0.29%	0.33%	1.00%	2.01%	1.25%	0.44%	0.57%	0.58%	0.18%	0.24%	1.40%	1.26%	1.53%					
23	"6. ""Объединенная Российская партия ""Русь"""	73	0	2	3	2	2	5	0	1	0	2	2	1	0	0	2	1	5	3	6	1	0	2	0	1	2	0	0	2	4	3	4	1	3	1	2	3	3	3	0	1					
