Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Сапожковская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8749	1958	1959	1673	229	189	251	141	327	172	106	171	190	203	262	81	625	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8450	1900	1900	1600	230	180	250	130	320	170	100	170	190	200	250	70	600	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3592	907	848	636	61	74	72	54	132	69	52	33	55	68	153	30	277	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1086	155	135	288	44	32	31	34	40	23	9	47	57	27	23	20	92	29									
6	Число погашенных избирательных бюллетеней	3772	838	917	676	125	74	147	42	148	78	39	90	78	105	74	20	231	90									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1086	155	135	288	44	32	31	34	40	23	9	47	57	27	23	20	92	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3592	907	848	636	61	74	72	54	132	69	52	33	55	68	153	30	277	71									
9	Число недействительных избирательных бюллетеней	64	10	24	18	3	1	3	0	0	1	0	1	0	1	2	0	0	0									
10	Число действительных избирательных бюллетеней	4614	1052	959	906	102	105	100	88	172	91	61	79	112	94	174	50	369	100									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	28	28	26	5	5	5	3	6	4	3	4	5	5	5	2	9	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	12	12	7	1	0	2	0	1	0	3	0	0	0	4	0	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	9	8	5	0	2	2	3	2	3	0	0	3	1	1	0	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	101	16	16	19	4	5	3	3	5	4	0	4	5	5	1	2	6	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	7	14	8	2	0	1	0	1	1	1	1	0	1	4	1	0	0									
		0.90%	0.66%	1.42%	0.87%	1.90%	0.00%	0.97%	0.00%	0.58%	1.09%	1.64%	1.25%	0.00%	1.05%	2.27%	2.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	16	25	31	1	1	2	0	1	2	0	0	3	2	3	2	3	7									
		2.12%	1.51%	2.54%	3.35%	0.95%	0.94%	1.94%	0.00%	0.58%	2.17%	0.00%	0.00%	2.68%	2.11%	1.70%	4.00%	0.81%	7.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	21	9	14	6	2	1	0	3	3	0	2	4	0	2	2	3	1									
		1.56%	1.98%	0.92%	1.52%	5.71%	1.89%	0.97%	0.00%	1.74%	3.26%	0.00%	2.50%	3.57%	0.00%	1.14%	4.00%	0.81%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3034	659	592	566	44	73	77	73	120	60	36	59	69	73	132	29	332	40									
		64.86%	62.05%	60.22%	61.26%	41.90%	68.87%	74.76%	82.95%	69.77%	65.22%	59.02%	73.75%	61.61%	76.84%	75.00%	58.00%	89.97%	40.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	2	2	10	1	0	0	0	1	1	0	0	1	0	1	0	0	1									
		0.43%	0.19%	0.20%	1.08%	0.95%	0.00%	0.00%	0.00%	0.58%	1.09%	0.00%	0.00%	0.89%	0.00%	0.57%	0.00%	0.00%	1.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.41%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	622	165	152	138	17	9	13	8	20	14	14	3	20	8	13	7	10	11									
		13.30%	15.54%	15.46%	14.94%	16.19%	8.49%	12.62%	9.09%	11.63%	15.22%	22.95%	3.75%	17.86%	8.42%	7.39%	14.00%	2.71%	11.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	3	7	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0									
		0.36%	0.28%	0.71%	0.11%	0.00%	0.94%	0.00%	1.14%	0.58%	0.00%	1.64%	0.00%	0.89%	0.00%	0.00%	2.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	3	2	3	0	0	0	0	0	0	0	0	2	0	2	0	0	1									
