Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Пермь, Свердловская"																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	165127	2575	2572	2671	2686	2476	2225	2879	1607	1770	2190	1340	2446	1722	1907	1697	1581	1297	1903	1428	1457	1038	1923	1990	1592	1365	1129	1264	2241	1623	1614	1554	1363	2068	2258	1953	2276	1905	2074	1881	1971	1868	1733	2263	1588	2637	2055	1758	1982	1962	2398	1853	1790	2167	1622	2536	1519	2099	1436	2156	1782	1592	1421	1914	2573	670	2692	2643	2214	2252	1965	2308	1834	2745	2594	2717	2826	1655	2204	1418	887	1261	2631	2623	2352	64	108	61	27	66	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136125	2100	2100	2200	2200	2100	1800	2400	1300	1300	1800	1100	1900	1400	1600	1300	1300	1000	1600	1200	1200	900	1600	1600	1300	1100	900	1100	1800	1300	1300	1300	1200	1700	1900	1600	1900	1600	1700	1600	1600	1600	1400	1900	1600	2200	1700	1500	1600	1600	2000	1500	1500	1700	1400	2100	1300	1700	1200	1800	1500	1300	1200	1600	2100	600	2200	2200	1800	1900	1600	1900	1500	2200	2100	2200	2300	1400	1800	1200	700	1000	2100	2100	1900	100	100	100	50	75	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55087	807	815	936	1025	878	833	921	649	838	910	499	949	678	775	585	653	531	698	415	452	393	723	672	601	471	515	493	749	586	515	515	528	821	744	708	658	707	669	538	594	598	439	647	494	815	563	598	691	693	794	557	465	659	538	693	490	758	269	735	520	474	380	584	681	190	768	849	620	613	615	748	567	993	898	987	938	554	669	415	254	433	708	861	850	64	81	61	25	56	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	691	12	8	3	7	9	15	11	1	4	3	15	22	10	16	7	13	5	16	6	4	11	5	8	1	5	5	8	7	8	6	4	7	8	3	5	3	7	7	6	20	15	8	1	2	11	16	8	1	2	5	3	4	54	2	5	13	7	2	6	7	3	2	4	12	18	4	3	5	8	2	10	9	14	13	15	1	10	24	15	2	1	13	4	6	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	80345	1281	1277	1261	1168	1213	952	1468	650	458	887	586	929	712	809	708	634	464	886	779	744	496	872	920	698	624	380	599	1044	706	779	781	665	871	1153	887	1239	886	1024	1056	986	987	953	1252	1104	1372	1121	894	908	905	1201	940	1031	987	860	1402	797	935	929	1059	973	823	818	1012	1407	392	1428	1348	1175	1279	983	1142	924	1193	1189	1198	1361	836	1107	770	444	566	1379	1235	1044	36	19	39	25	19	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	691	12	8	3	7	9	15	11	1	4	3	15	22	10	16	7	13	5	16	6	4	11	5	8	1	5	5	8	7	8	6	4	7	8	3	5	3	7	7	6	20	15	8	1	2	11	16	8	1	2	5	3	4	54	2	5	13	7	2	6	7	3	2	4	12	18	4	3	5	8	2	10	9	14	13	15	1	10	24	15	2	1	13	4	6	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54878	807	814	936	1025	878	818	920	649	838	828	497	947	676	774	585	653	529	682	415	452	393	723	672	601	471	515	491	749	581	509	513	528	821	744	708	658	707	669	538	594	598	439	643	494	813	557	598	690	691	791	557	465	656	538	691	489	756	269	735	520	474	380	584	681	190	768	846	620	613	615	748	566	993	893	969	936	554	669	400	254	433	708	861	850	64	81	61	25	56	88									
9	Число недействительных избирательных бюллетеней	2340	16	36	44	12	34	40	32	21	22	28	26	26	19	24	21	22	15	12	19	23	16	20	14	11	19	13	21	22	19	18	21	24	59	25	37	20	31	26	30	46	37	28	45	16	39	23	24	35	19	46	26	19	33	40	27	40	40	7	34	40	49	22	32	45	10	33	25	39	29	34	29	25	54	42	39	40	22	13	20	10	11	31	27	43	1	1	1	1	3	7									
10	Число действительных избирательных бюллетеней	53229	803	786	895	1020	853	793	899	629	820	803	486	943	667	766	571	644	519	686	402	433	388	708	666	591	457	507	478	734	570	497	496	511	770	722	676	641	683	650	514	568	576	419	599	480	785	550	582	656	674	750	534	450	677	500	669	462	723	264	707	487	428	360	556	648	198	739	824	586	592	583	729	550	953	864	945	897	542	680	395	246	423	690	838	813	63	80	60	24	53	81									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4200	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1770	33	37	32	35	32	24	44	24	25	21	32	18	23	29	19	27	11	48	10	16	6	36	20	20	11	18	21	24	26	20	27	18	34	23	13	13	24	22	14	15	31	10	20	21	22	22	14	14	24	22	18	15	19	9	25	9	12	9	18	15	6	4	13	17	2	24	28	19	22	21	25	32	35	29	37	37	21	27	10	7	9	14	15	22	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1823	10	10	2	10	5	61	5	97	164	15	4	155	51	39	103	12	58	8	7	15	24	29	4	6	2	27	17	86	27	0	27	63	46	30	26	20	4	9	12	12	7	11	13	8	3	9	8	2	5	2	9	5	5	0	14	2	9	16	4	2	6	0	4	17	2	19	33	20	29	16	18	3	51	10	11	6	7	12	13	22	13	7	10	20	11	4	9	5	4	5									
