Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Минусинская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57968	2059	2208	2762	2977	1905	244	2597	2015	2150	2375	2544	2672	2152	2063	2419	2356	2318	2595	2531	2194	1948	2367	2004	298	2201	2121	1893									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51950	1750	2000	2500	2600	1750	400	2350	1800	2000	2200	2350	2450	1950	1800	2250	2200	2100	2200	2000	2000	1750	2150	1850	400	1900	1550	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22369	800	735	962	1060	606	244	809	698	949	867	759	1062	718	546	927	934	1053	1080	1072	956	882	1033	931	1	904	1154	627									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	778	17	17	24	15	22	0	16	18	13	10	3	8	15	183	13	25	27	10	39	14	11	12	17	204	23	4	18									
6	Число погашенных избирательных бюллетеней	28803	933	1248	1514	1525	1122	156	1525	1084	1038	1323	1588	1380	1217	1071	1310	1241	1020	1110	889	1030	857	1105	902	195	973	392	1055									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	777	17	17	24	15	22	0	16	18	13	10	3	8	15	182	13	25	27	10	39	14	11	12	17	204	23	4	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22332	800	735	962	1060	604	243	809	698	949	867	757	1052	717	542	927	934	1051	1080	1069	955	882	1029	931	1	901	1150	627									
9	Число недействительных избирательных бюллетеней	617	29	19	25	33	13	9	19	22	13	30	25	31	19	28	12	23	21	42	25	22	17	23	46	14	23	20	14									
10	Число действительных избирательных бюллетеней	22492	788	733	961	1042	613	234	806	694	949	847	735	1029	713	696	928	936	1057	1048	1083	947	876	1018	902	191	901	1134	631									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	944	35	35	35	55	35	0	38	35	35	35	41	35	35	25	35	35	35	50	45	35	40	35	35	0	40	50	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	764	22	30	33	46	20	0	38	25	31	31	36	25	31	17	20	33	27	47	35	33	40	32	15	0	35	40	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	388	11	11	11	16	8	75	24	9	10	10	5	17	9	10	17	13	12	4	10	22	8	27	16	1	8	8	16									
14	Число погашенных неиспользованных открепительных удостоверений	180	13	5	2	9	15	0	0	10	4	4	5	10	4	8	15	2	8	3	10	2	0	3	20	0	5	10	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	4	3	1	2	2	0	1	1	2	0	2	2	0	1	2	4	5	1	2	2	0	1	2	0	4	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	311	10	11	18	8	7	2	11	5	12	11	11	20	12	12	14	9	16	7	16	19	16	15	9	3	16	15	6									
		1.35%	1.22%	1.46%	1.83%	0.74%	1.12%	0.82%	1.33%	0.70%	1.25%	1.25%	1.45%	1.89%	1.64%	1.66%	1.49%	0.94%	1.48%	0.64%	1.44%	1.96%	1.79%	1.44%	0.95%	1.46%	1.73%	1.30%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	714	24	19	39	38	17	4	26	20	21	27	23	26	26	21	27	46	39	32	41	26	33	28	36	9	25	24	17									
		3.09%	2.94%	2.53%	3.96%	3.53%	2.72%	1.65%	3.15%	2.79%	2.18%	3.08%	3.03%	2.45%	3.55%	2.90%	2.87%	4.80%	3.62%	2.94%	3.70%	2.68%	3.70%	2.69%	3.80%	4.39%	2.71%	2.08%	2.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	509	10	11	23	19	14	4	6	22	27	24	12	19	22	21	27	24	21	15	20	22	20	33	19	7	25	31	11									
		2.20%	1.22%	1.46%	2.33%	1.77%	2.24%	1.65%	0.73%	3.07%	2.81%	2.74%	1.58%	1.79%	3.01%	2.90%	2.87%	2.50%	1.95%	1.38%	1.81%	2.27%	2.24%	3.17%	2.00%	3.41%	2.71%	2.69%	1.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8988	297	341	370	411	287	161	327	297	345	339	297	438	283	289	369	367	389	361	424	331	315	404	370	81	350	466	279									
		38.89%	36.35%	45.35%	37.53%	38.23%	45.85%	66.26%	39.64%	41.48%	35.86%	38.65%	39.08%	41.32%	38.66%	39.92%	39.26%	38.27%	36.09%	33.12%	38.27%	34.16%	35.27%	38.81%	39.03%	39.51%	37.88%	40.38%	43.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	203	10	5	6	10	5	3	2	5	8	4	6	10	8	6	5	7	10	12	16	11	15	17	3	1	5	8	5									
		0.88%	1.22%	0.66%	0.61%	0.93%	0.80%	1.23%	0.24%	0.70%	0.83%	0.46%	0.79%	0.94%	1.09%	0.83%	0.53%	0.73%	0.93%	1.10%	1.44%	1.14%	1.68%	1.63%	0.32%	0.49%	0.54%	0.69%	0.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	0	1	0	7	0	0	0	3	1	1	5	5	1	2	1	2	4	0	2	3	1	1	1	0	0	2	1									
		0.19%	0.00%	0.13%	0.00%	0.65%	0.00%	0.00%	0.00%	0.42%	0.10%	0.11%	0.66%	0.47%	0.14%	0.28%	0.11%	0.21%	0.37%	0.00%	0.18%	0.31%	0.11%	0.10%	0.11%	0.00%	0.00%	0.17%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4400	194	137	219	242	105	36	173	148	172	154	189	190	142	137	157	183	177	196	168	173	160	174	208	40	160	212	154									
		19.04%	23.75%	18.22%	22.21%	22.51%	16.77%	14.81%	20.97%	20.67%	17.88%	17.56%	24.87%	17.92%	19.40%	18.92%	16.70%	19.08%	16.42%	17.98%	15.16%	17.85%	17.92%	16.71%	21.94%	19.51%	17.32%	18.37%	23.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	175	7	11	10	4	5	0	7	4	7	5	6	11	6	7	6	6	8	7	6	8	8	5	3	3	9	11	5									
		0.76%	0.86%	1.46%	1.01%	0.37%	0.80%	0.00%	0.85%	0.56%	0.73%	0.57%	0.79%	1.04%	0.82%	0.97%	0.64%	0.63%	0.74%	0.64%	0.54%	0.83%	0.90%	0.48%	0.32%	1.46%	0.97%	0.95%	0.78%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	229	11	6	10	10	4	1	6	6	19	6	7	17	8	9	8	4	6	9	7	11	13	17	7	0	7	14	6									
		0.99%	1.35%	0.80%	1.01%	0.93%	0.64%	0.41%	0.73%	0.84%	1.98%	0.68%	0.92%	1.60%	1.09%	1.24%	0.85%	0.42%	0.56%	0.83%	0.63%	1.14%	1.46%	1.63%	0.74%	0.00%	0.76%	1.21%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	2	2	1	1	0	0	2	0	0	1	0	0	0	3	3	0	3	2	0	2	0	2	1	0	1	3	1									
		0.13%	0.24%	0.27%	0.10%	0.09%	0.00%	0.00%	0.24%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.41%	0.32%	0.00%	0.28%	0.18%	0.00%	0.21%	0.00%	0.19%	0.11%	0.00%	0.11%	0.26%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	307	6	10	8	16	4	0	9	12	14	19	9	12	12	11	16	11	12	13	14	20	13	16	3	2	15	26	4									
		1.33%	0.73%	1.33%	0.81%	1.49%	0.64%	0.00%	1.09%	1.68%	1.46%	2.17%	1.18%	1.13%	1.64%	1.52%	1.70%	1.15%	1.11%	1.19%	1.26%	2.06%	1.46%	1.54%	0.32%	0.98%	1.62%	2.25%	0.62%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4640	169	118	206	203	124	13	182	136	223	175	119	205	139	121	204	184	254	278	231	223	185	196	188	29	192	230	113									
		20.08%	20.69%	15.69%	20.89%	18.88%	19.81%	5.35%	22.06%	18.99%	23.18%	19.95%	15.66%	19.34%	18.99%	16.71%	21.70%	19.19%	23.56%	25.50%	20.85%	23.01%	20.72%	18.83%	19.83%	14.15%	20.78%	19.93%	17.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	575	13	24	11	29	16	3	16	13	27	19	16	20	16	25	21	23	28	32	35	29	30	26	20	5	23	41	14									
		2.49%	1.59%	3.19%	1.12%	2.70%	2.56%	1.23%	1.94%	1.82%	2.81%	2.17%	2.11%	1.89%	2.19%	3.45%	2.23%	2.40%	2.60%	2.94%	3.16%	2.99%	3.36%	2.50%	2.11%	2.44%	2.49%	3.55%	2.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1367	35	37	40	44	25	7	39	23	73	62	35	56	38	32	70	70	90	84	103	69	67	84	34	11	73	51	15									
		5.92%	4.28%	4.92%	4.06%	4.09%	3.99%	2.88%	4.73%	3.21%	7.59%	7.07%	4.61%	5.28%	5.19%	4.42%	7.45%	7.30%	8.35%	7.71%	9.30%	7.12%	7.50%	8.07%	3.59%	5.37%	7.90%	4.42%	2.33%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
