Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
"Наименование Избирательной комиссии:    Самара, Красноглинская"																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №8047	УИК №8048									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79937	1704	2728	2556	2334	2021	2126	2040	2035	1627	1442	1339	1990	1992	271	1869	1969	2084	1690	1771	1927	1794	1840	2088	1789	1354	1870	723	2277	1816	1920	2284	2162	2091	2187	1495	1288	1522	2249	2845	1961	1828	1837	230	300	672									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74680	1500	2000	2000	2000	2000	1500	1500	1500	1500	1100	1100	1500	1500	280	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1300	1500	700	2000	1500	1500	2000	2000	2000	2000	1500	1300	1500	2000	2000	1500	1500	1400	500	6000	3000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32588	344	1090	1112	906	738	522	654	720	640	550	522	700	743	171	683	827	845	754	858	805	756	705	830	749	535	757	338	969	643	865	768	1089	931	965	678	600	804	815	1196	756	655	800	230	298	672									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1548	94	18	16	52	29	32	31	47	20	46	28	32	42	100	24	26	154	38	38	44	26	28	8	18	65	33	18	18	28	48	33	37	62	43	21	54	22	21	14	12	19	7	0	2	0									
6	Число погашенных избирательных бюллетеней	40544	1062	892	872	1042	1233	946	815	733	840	504	550	768	715	9	793	647	501	708	604	651	718	767	662	733	700	710	344	1013	829	587	1199	874	1007	992	801	646	674	1164	790	732	826	593	270	5700	2328									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1548	94	18	16	52	29	32	31	47	20	46	28	32	42	100	24	26	154	38	38	44	26	28	8	18	65	33	18	18	28	48	33	37	62	43	21	54	22	21	14	12	19	7	0	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32574	344	1090	1109	906	738	522	654	720	640	550	522	700	743	171	683	827	845	753	858	805	756	701	830	749	535	757	338	969	643	865	768	1088	931	965	678	600	804	815	1196	755	655	797	230	297	672									
9	Число недействительных избирательных бюллетеней	972	0	37	28	33	27	16	23	18	9	19	18	15	18	0	26	45	28	33	23	26	44	22	15	19	20	10	10	33	33	33	22	42	21	20	22	9	27	29	24	23	12	27	10	1	2									
10	Число действительных избирательных бюллетеней	33150	438	1071	1097	925	740	538	662	749	651	577	532	717	767	271	681	808	971	758	873	823	738	707	823	748	580	780	346	954	638	880	779	1083	972	988	677	645	799	807	1186	744	662	777	220	298	670									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1105	25	25	25	25	25	25	25	25	25	25	25	25	25	10	25	25	25	25	25	25	25	25	25	25	25	25	20	25	25	25	25	55	55	25	25	25	25	25	25	25	25	25	0	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	654	11	25	19	20	16	17	10	16	2	15	17	20	16	1	19	20	17	20	12	14	21	17	20	14	8	21	7	12	8	18	11	39	31	11	12	8	12	9	22	14	21	11	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1426	9	154	250	8	11	5	7	13	6	13	7	10	6	8	13	20	16	9	12	6	21	4	2	3	6	15	13	11	11	13	10	12	7	22	5	1	5	10	108	48	52	228	230	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	451	14	0	6	5	9	8	15	9	23	10	8	5	9	9	6	5	8	5	13	11	4	8	5	11	17	4	13	13	17	7	14	16	24	14	13	17	13	16	3	11	4	14	0	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	0	1	1	1	1	3	0	1	1	0	0	1	0	0	3	0	1	3	4	7	2	3	7	6	2	2	0	1	0	1	2	11	9	0	0	0	0	1	1	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
