Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011					
1	"Число избирателей, внесенных в список"	45995	232	1619	2012	2109	1207	1824	1605	1434	2211	153	817	677	133	1057	368	2541	2479	1883	764	407	203	170	803	262	154	747	295	225	541	245	222	150	703	443	966	168	947	554	745	745	583	225	113	633	183	196	655	456	628	383	809	574	484	120	126	662	304	82	275	671	110	130	411	394	1877	91					
2	Число полученных избирательных бюллетеней	45304	230	1600	2030	2000	1180	1850	1600	1400	2150	160	800	670	135	1050	350	2510	2450	1880	750	400	200	172	790	250	152	740	300	230	520	230	210	146	700	440	950	166	930	570	730	730	570	220	115	640	172	190	640	410	610	370	800	560	480	121	129	650	290	83	280	650	112	125	400	390	1850	96					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25738	177	788	1039	1221	642	1002	846	700	1065	0	460	423	99	620	187	1377	1491	1137	562	300	145	167	500	202	106	359	173	152	316	121	89	65	374	222	479	119	499	256	377	465	355	153	77	345	123	122	427	295	409	150	513	313	270	75	98	396	154	47	174	358	43	85	254	294	846	40					
5	"Число избирательных бюллетеней, выданных вне помещения"	3233	11	86	82	74	129	83	132	68	109	137	35	19	0	31	36	159	98	141	14	0	0	0	76	16	5	106	38	21	17	41	77	32	9	32	187	9	64	56	29	46	10	6	9	42	11	6	42	56	23	84	29	51	55	15	15	83	54	13	21	77	15	0	22	12	148	29					
6	Число погашенных избирательных бюллетеней	16333	42	726	909	705	409	765	622	632	976	23	305	228	36	399	127	974	861	602	174	100	55	5	214	32	41	275	89	57	187	68	44	49	317	186	284	38	367	258	324	219	205	61	29	253	38	62	171	59	178	136	258	196	155	31	16	171	82	23	85	215	54	40	124	84	856	27					
7	Число избирательных бюллетеней в переносных ящиках	3232	11	85	82	74	129	83	132	68	109	137	35	19	0	31	36	159	98	141	14	0	0	0	76	16	5	106	38	21	17	41	77	32	9	32	187	9	64	56	29	46	10	6	9	42	11	6	42	56	23	84	29	51	55	15	15	83	54	13	21	77	15	0	22	12	148	29					
8	Число бюллетеней в стационарных ящиках для голосования	25735	177	787	1039	1221	642	1002	845	700	1065	0	460	423	99	620	186	1377	1491	1137	562	300	145	167	500	202	106	359	173	152	316	121	89	65	374	222	479	119	499	256	377	465	355	153	77	345	123	122	427	295	409	150	513	313	270	75	98	396	154	47	174	358	43	85	254	294	846	40					
9	Число недействительных избирательных бюллетеней	438	2	10	13	14	13	8	16	7	18	0	7	8	0	6	0	69	19	13	4	3	2	0	6	1	1	9	3	1	9	2	2	1	6	4	10	0	11	5	7	1	4	3	1	6	1	10	9	3	5	8	6	6	5	1	0	4	2	0	3	6	3	1	4	4	32	0					
10	Число действительных избирательных бюллетеней	28529	186	862	1108	1281	758	1077	961	761	1156	137	488	434	99	645	222	1467	1570	1265	572	297	143	167	570	217	110	456	208	172	324	160	164	96	377	250	656	128	552	307	399	510	361	156	85	381	133	118	460	348	427	226	536	358	320	89	113	475	206	60	192	429	55	84	272	302	962	69					
11	Число полученных открепительных  удостоверений	564	10	15	20	20	20	20	20	15	20	0	10	6	6	15	6	15	15	15	14	6	6	6	6	6	6	6	9	6	6	6	6	5	6	6	6	5	8	6	6	11	6	5	10	6	6	6	10	6	10	6	8	6	6	5	5	8	6	5	5	6	5	5	6	6	10	5					
12	Число выданных открепительных удостоверений	201	6	10	10	15	12	16	13	4	7	0	1	0	0	9	0	5	6	6	9	0	0	0	5	0	0	4	6	0	2	0	0	0	6	4	4	0	3	3	2	1	1	1	1	0	0	0	2	2	1	0	1	1	1	0	0	5	0	0	5	1	0	0	0	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	225	0	6	8	49	10	8	8	2	7	2	3	2	0	2	2	10	3	2	2	1	1	1	4	2	2	4	4	1	4	1	1	3	9	4	2	2	1	2	0	2	2	4	1	2	3	0	5	2	1	3	3	4	0	0	1	3	2	1	1	1	1	2	2	3	1	0					
14	Число неиспользованных открепительных удостоверений	363	4	5	10	5	8	4	7	11	13	0	9	6	6	6	6	10	9	9	5	6	6	6	1	6	6	2	3	6	4	6	6	5	0	2	2	5	5	3	4	10	5	4	9	6	6	6	8	4	9	6	7	5	5	5	5	3	6	5	0	5	5	5	6	6	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	576	3	23	24	44	22	22	21	23	30	1	14	4	0	9	7	35	30	36	5	6	1	11	17	2	0	12	5	2	7	1	2	2	7	3	9	2	13	1	13	7	1	1	0	2	0	0	1	3	10	2	2	8	3	0	1	8	2	0	2	15	0	1	9	5	18	6					
		1.99%	1.60%	2.64%	2.14%	3.40%	2.85%	2.03%	2.15%	2.99%	2.56%	0.73%	2.83%	0.90%	0.00%	1.38%	3.15%	2.28%	1.89%	2.82%	0.87%	2.00%	0.69%	6.59%	2.95%	0.92%	0.00%	2.58%	2.37%	1.16%	2.10%	0.62%	1.20%	2.06%	1.83%	1.18%	1.35%	1.56%	2.31%	0.32%	3.20%	1.37%	0.27%	0.63%	0.00%	0.52%	0.00%	0.00%	0.21%	0.85%	2.31%	0.85%	0.37%	2.20%	0.92%	0.00%	0.88%	1.67%	0.96%	0.00%	1.03%	3.45%	0.00%	1.18%	3.26%	1.63%	1.81%	8.70%					
19	. Малышкин Олег Александрович	880	5	20	26	27	34	38	24	28	42	5	26	5	2	23	5	67	37	34	15	6	1	3	14	9	1	14	13	8	5	1	9	5	13	11	31	3	24	14	18	15	21	7	0	14	2	2	10	4	4	2	9	7	13	4	1	16	11	2	11	6	0	2	9	11	25	6					
		3.04%	2.66%	2.29%	2.32%	2.08%	4.41%	3.50%	2.46%	3.65%	3.58%	3.65%	5.25%	1.13%	2.02%	3.53%	2.25%	4.36%	2.33%	2.66%	2.60%	2.00%	0.69%	1.80%	2.43%	4.13%	0.90%	3.01%	6.16%	4.62%	1.50%	0.62%	5.42%	5.15%	3.39%	4.33%	4.65%	2.34%	4.26%	4.49%	4.43%	2.94%	5.75%	4.40%	0.00%	3.62%	1.49%	1.56%	2.13%	1.14%	0.93%	0.85%	1.66%	1.92%	4.00%	4.44%	0.88%	3.34%	5.29%	3.33%	5.64%	1.38%	0.00%	2.35%	3.26%	3.59%	2.52%	8.70%					
