Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Липецкая																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294					
1	"Число избирателей, внесенных в списки"	37242	2989	1663	500	486	314	1527	582	1045	670	471	451	758	181	395	560	236	1123	1523	510	608	1358	694	1341	461	873	162	139	1615	538	690	278	394	338	553	1604	110	239	179	158	108	104	1163	1374	1363	1348	691	560	354	105	1543	213					
2	"Число бюллетеней, полученных участковыми комиссиями"	33735	2677	1572	454	436	278	1359	518	921	601	429	410	686	173	365	495	207	987	1372	453	559	1223	621	1218	418	794	146	130	1464	486	621	250	356	304	501	1472	103	220	161	131	99	158	1065	1232	1232	1240	626	499	322	92	1406	193					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15668	1139	762	262	235	82	608	220	337	393	207	241	201	101	183	337	140	371	665	225	317	502	190	516	206	382	81	62	679	235	352	160	199	184	314	659	51	94	74	88	51	89	413	480	461	441	258	232	162	43	888	96					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2581	98	65	39	73	59	157	51	67	47	63	76	162	8	40	66	21	118	79	59	38	49	36	62	26	67	31	17	74	19	49	13	23	38	58	67	10	39	25	19	34	15	53	23	60	43	42	4	84	41	52	22					
6	Число погашенных бюллетеней	15485	1440	745	152	128	137	594	247	517	161	159	93	323	64	142	92	46	498	628	169	204	672	395	640	186	345	34	51	711	232	220	77	134	82	129	746	42	87	62	24	14	54	599	729	711	756	326	263	76	8	466	75					
7	Число бюллетеней в переносных ящиках для голосования	2581	98	65	39	73	59	157	51	67	47	63	76	162	8	40	66	21	118	79	59	38	49	36	62	26	67	31	17	74	19	49	13	23	38	58	67	10	39	25	19	34	15	53	23	60	43	42	4	84	41	52	22					
8	Число бюллетеней в стационарных ящиках для голосования	15662	1139	762	262	235	82	608	220	337	391	207	241	201	101	183	337	140	371	663	225	317	502	190	516	206	382	81	62	679	235	352	160	199	184	314	659	51	94	74	88	51	89	413	480	461	439	258	232	162	43	888	96					
9	Число недействительных бюллетеней	645	14	31	25	11	1	32	11	6	17	11	11	6	4	8	27	15	7	16	23	6	39	6	18	16	10	2	7	20	21	15	5	4	3	20	27	0	8	3	5	0	0	13	43	15	25	4	2	0	0	17	15					
10	Число действительных бюллетеней	17598	1223	796	276	297	140	733	260	398	421	259	306	357	105	215	376	146	482	726	261	349	512	220	560	216	439	110	72	733	233	386	168	218	219	352	699	61	125	96	102	85	104	453	460	506	457	296	234	246	84	923	103					
