Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Багратионовская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24927	1260	1211	616	666	1364	517	493	554	1026	1598	2665	2674	469	790	1419	507	739	1916	1957	585	1091	810									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23650	1200	1200	600	650	1350	500	450	500	1000	1300	2500	2500	450	750	1300	500	700	1850	1900	550	1100	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11964	570	493	261	273	661	261	264	271	499	646	1352	1312	201	415	829	282	422	850	1015	280	416	391									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	500	9	17	13	16	24	11	9	16	35	145	34	42	6	8	17	8	6	33	7	3	34	7									
6	Число погашенных избирательных бюллетеней	11186	621	690	326	361	665	228	177	213	466	509	1114	1146	243	327	454	210	272	967	878	267	650	402									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	500	9	17	13	16	24	11	9	16	35	145	34	42	6	8	17	8	6	33	7	3	34	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11954	570	492	261	273	661	261	264	271	499	646	1352	1305	201	415	832	282	418	849	1015	280	416	391									
9	Число недействительных избирательных бюллетеней	650	28	20	16	13	61	31	23	20	36	36	47	60	14	24	56	18	30	23	46	15	18	15									
10	Число действительных избирательных бюллетеней	11804	551	489	258	276	624	241	250	267	498	755	1339	1287	193	399	793	272	394	859	976	268	432	383									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	8	5	0	2	7	0	2	2	5	7	12	10	0	4	5	1	2	6	10	10	5	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	5	2	2	2	4	0	0	3	1	6	31	5	0	0	4	0	2	15	2	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	117	2	5	10	8	3	10	8	8	5	3	8	0	10	6	5	9	8	4	0	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	2	0	1	1	0	0	0	1	8	11	2	0	1	5	0	0	4	7	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	145	5	5	3	1	3	2	4	3	3	7	25	18	2	0	5	3	4	18	18	5	9	2									
		1.16%	0.86%	0.98%	1.09%	0.35%	0.44%	0.74%	1.47%	1.05%	0.56%	0.88%	1.80%	1.34%	0.97%	0.00%	0.59%	1.03%	0.94%	2.04%	1.76%	1.77%	2.00%	0.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	370	14	22	9	10	14	5	2	6	16	18	34	67	5	11	17	7	14	29	31	10	15	14									
		2.97%	2.42%	4.32%	3.28%	3.46%	2.04%	1.84%	0.73%	2.09%	2.99%	2.28%	2.45%	4.97%	2.42%	2.60%	2.00%	2.41%	3.30%	3.29%	3.03%	3.53%	3.33%	3.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	449	7	6	11	6	37	1	5	3	62	38	66	69	7	17	17	7	15	23	36	5	7	4									
