Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Шегарская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799					
1	"Число избирателей, внесенных в списки избирателей"	15727	320	330	417	253	530	188	949	439	134	583	234	749	804	450	110	411	85	289	99	442	351	102	788	789	894	797	478	1095	529	936	555	597					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14748	300	300	400	250	500	180	900	400	130	550	230	750	800	440	100	400	88	290	100	400	340	100	700	750	800	750	400	1000	500	850	500	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9445	211	226	255	234	298	96	601	281	83	366	108	493	591	266	79	260	57	152	58	274	149	77	465	472	529	449	259	557	355	515	354	275					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	635	7	45	6	0	56	20	19	0	0	16	17	52	8	28	4	29	0	21	10	64	46	10	43	13	8	10	9	31	8	32	3	20					
6	Число погашенных избирательных бюллетеней	4668	82	29	139	16	146	64	280	119	47	168	105	205	201	146	17	111	31	117	32	62	145	13	192	265	263	291	132	412	137	303	143	255					
7	Число избирательных бюллетеней в переносных ящиках для голосования	635	7	45	6	0	56	20	19	0	0	16	17	52	8	28	4	29	0	21	10	64	46	10	43	13	8	10	9	31	8	32	3	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9437	211	226	255	234	298	96	597	281	83	366	108	493	590	266	79	260	57	152	58	274	149	77	465	472	527	449	259	557	355	515	354	274					
9	Число недействительных избирательных бюллетеней	185	2	0	1	16	5	1	18	3	1	7	4	5	49	5	0	4	1	4	5	5	4	1	4	7	1	5	1	4	6	6	7	3					
10	Число действительных избирательных бюллетеней	9887	216	271	260	218	349	115	598	278	82	375	121	540	549	289	83	285	56	169	63	333	191	86	504	478	534	454	267	584	357	541	350	291					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	455	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	25	25	25	25	25	25	25	25	25	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	90	0	0	0	0	6	0	6	1	0	2	0	4	4	1	1	0	0	2	3	0	1	0	8	8	5	7	1	7	6	7	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	4	1	4	0	4	1	5	7	3	7	0	8	6	6	1	6	1	1	2	2	1	1	1	2	3	4	1	6	2	1	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	365	10	10	10	10	4	10	4	9	10	8	10	6	6	9	9	10	10	8	7	10	9	10	17	17	20	18	24	18	19	18	18	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	134	8	1	1	2	4	0	7	21	1	6	5	3	3	6	0	7	1	8	4	8	4	1	6	1	4	2	0	9	5	2	2	2					
		1.33%	3.67%	0.37%	0.38%	0.85%	1.13%	0.00%	1.14%	7.47%	1.20%	1.57%	4.00%	0.55%	0.50%	2.04%	0.00%	2.42%	1.75%	4.62%	5.88%	2.37%	2.05%	1.15%	1.18%	0.21%	0.75%	0.44%	0.00%	1.53%	1.38%	0.37%	0.56%	0.68%					
