Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Ровенская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417					
1	"Число избирателей, внесенных в список избирателей"	12691	1650	1236	1048	110	360	247	1163	942	616	496	192	278	1179	154	773	992	512	133	534	76					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14250	1640	1310	1000	130	380	310	1320	1110	700	580	230	380	1280	280	940	1220	560	170	610	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6557	777	496	431	73	144	150	594	333	286	289	129	197	643	127	601	558	281	88	298	62					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1351	104	58	67	13	68	28	75	166	93	36	10	24	146	24	118	205	49	9	47	11					
6	Число погашенных избирательных бюллетеней	6342	759	756	502	44	168	132	651	611	321	255	91	159	491	129	221	457	230	73	265	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1351	104	58	67	13	68	28	75	166	93	36	10	24	146	24	118	205	49	9	47	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6556	776	496	431	73	144	150	594	333	286	289	129	197	643	127	601	558	281	88	298	62					
9	Число недействительных избирательных бюллетеней	125	16	18	7	1	6	6	13	4	0	10	0	0	12	3	3	18	0	1	6	1					
10	Число действительных избирательных бюллетеней	7782	864	536	491	85	206	172	656	495	379	315	139	221	777	148	716	745	330	96	339	72					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	555	40	40	40	10	20	15	35	35	30	30	15	15	45	15	45	50	20	10	35	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	555	40	40	40	10	20	15	35	35	30	30	15	15	45	15	45	50	20	10	35	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	11	4	3	2	0	2	3	2	5	0	1	2	19	1	3	4	3	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	5	1	3	0	0	0	21	5	3	1	1	0	0	0	5	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	522	180	9	83	10	5	8	27	46	8	34	18	21	16	6	10	9	18	4	8	2					
		6.60%	20.45%	1.62%	16.67%	11.63%	2.36%	4.49%	4.04%	9.22%	2.11%	10.46%	12.95%	9.50%	2.03%	3.97%	1.39%	1.18%	5.45%	4.12%	2.32%	2.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	457	102	50	62	5	0	7	59	32	14	26	2	3	51	4	3	6	21	2	5	3					
		5.78%	11.59%	9.03%	12.45%	5.81%	0.00%	3.93%	8.82%	6.41%	3.69%	8.00%	1.44%	1.36%	6.46%	2.65%	0.42%	0.79%	6.36%	2.06%	1.45%	4.11%					
