Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Моркинская районная																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443					
1	"Число избирателей, внесенных в списки избирателей"	24657	2333	1267	2047	2102	334	557	242	329	430	857	285	490	348	185	366	227	546	362	278	228	58	281	302	270	395	354	1017	264	622	385	95	622	457	569	408	259	611	239	401	219	568	72	116	920	762	578					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23900	2100	1050	1890	1880	330	580	250	350	450	840	270	470	380	200	360	240	520	380	290	240	75	290	300	245	360	330	970	270	620	390	110	620	480	580	400	260	630	230	400	200	560	70	130	900	770	640					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18143	1846	848	1561	1577	227	319	163	236	341	755	205	300	266	138	276	176	409	272	178	120	49	152	232	175	268	285	731	227	516	327	88	482	306	362	251	178	449	148	343	84	384	66	85	710	614	418					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2698	81	166	55	61	35	103	38	32	60	60	44	78	30	27	63	29	74	69	78	83	0	95	25	70	82	45	100	26	48	25	7	63	93	109	82	38	34	23	38	62	96	0	23	52	79	117					
6	Число погашенных избирательных бюллетеней	3059	173	36	274	242	68	158	49	82	49	25	21	92	84	35	21	35	37	39	34	37	26	43	43	0	10	0	139	17	56	38	15	75	81	109	67	44	147	59	19	54	80	4	22	138	77	105					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2698	81	166	55	61	35	103	38	32	60	60	44	78	30	27	63	29	74	69	78	83	0	95	25	70	82	45	100	26	48	25	7	63	93	109	82	38	34	23	38	62	96	0	23	52	79	117					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18142	1846	848	1561	1577	227	319	163	236	341	755	205	300	266	138	276	176	409	272	178	120	49	152	232	175	268	285	731	227	516	327	88	482	306	362	251	178	449	147	343	84	384	66	85	710	614	418					
9	Число недействительных избирательных бюллетеней	121	10	7	8	5	2	3	0	1	2	2	4	0	7	1	4	3	6	5	2	1	0	0	2	0	2	0	1	2	3	3	0	4	1	1	1	0	7	3	6	0	0	0	0	3	4	5					
10	Число действительных избирательных бюллетеней	20719	1917	1007	1608	1633	260	419	201	267	399	813	245	378	289	164	335	202	477	336	254	202	49	247	255	245	348	330	830	251	561	349	95	541	398	470	332	216	476	167	375	146	480	66	108	759	689	530					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1695	120	58	85	88	30	40	20	35	60	35	20	35	50	25	35	30	20	20	10	20	15	20	40	10	15	15	65	20	65	35	15	38	25	50	25	30	35	10	45	10	40	5	20	63	78	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1695	120	58	85	88	30	40	20	35	60	35	20	35	50	25	35	30	20	20	10	20	15	20	40	10	15	15	65	20	65	35	15	38	25	50	25	30	35	10	45	10	40	5	20	63	78	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	412	64	27	28	24	7	3	2	7	15	10	3	7	7	6	7	10	13	4	4	3	0	3	6	3	5	4	15	3	7	2	1	11	8	6	9	11	8	4	10	4	6	3	0	13	14	5					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	10	4	7	6	1	1	0	0	0	3	0	0	8	2	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	417	42	11	35	29	9	13	3	8	9	0	5	8	7	6	1	2	10	4	8	2	0	6	9	10	10	4	31	4	9	1	1	8	7	28	12	6	14	4	4	3	7	1	3	4	6	13					
