Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Сальская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562					
1	"Число избирателей, внесенных в список"	84915	2488	1535	2634	2456	2787	2669	2251	2251	2605	2301	2084	2931	1952	2010	2208	1673	1740	2761	2504	1560	2698	470	1458	642	1245	839	1155	1534	631	2358	852	742	543	761	1511	1549	1065	275	1651	449	773	1436	381	645	594	940	2005	1849	1792	2238	632	628	404	474	123	275	248	628	487	535					
2	Число полученных избирательных бюллетеней	81764	2397	1478	2572	2376	2679	2548	2182	2269	2439	2254	2126	2776	1870	1917	2120	1603	1714	2668	2404	1458	2563	500	1346	622	1198	808	1109	1489	612	2364	823	717	510	726	1422	1510	1006	259	1578	388	716	1419	383	604	563	899	1968	1732	1720	2157	602	609	391	453	117	263	234	603	449	482					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64876	1774	1174	1918	1741	2124	2247	1679	1850	2118	2000	1486	2480	1391	1591	1624	1294	1499	2177	2111	1131	1860	199	1297	531	1138	641	775	1029	417	1602	641	528	413	554	1066	1259	698	213	1204	243	527	1078	269	571	438	692	1471	1323	1398	1869	593	464	333	406	117	216	173	593	247	381					
5	"Число избирательных бюллетеней, выданных вне помещения"	7553	250	86	286	252	139	123	162	98	140	106	355	123	142	113	108	97	73	112	232	272	298	254	49	44	21	60	177	313	103	281	83	93	97	96	211	115	74	21	139	73	125	83	46	32	106	90	299	215	174	123	0	25	0	12	0	32	40	0	197	83					
6	Число погашенных избирательных бюллетеней	9335	373	218	368	383	416	178	341	321	181	148	285	173	337	213	388	212	142	379	61	55	405	47	0	47	39	107	157	147	92	481	99	96	0	76	145	136	234	25	235	72	64	258	68	1	19	117	198	194	148	165	9	120	58	35	0	15	21	10	5	18					
7	Число избирательных бюллетеней в переносных ящиках	7553	250	86	286	252	139	123	162	98	140	106	355	123	142	113	108	97	73	112	232	272	298	254	49	44	21	60	177	313	103	281	83	93	97	96	211	115	74	21	139	73	125	83	46	32	106	90	299	215	174	123	0	25	0	12	0	32	40	0	197	83					
8	Число бюллетеней в стационарных ящиках для голосования	64855	1773	1174	1918	1741	2124	2247	1679	1850	2118	1999	1486	2480	1376	1591	1624	1290	1499	2177	2111	1131	1860	199	1297	531	1138	641	775	1029	417	1602	641	528	413	554	1066	1259	698	213	1204	243	527	1078	269	571	438	692	1471	1323	1398	1869	593	464	333	406	117	216	173	593	247	381					
9	Число недействительных избирательных бюллетеней	470	13	6	0	15	6	2	17	5	14	8	5	29	17	9	9	16	12	5	16	10	17	0	3	4	14	1	10	9	6	15	4	3	2	0	5	9	4	3	0	4	3	14	7	0	3	1	32	2	24	18	14	14	0	1	0	0	0	5	2	3					
10	Число действительных избирательных бюллетеней	71938	2010	1254	2204	1978	2257	2368	1824	1943	2244	2097	1836	2574	1501	1695	1723	1371	1560	2284	2327	1393	2141	453	1343	571	1145	700	942	1333	514	1868	720	618	508	650	1272	1365	768	231	1343	312	649	1147	308	603	541	781	1738	1536	1548	1974	579	475	333	417	117	248	213	588	442	461					
11	Число полученных открепительных  удостоверений	2335	80	50	90	70	60	70	40	75	40	85	40	60	60	55	60	30	30	60	60	45	95	0	30	20	30	35	30	30	20	40	20	20	20	20	30	35	30	20	30	20	20	50	20	20	20	30	140	30	30	40	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	1591	58	33	68	62	58	67	33	62	40	67	26	54	48	37	43	25	23	59	53	35	81	0	11	5	29	31	14	21	4	30	20	8	3	3	9	35	7	1	30	7	12	50	14	1	0	17	109	21	18	20	2	6	15	4	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1073	15	10	18	12	18	26	6	19	76	15	8	17	22	16	6	11	198	14	8	3	30	376	7	5	9	8	4	5	1	7	3	1	2	1	3	4	2	1	7	3	5	6	3	1	3	1	23	6	9	3	0	3	2	2	0	0	1	4	3	1					
14	Число неиспользованных открепительных удостоверений	744	22	17	22	8	2	3	7	13	0	18	14	6	12	18	17	5	7	1	7	10	14	0	19	15	1	4	16	9	16	10	0	12	17	17	21	0	23	19	0	13	8	0	6	19	20	13	31	9	12	20	18	14	5	16	20	20	20	20	20	18					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	1	0	0	1	0	1	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	1464	58	26	32	47	92	11	50	36	52	56	21	35	58	22	64	55	22	59	12	47	78	5	7	8	11	20	38	27	13	42	13	12	3	9	5	36	14	1	3	14	12	25	3	11	2	9	48	10	39	36	15	11	1	0	2	6	2	6	3	9					
		2.02%	2.87%	2.06%	1.45%	2.36%	4.07%	0.46%	2.72%	1.85%	2.30%	2.66%	1.14%	1.34%	3.82%	1.29%	3.70%	3.97%	1.40%	2.58%	0.51%	3.35%	3.61%	1.10%	0.52%	1.39%	0.95%	2.85%	3.99%	2.01%	2.50%	2.23%	1.80%	1.93%	0.59%	1.38%	0.39%	2.62%	1.81%	0.43%	0.22%	4.43%	1.84%	2.15%	0.95%	1.82%	0.37%	1.15%	2.71%	0.65%	2.48%	1.81%	2.53%	2.25%	0.30%	0.00%	1.71%	2.42%	0.94%	1.01%	0.68%	1.94%					
19	. Малышкин Олег Александрович	1574	68	30	47	48	35	5	27	32	46	35	5	48	37	11	53	29	34	50	9	51	57	4	19	23	40	26	39	25	19	66	19	36	10	8	25	73	29	10	4	5	14	46	5	13	8	5	57	8	24	38	16	31	1	10	2	8	13	12	14	12					
		2.17%	3.36%	2.38%	2.13%	2.41%	1.55%	0.21%	1.47%	1.64%	2.04%	1.66%	0.27%	1.84%	2.44%	0.65%	3.06%	2.09%	2.16%	2.18%	0.38%	3.64%	2.64%	0.88%	1.41%	4.00%	3.45%	3.71%	4.10%	1.86%	3.65%	3.51%	2.62%	5.80%	1.96%	1.23%	1.96%	5.31%	3.76%	4.27%	0.30%	1.58%	2.15%	3.96%	1.59%	2.16%	1.47%	0.64%	3.22%	0.52%	1.53%	1.91%	2.70%	6.34%	0.30%	2.39%	1.71%	3.23%	6.10%	2.02%	3.15%	2.59%					
20	. Миронов Сергей Михайлович	341	5	2	11	13	11	3	8	10	9	15	3	14	13	11	10	7	3	8	8	12	14	3	3	2	2	5	10	2	3	6	6	5	3	7	4	15	5	2	0	5	5	4	1	3	2	3	7	0	8	7	2	1	1	2	1	4	0	4	2	6					
		0.47%	0.25%	0.16%	0.50%	0.65%	0.49%	0.13%	0.43%	0.51%	0.40%	0.71%	0.16%	0.54%	0.86%	0.65%	0.58%	0.50%	0.19%	0.35%	0.34%	0.86%	0.65%	0.66%	0.22%	0.35%	0.17%	0.71%	1.05%	0.15%	0.58%	0.32%	0.83%	0.81%	0.59%	1.08%	0.31%	1.09%	0.65%	0.85%	0.00%	1.58%	0.77%	0.34%	0.32%	0.50%	0.37%	0.38%	0.40%	0.00%	0.51%	0.35%	0.34%	0.20%	0.30%	0.48%	0.85%	1.61%	0.00%	0.67%	0.45%	1.29%					
21	. Путин Владимир Владимирович	56002	1359	996	1886	1574	1645	2053	1406	1465	1681	1759	1560	2042	1027	1423	1080	970	1342	1681	2076	1085	1606	406	1212	507	1032	567	750	943	391	1190	605	510	449	565	1106	1160	522	165	1075	198	562	796	216	544	493	627	1126	1231	980	1424	412	293	289	341	100	200	163	454	358	324					
