Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Сонковская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979					
1	"Число избирателей, внесенных в списки"	8103	1584	2232	636	477	594	161	139	378	262	239	396	578	158	269					
2	"Число бюллетеней, полученных участковыми комиссиями"	8000	1541	2186	634	490	588	166	139	378	266	225	393	580	151	263					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3938	793	1164	481	276	251	99	83	115	91	120	93	211	56	105					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1580	71	86	8	125	171	40	33	185	119	84	215	248	92	103					
6	Число погашенных бюллетеней	2482	677	936	145	89	166	27	23	78	56	21	85	121	3	55					
7	Число бюллетеней в переносных ящиках для голосования	1580	71	86	8	125	171	40	33	185	119	84	215	248	92	103					
8	Число бюллетеней в стационарных ящиках для голосования	3937	793	1163	481	276	251	99	83	115	91	120	93	211	56	105					
9	Число недействительных бюллетеней	49	13	22	0	0	0	1	0	0	3	4	3	3	0	0					
10	Число действительных бюллетеней	5468	851	1227	489	401	422	138	116	300	207	200	305	456	148	208					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	85	10	15	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	3	11	0	3	0	1	0	0	1	2	1	1	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	2	13	1	1	0	0	1	1	0	0	0	0	0	1					
14	Число погашенных открепительных удостоверений	56	7	4	5	2	5	4	5	5	4	3	4	4	4	0					
15	Число открепительных удостоверений выданных ТИК	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	110	15	23	13	7	7	3	3	6	4	7	3	14	0	5					
		1.99%	1.73%	1.84%	2.65%	1.74%	1.65%	2.15%	2.58%	2.0%	1.90%	3.43%	0.97%	3.05%	0.0%	2.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	58	16	19	4	2	7	4	0	0	2	2	0	1	0	1					
		1.05%	1.85%	1.52%	0.81%	0.49%	1.65%	2.87%	0.0%	0.0%	0.95%	0.98%	0.0%	0.21%	0.0%	0.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	176	35	41	6	5	16	3	7	6	2	9	22	11	4	9					
		3.19%	4.05%	3.28%	1.22%	1.24%	3.79%	2.15%	6.03%	2.0%	0.95%	4.41%	7.14%	2.39%	2.70%	4.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	83	17	29	2	0	4	1	3	4	1	3	6	7	1	5					
		1.50%	1.96%	2.32%	0.40%	0.0%	0.94%	0.71%	2.58%	1.33%	0.47%	1.47%	1.94%	1.52%	0.67%	2.40%					
22	"5. ""За Русь Святую"""	30	3	7	3	7	2	1	1	0	0	0	0	5	0	1					
		0.54%	0.34%	0.56%	0.61%	1.74%	0.47%	0.71%	0.86%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	0	1	0	3	0	0	0	0	1	1	0	5	1	3					
		0.27%	0.0%	0.08%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.47%	0.49%	0.0%	1.08%	0.67%	1.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	40	9	14	2	2	3	0	0	0	0	4	1	5	0	0					
		0.72%	1.04%	1.12%	0.40%	0.49%	0.71%	0.0%	0.0%	0.0%	0.0%	1.96%	0.32%	1.08%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	0	1	0	2	2	0	0	0	0	0	0	2	0	1					
		0.14%	0.0%	0.08%	0.0%	0.49%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.48%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	2	6	1	1	0	1	0	5	1	0	1	0	1	0					
		0.34%	0.23%	0.48%	0.20%	0.24%	0.0%	0.71%	0.0%	1.66%	0.47%	0.0%	0.32%	0.0%	0.67%	0.0%					
27	"10. ""Аграрная партия России"""	731	58	90	47	41	87	19	19	74	35	25	64	83	39	50					
		13.24%	6.71%	7.20%	9.61%	10.22%	20.61%	13.66%	16.37%	24.66%	16.66%	12.25%	20.77%	18.08%	26.35%	24.03%					
28	"11. ""Истинные патриоты России"""	11	5	1	0	2	0	0	1	2	0	0	0	0	0	0					
		0.19%	0.57%	0.08%	0.0%	0.49%	0.0%	0.0%	0.86%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	69	19	26	2	3	4	1	1	0	2	1	6	3	0	1					
		1.25%	2.19%	2.08%	0.40%	0.74%	0.94%	0.71%	0.86%	0.0%	0.95%	0.49%	1.94%	0.65%	0.0%	0.48%					
30	"13. ""Демократическая партия России"""	25	2	7	2	1	3	0	0	4	0	1	2	2	0	1					
		0.45%	0.23%	0.56%	0.40%	0.24%	0.71%	0.0%	0.0%	1.33%	0.0%	0.49%	0.64%	0.43%	0.0%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	5	3	0	1	0	1	1	2	0	0	0	1	0	1					
		0.27%	0.57%	0.24%	0.0%	0.24%	0.0%	0.71%	0.86%	0.66%	0.0%	0.0%	0.0%	0.21%	0.0%	0.48%					
32	"15. ""Партия СЛОН"""	5	0	1	1	0	0	0	0	1	2	0	0	0	0	0					
		0.09%	0.0%	0.08%	0.20%	0.0%	0.0%	0.0%	0.0%	0.33%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	510	96	182	17	30	26	8	24	11	19	19	21	39	14	4					
		9.24%	11.11%	14.57%	3.47%	7.48%	6.16%	5.75%	20.68%	3.66%	9.04%	9.31%	6.81%	8.49%	9.45%	1.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	1	7	1	0	0	1	1	0	1	0	1	0	0	0					
		0.23%	0.11%	0.56%	0.20%	0.0%	0.0%	0.71%	0.86%	0.0%	0.47%	0.0%	0.32%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	534	105	148	50	16	31	20	13	22	17	16	27	30	16	23					
		9.67%	12.15%	11.84%	10.22%	3.99%	7.34%	14.38%	11.20%	7.33%	8.09%	7.84%	8.76%	6.53%	10.81%	11.05%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	130	20	32	11	20	9	4	0	7	3	2	13	2	3	4					
		2.35%	2.31%	2.56%	2.24%	4.98%	2.13%	2.87%	0.0%	2.33%	1.42%	0.98%	4.22%	0.43%	2.02%	1.92%					
37	"20. ""Политическая партия ""Единая Россия"""	1975	290	378	147	204	178	58	24	127	67	77	98	189	55	83					
		35.79%	33.56%	30.26%	30.06%	50.87%	42.18%	41.72%	20.68%	42.33%	31.90%	37.74%	31.81%	41.17%	37.16%	39.90%					
