Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Белокалитвинская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
1	"Число избирателей, внесенных в список"	88583	1986	2332	1275	2112	1359	1120	1998	1709	2476	1957	1474	1724	2130	2189	2666	2610	2694	1465	747	613	790	1565	1728	1792	681	308	229	1378	1251	1470	595	659	778	227	2635	2341	2018	1854	1842	1613	1912	665	153	927	511	222	610	1772	1630	556	692	859	427	714	1677	800	400	446	500	952	95	922	397	627	1361	881	451	891	171	1976	202	226	1265	303					
2	Число полученных избирательных бюллетеней	90437	2107	2356	1322	2111	1277	1105	2025	1674	2608	1967	1499	1676	2155	2236	2673	2640	2704	1469	756	643	839	1601	1736	1776	651	320	232	1382	1304	1531	619	662	763	228	2681	2448	2041	1957	1924	1775	2000	708	155	982	516	235	616	1771	1689	581	713	894	430	758	1695	817	423	452	497	963	91	916	421	686	1365	912	448	882	185	2021	216	222	1392	312					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51729	1046	1195	625	1126	752	571	1094	955	1548	1224	957	1058	1320	1306	1558	1657	1624	819	392	347	468	897	953	874	360	157	150	660	566	718	289	331	411	168	1393	1319	1169	1024	1118	939	1085	422	92	663	372	166	419	987	989	335	501	510	220	515	995	564	249	344	366	462	73	640	318	439	855	512	334	773	122	1127	146	139	621	236					
5	"Число избирательных бюллетеней, выданных вне помещения"	4841	34	36	33	155	72	38	131	39	35	60	36	69	68	46	29	19	39	63	84	25	23	68	76	169	64	47	18	68	96	108	70	29	43	21	271	166	162	59	70	57	72	132	40	108	37	14	32	149	100	45	53	91	9	82	89	91	73	24	44	128	3	114	7	31	90	89	37	19	28	59	19	12	87	37					
6	Число погашенных избирательных бюллетеней	33867	1027	1125	664	830	453	496	800	680	1025	683	506	549	767	884	1086	964	1041	587	280	271	348	636	707	733	227	116	64	654	642	705	260	302	309	39	1017	963	710	874	736	779	843	154	23	211	107	55	165	635	600	201	159	293	201	161	611	162	101	84	87	373	15	162	96	216	420	311	77	90	35	835	51	71	684	39					
7	Число избирательных бюллетеней в переносных ящиках	4841	34	36	33	155	72	38	131	39	35	60	36	69	68	46	29	19	39	63	84	25	23	68	76	169	64	47	18	68	96	108	70	29	43	21	271	166	162	59	70	57	72	132	40	108	37	14	32	149	100	45	53	91	9	82	89	91	73	24	44	128	3	114	7	31	90	89	37	19	28	59	19	12	87	37					
8	Число бюллетеней в стационарных ящиках для голосования	51723	1046	1195	625	1126	752	571	1094	955	1548	1224	957	1058	1320	1306	1558	1657	1624	819	392	347	468	897	953	874	360	157	150	660	566	718	289	331	411	168	1393	1319	1169	1019	1118	939	1085	422	92	663	372	166	419	987	988	335	501	510	220	515	995	564	249	344	366	462	73	640	318	439	855	512	334	773	122	1127	146	139	621	236					
9	Число недействительных избирательных бюллетеней	329	6	12	7	6	2	3	9	5	9	5	2	4	8	6	4	4	7	5	3	6	7	11	0	7	0	0	0	6	10	11	2	5	6	0	6	8	4	7	13	3	4	2	1	3	2	0	1	8	6	4	2	2	0	9	11	2	0	2	3	3	0	8	3	0	18	1	1	3	1	0	2	0	1	7					
10	Число действительных избирательных бюллетеней	56235	1074	1219	651	1275	822	606	1216	989	1574	1279	991	1123	1380	1346	1583	1672	1656	877	473	366	484	954	1029	1036	424	204	168	722	652	815	357	355	448	189	1658	1477	1327	1071	1175	993	1153	552	131	768	407	180	450	1128	1082	376	552	599	229	588	1073	653	322	366	407	587	76	746	322	470	927	600	370	789	149	1186	163	151	707	266					
