Выборы Президента Российской Федерации																																																																																		
Дата голосования: 02.03.2008																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Белокалитвинская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
	Число участковых избирательных комиссий	75																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																
																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №131	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
1	"Число избирателей, включенных в списки избирателей"	87471	2031	2078	1603	2626	1371	1061	2131	1912	1747	1865	1598	1752	1685	1710	1862	1966	2631	1849	676	573	948	1568	1358	1447	611	255	186	1454	1286	1324	687	601	668	209	2621	2330	2076	1775	1729	1676	2124	1933	629	141	969	512	216	572	1662	1623	514	653	809	375	755	1866	812	392	452	486	968	87	923	398	597	1092	1062	482	828	167	1966	240	226	1115	289					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	86303	2034	2027	1396	2541	1317	1053	1947	1880	1736	1787	1584	1686	1660	1685	1851	1918	2590	1812	686	560	987	1555	1335	1429	605	250	193	1431	1285	1301	698	613	663	208	2594	2337	2049	1771	1734	1670	2141	1901	640	129	960	497	212	574	1661	1641	514	687	800	365	751	1847	804	396	457	486	954	82	900	394	605	1085	1060	480	810	164	1982	245	215	1121	285					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	48828	1084	927	553	1657	782	496	947	957	1023	1330	967	1024	940	1114	1039	1179	1402	899	363	291	607	919	544	614	313	177	123	569	543	642	491	340	382	161	1271	1191	1058	911	927	916	1063	1245	361	87	658	361	151	397	1114	1098	233	418	529	275	434	890	515	237	375	380	772	71	532	278	382	663	571	324	694	109	912	147	170	518	191					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5051	34	37	226	133	55	37	159	56	31	38	32	67	51	40	23	24	43	52	75	15	81	30	45	75	64	30	19	83	82	83	76	45	68	20	203	187	155	85	84	97	123	16	153	42	134	46	20	50	119	82	63	86	91	20	34	72	70	74	33	47	104	8	98	8	35	103	104	36	31	20	81	50	10	119	29					
6	Число погашенных избирательных бюллетеней	32424	916	1063	617	751	480	520	841	867	682	419	585	595	669	531	789	715	1145	861	248	254	299	606	746	740	228	43	51	779	660	576	131	228	213	27	1120	959	836	775	723	657	955	640	126	0	168	90	41	127	428	461	218	183	180	70	283	885	219	85	49	59	78	3	270	108	188	319	385	120	85	35	989	48	35	484	65					
