Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №1918	УИК №1919	УИК №1920					
1	"Число избирателей, внесенных в список избирателей"	118223	2331	2144	2636	2168	2041	2056	2560	1642	2528	2484	2822	2153	2517	2013	1729	2779	1747	325	2571	3009	1931	2358	1979	1760	1623	1892	2336	2069	1471	2619	2463	2015	2185	1646	2018	1988	2409	2262	1597	2362	2347	2528	2566	2545	2768	1914	2254	2557	1174	1535	2444	2151	1555	1651	1919	1077					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113550	2300	2100	2500	2100	1900	2000	2400	1600	2500	2400	2700	2100	2500	2000	1700	2700	1700	350	2500	2600	1900	2300	2000	1700	1300	1900	2300	2000	1400	2600	2400	2000	2200	1600	1400	1600	2400	2200	1500	2300	2300	2100	2400	2500	2600	1900	2200	2300	1200	1500	2400	2000	1700	1600	1900	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44354	926	675	888	823	688	890	1064	673	1114	1106	1038	856	930	555	653	1054	750	311	953	914	857	986	794	702	701	752	758	725	562	1064	696	813	734	708	932	853	864	636	655	845	866	825	484	929	958	747	925	969	429	486	860	752	563	668	698	697					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	752	17	11	28	22	12	23	15	5	13	18	22	6	13	14	25	26	15	1	12	18	8	24	17	11	5	4	11	20	4	15	18	4	29	9	3	8	3	16	5	14	8	7	6	12	22	24	29	17	24	19	8	6	6	10	10	0					
6	Число погашенных избирательных бюллетеней	68437	1357	1414	1584	1255	1200	1087	1321	922	1373	1276	1640	1238	1557	1431	1022	1620	935	38	1535	1668	1034	1289	1189	987	594	1144	1531	1255	834	1521	1686	1183	1437	883	465	739	1533	1548	840	1441	1426	1263	1910	1559	1620	1129	1246	1314	747	995	1532	1242	1131	922	1192	603					
7	Число избирательных бюллетеней в переносных ящиках для голосования	752	17	11	28	22	12	23	15	5	13	18	22	6	13	14	25	26	15	1	12	18	8	24	17	11	5	4	11	20	4	15	18	4	29	9	3	8	3	16	5	14	8	7	6	12	22	24	29	17	24	19	8	6	6	10	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44294	926	675	886	823	688	890	1064	673	1114	1106	1038	854	925	555	653	1054	750	311	953	896	856	986	793	702	701	748	758	725	562	1064	696	813	730	707	930	850	861	635	655	843	863	825	484	929	958	747	925	969	429	486	854	752	563	668	698	695					
9	Число недействительных избирательных бюллетеней	943	23	22	17	21	13	13	25	12	26	18	19	13	29	13	16	15	17	12	20	15	12	17	24	14	6	17	13	24	12	19	16	15	17	14	21	14	16	21	10	8	12	20	7	21	11	13	27	24	29	8	17	10	23	16	17	19					
10	Число действительных избирательных бюллетеней	44103	920	664	897	824	687	900	1054	666	1101	1106	1041	847	909	556	662	1065	748	300	945	899	852	993	786	699	700	735	756	721	554	1060	698	802	742	702	912	844	848	630	650	849	859	812	483	920	969	758	927	962	424	497	845	748	546	662	691	676					
