Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    район Новокосино 																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64424	2196	2054	2112	2258	2520	2506	273	2251	2460	2555	2449	2382	2179	2146	2262	2229	2483	2521	2537	2534	2447	2029	2078	1356	2106	2316	2501	2322	2362									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50300	1700	1600	1600	1700	2000	2000	200	1700	2000	2000	2000	1800	1600	1600	1700	1700	2000	2000	2000	2000	2000	1600	1600	1000	1600	1800	2000	1800	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22088	782	743	820	764	872	861	95	758	788	934	848	826	803	707	790	741	826	872	857	826	828	649	624	427	796	772	842	848	789									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	579	23	25	16	12	24	23	6	16	38	16	21	17	23	25	16	17	15	31	30	26	26	17	17	9	24	17	17	8	24									
6	Число погашенных избирательных бюллетеней	27633	895	832	764	924	1104	1116	99	926	1174	1050	1131	957	774	868	894	942	1159	1097	1113	1148	1146	934	959	564	780	1011	1141	944	1187									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	579	23	25	16	12	24	23	6	16	38	16	21	17	23	25	16	17	15	31	30	26	26	17	17	9	24	17	17	8	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22064	777	740	820	762	872	859	95	758	785	934	846	826	803	703	790	741	826	872	857	823	828	649	624	427	796	772	842	848	789									
9	Число недействительных избирательных бюллетеней	381	10	18	17	12	18	10	0	15	17	19	16	18	14	7	22	0	20	16	13	12	18	13	10	6	15	8	20	6	11									
10	Число действительных избирательных бюллетеней	22262	790	747	819	762	878	872	101	759	806	931	851	825	812	721	784	758	821	887	874	837	836	653	631	430	805	781	839	850	802									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	525	20	20	25	20	20	20	5	20	20	20	25	20	10	20	15	15	20	20	20	20	20	20	10	15	15	10	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	385	13	13	17	16	13	15	3	15	10	18	21	11	5	14	9	14	20	14	16	13	15	12	9	11	8	9	18	16	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	453	12	3	9	9	6	10	8	18	20	6	25	29	46	10	42	43	5	20	24	11	27	13	3	4	6	9	7	10	18									
14	Число погашенных неиспользованных открепительных удостоверений	140	7	7	8	4	7	5	2	5	10	2	4	9	5	6	6	1	0	6	4	7	5	8	1	4	7	1	2	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	1	0	4	0	3	1	3	0	4	1	1	1	1	4	3	1	2	2	7	5	5	2	1	0	8	0	6	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	733	34	18	31	24	32	24	3	18	18	30	22	24	33	34	19	31	23	40	33	22	21	27	21	7	22	42	30	19	31									
		3.24%	4.25%	2.35%	3.71%	3.10%	3.57%	2.72%	2.97%	2.33%	2.19%	3.16%	2.54%	2.85%	3.99%	4.67%	2.36%	4.09%	2.73%	4.43%	3.72%	2.59%	2.46%	4.05%	3.28%	1.61%	2.68%	5.32%	3.49%	2.22%	3.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	464	14	16	10	13	37	11	1	17	21	17	6	20	12	13	20	28	21	11	21	17	15	15	10	9	15	15	15	20	24									
		2.05%	1.75%	2.09%	1.20%	1.68%	4.13%	1.25%	0.99%	2.20%	2.55%	1.79%	0.69%	2.37%	1.45%	1.79%	2.48%	3.69%	2.50%	1.22%	2.37%	2.00%	1.76%	2.25%	1.56%	2.06%	1.83%	1.90%	1.75%	2.34%	2.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	719	34	25	21	18	27	33	2	20	21	28	27	31	22	13	34	22	36	31	39	39	39	17	19	10	32	21	25	9	24									
		3.18%	4.25%	3.27%	2.51%	2.33%	3.01%	3.74%	1.98%	2.58%	2.55%	2.95%	3.11%	3.68%	2.66%	1.79%	4.22%	2.90%	4.28%	3.43%	4.40%	4.59%	4.57%	2.55%	2.96%	2.29%	3.90%	2.66%	2.91%	1.05%	2.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8944	313	329	285	320	310	358	46	320	304	348	332	316	316	286	300	316	332	327	322	305	366	287	275	197	318	291	317	472	336									
		39.50%	39.13%	43.01%	34.09%	41.34%	34.60%	40.59%	45.54%	41.34%	36.94%	36.63%	38.29%	37.49%	38.26%	39.29%	37.22%	41.69%	39.48%	36.21%	36.30%	35.92%	42.86%	43.09%	42.90%	45.18%	38.78%	36.88%	36.90%	55.14%	41.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	426	21	14	19	19	8	26	3	9	14	13	16	19	18	17	22	15	14	12	23	16	9	8	10	6	18	21	15	1	20									
