Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Дзержинская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42142	253	294	267	332	244	517	426	108	576	1539	1392	1372	272	400	290	486	322	2322	2940	1615	1851	1618	1052	1444	962	1462	2022	1989	1031	1169	1740	1769	2153	969	1189	563	204	514	173	128	2173									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39000	240	270	250	300	240	500	400	100	550	1400	1250	1250	260	370	270	450	300	2200	2700	1500	1700	1500	1000	1350	900	1350	1900	1800	950	1100	1600	1600	2000	900	1060	540	180	470	180	120	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16889	126	122	84	133	111	202	203	44	256	574	613	483	93	168	104	218	65	946	1172	601	791	626	334	495	342	596	753	765	478	472	771	840	1010	465	452	183	82	201	80	65	770									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1621	31	10	84	29	59	45	21	12	94	28	11	113	24	39	18	33	82	7	59	67	22	17	34	47	12	28	74	41	26	18	14	6	27	16	56	204	30	38	15	19	11									
6	Число погашенных избирательных бюллетеней	20490	83	138	82	138	70	253	176	44	200	798	626	654	143	163	148	199	153	1247	1469	832	887	857	632	808	546	726	1073	994	446	610	815	754	963	419	552	153	68	231	85	36	1219									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1621	31	10	84	29	59	45	21	12	94	28	11	113	24	39	18	33	82	7	59	67	22	17	34	47	12	28	74	41	26	18	14	6	27	16	56	204	30	38	15	19	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16873	126	122	84	133	111	202	203	44	256	574	609	483	93	168	104	218	65	946	1171	600	791	624	334	495	342	596	746	765	478	472	771	840	1009	465	452	183	82	201	80	65	770									
9	Число недействительных избирательных бюллетеней	419	4	13	3	6	0	10	8	3	3	23	9	12	2	4	2	7	2	25	21	17	14	12	5	15	7	16	26	19	13	12	23	13	25	11	9	8	1	3	4	0	9									
10	Число действительных избирательных бюллетеней	18075	153	119	165	156	170	237	216	53	347	579	611	584	115	203	120	244	145	928	1209	650	799	629	363	527	347	608	794	787	491	478	762	833	1011	470	499	379	111	236	91	84	772									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	930	30	10	10	10	25	30	25	15	25	30	30	30	10	15	10	25	25	30	40	20	25	25	20	20	20	15	20	20	20	20	20	20	20	20	20	35	15	40	45	15	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	300	9	7	3	2	25	8	6	4	13	14	10	17	3	3	0	6	4	17	17	10	12	11	4	5	5	9	3	5	0	3	0	4	7	1	3	0	1	6	30	7	6									
