Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Диксонская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2199	УИК №2200					
1	"Число избирателей, внесенных в списки избирателей"	603	502	101					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	571	471	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	64	64	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	331	267	64					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	23	17	6					
6	Число погашенных избирательных бюллетеней	153	123	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	87	81	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	331	267	64					
9	Число недействительных избирательных бюллетеней	2	1	1					
10	Число действительных избирательных бюллетеней	416	347	69					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	40	25	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	8	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	32	20	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	8	5	3					
		1.91%	1.44%	4.29%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	7	2					
		2.15%	2.01%	2.86%					
20	3.Политическая партия «Демократическая партия России»	0	0	0					
		0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	21	20	1					
		5.02%	5.75%	1.43%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	3	0					
		0.72%	0.86%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	1					
		0.24%	0.00%	1.43%					
24	7.Политическая партия «Либерально-демократическая партия России»	47	39	8					
		11.24%	11.21%	11.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	17	13	4					
		4.07%	3.74%	5.71%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	4	4	0					
		0.96%	1.15%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	303	254	49					
		72.49%	72.99%	70.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3	2	1					
		0.72%	0.57%	1.43%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
