Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Александровск-Сахалинская ТИК																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15					
1	"Число избирателей, внесенных в список избирателей"	10885	217	481	212	78	1119	261	286	139	446	900	1206	2175	2289	1035	41					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8770	200	400	180	80	800	250	260	110	400	750	1000	1700	1800	800	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4576	74	239	89	47	428	127	122	50	155	306	584	1011	968	376	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	563	33	8	1	1	121	18	73	18	42	39	30	58	43	45	33					
6	Число погашенных избирательных бюллетеней	3631	93	153	90	32	251	105	65	42	203	405	386	631	789	379	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	563	33	8	1	1	121	18	73	18	42	39	30	58	43	45	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4576	74	239	89	47	428	127	122	50	155	306	584	1011	968	376	0					
9	Число недействительных избирательных бюллетеней	95	0	14	3	2	6	6	6	1	3	7	10	12	19	6	0					
10	Число действительных избирательных бюллетеней	5044	107	233	87	46	543	139	189	67	194	338	604	1057	992	415	33					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	10	10	10	5	20	10	10	10	10	15	45	30	30	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	147	10	0	1	4	12	10	2	2	6	4	43	9	30	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	0	0	0	6	5	4	4	4	1	2	10	6	4	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	88	0	10	9	1	8	0	8	8	4	11	2	21	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	4	1	0	1	0	2	0	0	0	3	5	7	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	543	20	29	15	1	71	14	19	7	26	23	63	117	93	42	3					
		10.57%	18.69%	11.74%	16.67%	2.08%	12.93%	9.66%	9.74%	10.29%	13.20%	6.67%	10.26%	10.94%	9.20%	9.98%	9.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	682	10	28	11	6	90	25	22	11	25	59	65	140	137	49	4					
		13.27%	9.35%	11.34%	12.22%	12.50%	16.39%	17.24%	11.28%	16.18%	12.69%	17.10%	10.59%	13.10%	13.55%	11.64%	12.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	0	0	0	0	4	2	1	2	4	4	8	8	7	3	0					
		0.84%	0.00%	0.00%	0.00%	0.00%	0.73%	1.38%	0.51%	2.94%	2.03%	1.16%	1.30%	0.75%	0.69%	0.71%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1036	18	76	23	6	142	33	36	8	37	62	100	191	200	91	13					
		20.16%	16.82%	30.77%	25.56%	12.50%	25.87%	22.76%	18.46%	11.76%	18.78%	17.97%	16.29%	17.87%	19.78%	21.62%	39.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	112	1	1	0	0	16	1	0	0	0	5	19	30	30	8	1					
		2.18%	0.93%	0.40%	0.00%	0.00%	2.91%	0.69%	0.00%	0.00%	0.00%	1.45%	3.09%	2.81%	2.97%	1.90%	3.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2604	57	99	38	33	218	64	109	38	102	184	348	565	519	218	12					
		50.67%	53.27%	40.08%	42.22%	68.75%	39.71%	44.14%	55.90%	55.88%	51.78%	53.33%	56.68%	52.85%	51.34%	51.78%	36.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	1	0	0	0	2	0	2	1	0	1	1	6	6	4	0					
		0.47%	0.93%	0.00%	0.00%	0.00%	0.36%	0.00%	1.03%	1.47%	0.00%	0.29%	0.16%	0.56%	0.59%	0.95%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
