Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Егорлыкская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
1	"Число избирателей, внесенных в списки"	27793	1759	1001	1655	1145	2000	1753	1876	1000	1383	839	681	430	645	1024	1337	347	1022	1232	794	1225	2028	1143	1474					
2	"Число бюллетеней, полученных участковыми комиссиями"	27776	1745	1000	1653	1115	1997	1758	1901	992	1326	848	690	438	650	992	1350	345	1027	1237	793	1230	2051	1158	1480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18903	1151	696	994	868	1293	1392	1229	778	909	420	513	275	382	564	1019	164	724	903	614	966	1368	608	1073					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1989	54	33	49	82	40	46	49	30	38	286	81	73	76	66	65	81	100	90	62	7	289	202	90					
6	Число погашенных бюллетеней	6884	540	271	610	165	664	320	623	184	379	142	96	90	192	362	266	100	203	244	117	257	394	348	317					
7	Число бюллетеней в переносных ящиках для голосования	1989	54	33	49	82	40	46	49	30	38	286	81	73	76	66	65	81	100	90	62	7	289	202	90					
8	Число бюллетеней в стационарных ящиках для голосования	18896	1151	696	994	868	1293	1392	1229	777	904	420	513	275	382	564	1019	163	724	903	614	966	1368	608	1073					
9	Число недействительных бюллетеней	205	8	11	19	4	6	11	10	6	11	3	2	1	13	20	14	5	12	0	7	23	12	0	7					
10	Число действительных бюллетеней	20680	1197	718	1024	946	1327	1427	1268	801	931	703	592	347	445	610	1070	239	812	993	669	950	1645	810	1156					
