Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Читинская-46 поселковая										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК  285	УИК  286	УИК  287					
1	"Число избирателей, внесенных в списки"	6699	3222	2197	1280					
2	"Число бюллетеней, полученных участковыми комиссиями"	5628	2460	2034	1134					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4231	2088	1300	843					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	103	70	23	10					
6	Число погашенных бюллетеней	1294	302	711	281					
7	Число бюллетеней в переносных ящиках для голосования	103	70	23	10					
8	Число бюллетеней в стационарных ящиках для голосования	4228	2088	1297	843					
9	Число недействительных бюллетеней	30	2	21	7					
10	Число действительных бюллетеней	4301	2156	1299	846					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	393	193	100	100					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	30	17	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	8	12	5					
14	Число погашенных открепительных удостоверений	339	163	83	93					
15	Число открепительных удостоверений выданных ТИК	7	3	4	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	128	62	33	33					
		2.95%	2.87%	2.5%	3.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	61	33	18	10					
		1.40%	1.52%	1.36%	1.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	71	25	25	21					
		1.63%	1.15%	1.89%	2.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	59	30	19	10					
		1.36%	1.39%	1.43%	1.17%					
22	"5. ""За Русь Святую"""	8	5	0	3					
		0.18%	0.23%	0.0%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	5	2	2					
		0.20%	0.23%	0.15%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	17	11	3					
		0.71%	0.78%	0.83%	0.35%					
25	"8. ""Народно-республиканская партия России"""	1	1	0	0					
		0.02%	0.04%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	7	4	2					
		0.30%	0.32%	0.30%	0.23%					
27	"10. ""Аграрная партия России"""	69	26	26	17					
		1.59%	1.20%	1.96%	1.99%					
28	"11. ""Истинные патриоты России"""	6	6	0	0					
		0.13%	0.27%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	60	20	25	15					
		1.38%	0.92%	1.89%	1.75%					
30	"13. ""Демократическая партия России"""	4	3	0	1					
		0.09%	0.13%	0.0%	0.11%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	4	2	0					
		0.13%	0.18%	0.15%	0.0%					
32	"15. ""Партия СЛОН"""	18	13	3	2					
		0.41%	0.60%	0.22%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	104	45	41	18					
		2.40%	2.08%	3.10%	2.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	7	2	1					
		0.23%	0.32%	0.15%	0.11%					
35	"18. ""ЛДПР"""	836	410	264	162					
		19.30%	18.99%	20.0%	18.99%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	29	9	11	9					
		0.66%	0.41%	0.83%	1.05%					
37	"20. ""Политическая партия ""Единая Россия"""	2416	1246	708	462					
		55.78%	57.73%	53.63%	54.16%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	3	3	1					
		0.16%	0.13%	0.22%	0.11%					
39	"22. ""Развитие предпринимательства"""	29	23	3	3					
		0.66%	1.06%	0.22%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	174	71	54	49					
		4.01%	3.29%	4.09%	5.74%					
										
41	Против всех	152	85	45	22					
		3.50%	3.93%	3.40%	2.57%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
