Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Чебулинская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1721	УИК №1722									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10789	871	1205	977	130	33	174	127	434	364	431	506	120	173	536	76	431	718	367	188	417	926	276	40	149	893	227									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10750	849	1121	969	130	38	179	126	432	365	433	520	122	174	536	75	440	698	370	188	421	905	276	41	161	952	229									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9182	723	926	782	120	33	160	126	394	318	391	367	106	147	467	68	361	635	305	174	390	832	255	38	132	726	206									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	586	16	122	67	2	0	3	0	10	30	26	41	9	11	30	4	27	34	35	1	17	23	9	0	12	50	7									
6	Число погашенных избирательных бюллетеней	966	110	73	120	8	5	16	0	28	17	16	112	7	16	39	3	36	29	30	13	14	50	12	3	17	176	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	602	16	122	67	2	0	3	0	10	30	26	41	9	11	30	4	43	34	35	1	17	23	9	0	12	50	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9182	723	926	782	120	33	160	126	394	318	391	367	106	147	467	68	361	635	305	174	390	832	255	38	132	726	206									
9	Число недействительных избирательных бюллетеней	78	7	11	4	0	0	0	0	1	0	4	8	1	1	0	0	2	4	12	0	9	4	7	0	2	0	1									
10	Число действительных избирательных бюллетеней	9706	732	1037	845	122	33	163	126	403	348	413	400	114	157	497	72	402	665	328	175	398	851	257	38	142	776	212									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	120	12	16	15	1	0	1	1	4	3	4	5	2	1	5	0	4	7	3	2	4	9	3	0	1	15	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	54	1	8	15	0	0	1	0	1	3	3	2	2	0	0	0	1	2	3	1	4	0	3	0	1	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	1	5	1	0	0	0	0	2	1	2	1	1	1	0	0	2	5	0	0	1	3	1	0	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	66	11	8	0	1	0	0	1	3	0	1	3	0	1	5	0	3	5	0	1	0	9	0	0	0	12	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	3	3	4	2	0	0	0	1	2	1	1	0	1	3	0	1	2	0	0	1	0	2	0	0	1	0									
