Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Еманжелинская городская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823					
1	"Число избирателей, внесенных в списки"	38499	1507	1303	1365	1413	1260	1280	1405	1238	1252	1367	1328	1488	1462	1332	1417	1193	276	1184	1455	1432	1374	1337	1306	1327	1414	999	558	1345	1464	1418					
2	"Число бюллетеней, полученных участковыми комиссиями"	34663	1350	1185	1255	1270	1130	1150	1270	1105	1130	1235	1195	1340	1320	1200	1280	1060	235	1075	1310	1285	1235	1205	1170	1220	1250	900	498	1215	1315	1275					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17528	684	470	533	730	700	535	522	608	686	687	628	645	735	700	730	588	132	389	583	593	696	624	624	594	518	377	189	637	661	730					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	992	35	51	47	45	43	27	44	21	40	37	31	37	30	9	23	35	19	48	11	39	41	17	45	30	35	36	30	43	23	20					
6	Число погашенных бюллетеней	16143	631	664	675	495	387	588	704	476	404	511	536	658	555	491	527	437	84	638	716	653	498	564	501	596	697	487	279	535	631	525					
7	Число бюллетеней в переносных ящиках для голосования	992	35	51	47	45	43	27	44	21	40	37	31	37	30	9	23	35	19	48	11	39	41	17	45	30	35	36	30	43	23	20					
8	Число бюллетеней в стационарных ящиках для голосования	17528	684	470	532	730	700	535	522	608	690	687	628	645	735	699	730	588	132	389	582	592	696	624	624	594	518	377	189	637	661	730					
9	Число недействительных бюллетеней	390	7	14	21	13	5	12	13	17	25	9	16	12	8	15	3	7	4	27	18	11	16	8	12	15	19	15	4	12	19	13					
10	Число действительных бюллетеней	18130	712	507	558	762	738	550	553	612	705	715	643	670	757	693	750	616	147	410	575	620	721	633	657	609	534	398	215	668	665	737					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	303	10	10	10	10	10	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	136	3	7	8	10	4	7	1	8	10	8	6	5	9	8	5	6	0	2	2	5	6	1	2	0	2	2	0	1	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	136	7	1	6	3	8	2	0	7	7	7	1	5	5	4	3	13	9	3	5	2	2	3	5	2	8	3	1	6	3	5					
14	Число погашенных открепительных удостоверений	167	7	3	2	0	6	3	9	2	0	2	4	5	4	2	5	4	10	8	8	5	4	9	8	10	8	8	10	9	7	5					
15	Число открепительных удостоверений выданных ТИК	16	0	0	1	1	0	1	0	0	1	1	0	0	1	0	2	1	0	1	0	2	1	0	1	0	1	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	144	4	6	7	8	3	5	3	5	5	1	4	4	0	4	4	3	2	6	2	7	7	4	8	6	6	8	2	8	7	5					
		0.77%	0.55%	1.15%	1.20%	1.03%	0.40%	0.88%	0.53%	0.79%	0.68%	0.13%	0.60%	0.58%	0.0%	0.56%	0.53%	0.48%	1.32%	1.37%	0.33%	1.10%	0.94%	0.62%	1.19%	0.96%	1.08%	1.93%	0.91%	1.17%	1.02%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	332	11	7	12	28	11	8	7	17	5	18	11	20	13	6	16	12	1	2	7	6	14	11	10	12	12	7	6	9	15	18					
		1.79%	1.52%	1.34%	2.07%	3.61%	1.48%	1.42%	1.23%	2.70%	0.68%	2.48%	1.66%	2.93%	1.69%	0.84%	2.12%	1.92%	0.66%	0.45%	1.18%	0.95%	1.89%	1.71%	1.49%	1.92%	2.16%	1.69%	2.73%	1.32%	2.19%	2.4%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	6800	331	218	197	272	314	206	207	312	352	280	255	232	374	283	300	264	24	123	177	236	233	180	217	184	132	124	63	256	202	252					
		36.71%	46.03%	41.84%	34.02%	35.09%	42.26%	36.65%	36.57%	49.60%	48.21%	38.67%	38.69%	34.01%	48.88%	39.97%	39.84%	42.37%	15.89%	28.14%	29.84%	37.40%	31.61%	28.08%	32.43%	29.48%	23.86%	30.02%	28.76%	37.64%	29.53%	33.6%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	518	12	12	14	24	18	8	9	9	16	30	23	24	20	21	26	18	5	9	13	11	19	27	33	24	18	9	2	12	15	37					
		2.79%	1.66%	2.30%	2.41%	3.09%	2.42%	1.42%	1.59%	1.43%	2.19%	4.14%	3.49%	3.51%	2.61%	2.96%	3.45%	2.88%	3.31%	2.05%	2.19%	1.74%	2.57%	4.21%	4.93%	3.84%	3.25%	2.17%	0.91%	1.76%	2.19%	4.93%					
22	"5. ""За Русь Святую"""	51	0	2	1	2	9	1	1	0	2	2	0	1	2	3	1	2	2	0	0	3	5	2	1	2	1	1	0	0	5	0					
		0.27%	0.0%	0.38%	0.17%	0.25%	1.21%	0.17%	0.17%	0.0%	0.27%	0.27%	0.0%	0.14%	0.26%	0.42%	0.13%	0.32%	1.32%	0.0%	0.0%	0.47%	0.67%	0.31%	0.14%	0.32%	0.18%	0.24%	0.0%	0.0%	0.73%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	2	3	1	1	0	0	2	1	1	4	1	0	0	1	2	2	1	0	1	0	0	0	0	2	0	2	1	3	0					
		0.17%	0.13%	0.38%	0.51%	0.12%	0.13%	0.0%	0.0%	0.31%	0.13%	0.13%	0.60%	0.14%	0.0%	0.0%	0.13%	0.32%	1.32%	0.22%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.91%	0.14%	0.43%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	109	2	4	2	4	4	2	1	3	2	6	7	4	3	7	1	2	0	3	9	5	4	8	1	3	3	2	1	3	8	5					
		0.58%	0.27%	0.76%	0.34%	0.51%	0.53%	0.35%	0.17%	0.47%	0.27%	0.82%	1.06%	0.58%	0.39%	0.98%	0.13%	0.32%	0.0%	0.68%	1.51%	0.79%	0.54%	1.24%	0.14%	0.48%	0.54%	0.48%	0.45%	0.44%	1.16%	0.66%					
25	"8. ""Народно-республиканская партия России"""	16	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	2	1	0	1	0	1	1	1	0	2	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.17%	0.15%	0.0%	0.13%	0.0%	0.0%	0.13%	0.14%	0.13%	0.0%	0.0%	0.0%	0.0%	0.31%	0.13%	0.0%	0.14%	0.0%	0.18%	0.24%	0.45%	0.0%	0.29%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	50	2	4	2	2	0	0	0	2	3	2	4	8	3	0	0	1	1	1	1	2	2	1	1	1	1	3	0	0	3	0					
		0.26%	0.27%	0.76%	0.34%	0.25%	0.0%	0.0%	0.0%	0.31%	0.41%	0.27%	0.60%	1.17%	0.39%	0.0%	0.0%	0.16%	0.66%	0.22%	0.16%	0.31%	0.27%	0.15%	0.14%	0.16%	0.18%	0.72%	0.0%	0.0%	0.43%	0.0%					
27	"10. ""Аграрная партия России"""	323	10	12	5	16	9	10	12	14	2	7	11	13	7	8	8	11	5	9	19	8	12	9	15	22	18	11	4	8	17	11					
		1.74%	1.39%	2.30%	0.86%	2.06%	1.21%	1.77%	2.12%	2.22%	0.27%	0.96%	1.66%	1.90%	0.91%	1.12%	1.06%	1.76%	3.31%	2.05%	3.20%	1.26%	1.62%	1.40%	2.24%	3.52%	3.25%	2.66%	1.82%	1.17%	2.48%	1.46%					
28	"11. ""Истинные патриоты России"""	11	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0					
		0.05%	0.13%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.29%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	140	7	5	12	8	2	2	1	4	4	11	6	10	6	3	7	4	0	2	2	1	4	2	1	3	3	9	2	4	7	8					
		0.75%	0.97%	0.95%	2.07%	1.03%	0.26%	0.35%	0.17%	0.63%	0.54%	1.51%	0.91%	1.46%	0.78%	0.42%	0.92%	0.64%	0.0%	0.45%	0.33%	0.15%	0.54%	0.31%	0.14%	0.48%	0.54%	2.17%	0.91%	0.58%	1.02%	1.06%					
30	"13. ""Демократическая партия России"""	43	0	0	0	2	1	4	2	1	0	2	5	0	1	2	0	1	0	3	2	1	3	1	2	1	0	4	0	1	0	4					
		0.23%	0.0%	0.0%	0.0%	0.25%	0.13%	0.71%	0.35%	0.15%	0.0%	0.27%	0.75%	0.0%	0.13%	0.28%	0.0%	0.16%	0.0%	0.68%	0.33%	0.15%	0.40%	0.15%	0.29%	0.16%	0.0%	0.96%	0.0%	0.14%	0.0%	0.53%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	1	0	2	0	0	1	3	0	0	1	0	1	0	0	3	1	0	2	1	1	1	1	1	1	2	2	2	0	0	1					
		0.15%	0.13%	0.0%	0.34%	0.0%	0.0%	0.17%	0.53%	0.0%	0.0%	0.13%	0.0%	0.14%	0.0%	0.0%	0.39%	0.16%	0.0%	0.45%	0.16%	0.15%	0.13%	0.15%	0.14%	0.16%	0.36%	0.48%	0.91%	0.0%	0.0%	0.13%					
32	"15. ""Партия СЛОН"""	33	2	0	2	1	0	1	2	0	1	1	2	1	1	1	2	1	0	0	1	0	2	1	1	5	1	0	2	0	2	0					
		0.17%	0.27%	0.0%	0.34%	0.12%	0.0%	0.17%	0.35%	0.0%	0.13%	0.13%	0.30%	0.14%	0.13%	0.14%	0.26%	0.16%	0.0%	0.0%	0.16%	0.0%	0.27%	0.15%	0.14%	0.80%	0.18%	0.0%	0.91%	0.0%	0.29%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	649	22	21	26	23	25	17	14	6	20	26	18	19	27	20	33	17	9	20	31	14	46	19	29	25	31	14	9	27	26	15					
		3.50%	3.05%	4.03%	4.49%	2.96%	3.36%	3.02%	2.47%	0.95%	2.73%	3.59%	2.73%	2.78%	3.52%	2.82%	4.38%	2.72%	5.96%	4.57%	5.22%	2.21%	6.24%	2.96%	4.33%	4.00%	5.60%	3.38%	4.10%	3.97%	3.80%	2.0%					
