Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Грозненская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №435									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65780	845	806	801	1468	1892	2676	2256	980	2720	968	1645	1623	1928	2030	2657	2653	1887	2220	2284	2440	2849	502	1135	913	2551	2353	2061	2499	2223	2274	1559	814	1059	824	1429	818	1577	150	1411									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63932	821	783	778	1427	1839	2601	2193	952	2644	941	1599	1577	1874	1973	2582	2578	1834	2158	2221	2371	2769	488	1103	887	2479	2287	2003	2429	2161	2210	1515	791	1029	801	1389	795	1533	146	1371									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	62141	796	755	759	1395	1774	2545	2133	937	2563	903	1565	1525	1833	1909	2520	2501	1767	2129	2157	2320	2688	469	1077	871	2434	2219	1948	2348	2110	2133	1472	762	987	771	1342	775	1484	139	1326									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	303	2	3	2	4	3	13	10	1	8	6	5	8	14	11	12	13	12	9	11	14	16	2	3	2	8	9	11	13	14	12	7	5	6	5	10	4	6	1	8									
6	Число погашенных избирательных бюллетеней	1488	23	25	17	28	62	43	50	14	73	32	29	44	27	53	50	64	55	20	53	37	65	17	23	14	37	59	44	68	37	65	36	24	36	25	37	16	43	6	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	303	2	3	2	4	3	13	10	1	8	6	5	8	14	11	12	13	12	9	11	14	16	2	3	2	8	9	11	13	14	12	7	5	6	5	10	4	6	1	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	62141	796	755	759	1395	1774	2545	2133	937	2563	903	1565	1525	1833	1909	2520	2501	1767	2129	2157	2320	2688	469	1077	871	2434	2219	1948	2348	2110	2133	1472	762	987	771	1342	775	1484	139	1326									
9	Число недействительных избирательных бюллетеней	23	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1									
10	Число действительных избирательных бюллетеней	62421	798	758	761	1398	1776	2557	2142	938	2570	909	1569	1532	1846	1919	2531	2513	1778	2137	2167	2333	2703	471	1079	873	2441	2228	1959	2360	2123	2144	1479	767	993	776	1352	779	1489	140	1333									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	5	5	5	7	8	10	10	7	10	5	6	6	6	6	8	10	10	10	10	10	10	4	6	6	10	10	10	10	9	10	7	4	6	6	8	6	8	2	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
