Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Центральная N16																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766					
1	"Число избирателей, внесенных в списки избирателей"	101213	1098	2150	2953	1907	2317	1878	1888	2083	1522	2310	1743	2069	2919	2033	1627	2350	1632	2072	2045	1442	1856	1561	1828	871	61	1332	1569	2298	1479	2241	1945	1689	2352	1785	2387	2144	2139	1991	2236	1851	2445	2348	1796	2256	2453	2679	1739	2054	2587	2164	2766	273					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84050	1000	1500	2500	1500	2000	1500	1500	1500	1500	2000	1500	1500	2500	1500	1500	2000	1500	1500	2000	1000	1500	1500	1500	1150	100	1000	1500	2000	1000	2500	1500	1500	2000	1500	2000	1500	1500	1500	2000	1500	2000	2000	1500	2000	2000	2000	1500	1500	2000	1500	2500	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45674	542	1142	1215	873	1007	811	961	1028	654	963	704	966	1089	1003	768	1042	753	959	833	719	911	633	826	871	51	589	654	812	694	1309	878	812	1008	696	997	958	994	901	969	909	1027	1050	716	1193	1005	1237	682	766	1059	991	1171	273					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1086	19	22	15	25	27	9	48	26	17	94	13	49	58	23	17	22	16	8	24	13	11	10	30	0	3	6	10	13	26	25	15	12	14	25	18	11	18	21	28	20	23	20	14	18	28	22	13	24	30	17	16	0					
6	Число погашенных избирательных бюллетеней	37287	439	336	1270	602	966	680	491	446	829	943	783	485	1353	473	715	936	731	533	1143	268	578	857	644	279	46	405	836	1175	280	1166	607	676	978	779	985	531	488	578	1003	571	950	930	770	789	967	741	805	710	911	492	1311	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1086	19	22	15	25	27	9	48	26	17	94	13	49	58	23	17	22	16	8	24	13	11	10	30	0	3	6	10	13	26	25	15	12	14	25	18	11	18	21	28	20	23	20	14	18	28	22	13	24	30	17	16	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45596	541	1142	1215	873	1005	809	958	1026	654	960	703	964	1088	1003	768	1041	753	958	833	716	908	632	826	871	51	588	652	811	691	1308	875	807	1008	696	996	956	991	898	968	898	1026	1050	716	1193	1000	1232	682	766	1059	989	1169	273					
9	Число недействительных избирательных бюллетеней	505	9	16	18	18	18	5	12	7	2	14	7	15	20	5	8	10	8	7	10	7	9	5	11	2	0	5	11	12	6	14	12	10	16	7	7	6	10	12	9	8	10	17	15	10	4	18	3	7	7	14	11	1					
10	Число действительных избирательных бюллетеней	46177	551	1148	1212	880	1014	813	994	1045	669	1040	709	998	1126	1021	777	1053	761	959	847	722	910	637	845	869	54	589	651	812	711	1319	878	809	1006	714	1007	961	999	907	987	910	1039	1053	715	1201	1024	1236	692	783	1082	992	1174	272					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2657	50	110	222	50	20	50	50	50	25	50	50	60	50	50	50	50	50	50	50	50	50	50	50	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1659	21	84	209	33	18	29	30	33	12	16	36	56	42	24	25	25	26	20	23	12	20	23	16	0	0	22	23	29	29	50	40	32	32	26	26	33	28	30	34	29	31	47	40	43	25	55	24	18	32	20	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2162	28	60	59	36	19	29	11	29	14	22	17	81	40	62	17	20	20	24	14	22	13	21	20	871	3	25	31	26	41	21	18	10	26	11	20	33	29	29	25	23	23	26	21	19	23	12	23	15	16	18	25	21					
14	Число погашенных неиспользованных открепительных удостоверений	998	29	26	13	17	2	21	20	17	13	34	14	4	8	26	25	25	24	30	27	38	30	27	34	0	0	28	27	21	21	0	10	18	18	24	24	17	22	20	16	21	19	3	10	7	25	15	26	32	18	30	22	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	0	2	5	3	2	1	3	3	1	2	6	1	2	4	1	5	2	2	3	0	5	1	4	0	0	1	2	0	4	4	2	2	5	7	3	2	0	6	3	0	2	3	5	2	9	5	0	4	2	3	9	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	1.Политическая партия «Аграрная партия России»	1023	25	18	22	18	20	13	24	21	20	25	21	20	21	29	16	21	18	21	21	11	19	13	13	11	1	12	15	22	11	32	21	19	18	13	23	19	25	34	28	26	30	29	17	23	29	16	16	7	15	29	27	5					
		2.19%	4.46%	1.55%	1.79%	2.00%	1.94%	1.59%	2.39%	1.99%	2.98%	2.37%	2.93%	1.97%	1.83%	2.83%	2.04%	1.98%	2.34%	2.17%	2.45%	1.51%	2.07%	2.02%	1.52%	1.26%	1.85%	2.02%	2.27%	2.67%	1.53%	2.40%	2.36%	2.32%	1.76%	1.80%	2.27%	1.96%	2.48%	3.70%	2.81%	2.83%	2.86%	2.71%	2.33%	1.90%	2.82%	1.28%	2.30%	0.89%	1.38%	2.88%	2.28%	1.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1339	13	38	34	30	17	25	33	35	10	27	23	23	29	24	23	36	33	26	25	19	34	17	25	11	0	26	23	31	26	32	30	29	40	26	21	32	32	21	23	29	31	23	28	32	23	40	16	23	29	30	31	2					
		2.87%	2.32%	3.26%	2.76%	3.34%	1.65%	3.06%	3.28%	3.33%	1.49%	2.56%	3.21%	2.27%	2.53%	2.34%	2.93%	3.39%	4.29%	2.69%	2.92%	2.61%	3.70%	2.65%	2.92%	1.26%	0.00%	4.38%	3.47%	3.76%	3.63%	2.40%	3.37%	3.54%	3.91%	3.61%	2.07%	3.31%	3.17%	2.29%	2.31%	3.16%	2.96%	2.15%	3.84%	2.64%	2.24%	3.19%	2.30%	2.91%	2.66%	2.98%	2.62%	0.73%					
20	3.Политическая партия «Демократическая партия России»	63	0	2	2	0	0	0	2	1	0	1	1	0	2	2	2	1	1	0	3	1	1	0	1	0	0	2	2	1	3	1	3	1	1	0	2	3	1	0	0	1	1	0	1	2	0	3	1	1	1	4	5	0					
		0.13%	0.00%	0.17%	0.16%	0.00%	0.00%	0.00%	0.20%	0.10%	0.00%	0.09%	0.14%	0.00%	0.17%	0.19%	0.25%	0.09%	0.13%	0.00%	0.35%	0.14%	0.11%	0.00%	0.12%	0.00%	0.00%	0.34%	0.30%	0.12%	0.42%	0.08%	0.34%	0.12%	0.10%	0.00%	0.20%	0.31%	0.10%	0.00%	0.00%	0.11%	0.10%	0.00%	0.14%	0.17%	0.00%	0.24%	0.14%	0.13%	0.09%	0.40%	0.42%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5587	77	147	191	115	132	107	130	123	66	115	84	119	116	138	97	127	106	94	91	87	121	73	96	63	6	78	86	104	88	183	118	87	84	92	99	99	119	119	107	158	104	142	98	131	127	160	91	90	125	124	126	27					
		11.97%	13.75%	12.63%	15.53%	12.81%	12.79%	13.08%	12.92%	11.69%	9.84%	10.91%	11.73%	11.75%	10.12%	13.45%	12.36%	11.95%	13.78%	9.73%	10.62%	11.93%	13.17%	11.37%	11.21%	7.23%	11.11%	13.13%	12.99%	12.62%	12.27%	13.73%	13.26%	10.62%	8.22%	12.76%	9.76%	10.24%	11.79%	12.95%	10.74%	17.21%	9.91%	13.27%	13.42%	10.82%	12.35%	12.76%	13.09%	11.39%	11.48%	12.33%	10.63%	9.89%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2377	40	80	49	51	57	45	45	64	48	81	29	39	63	52	48	75	37	68	50	58	45	32	62	17	0	25	39	42	43	45	58	49	50	31	31	48	47	62	50	47	44	47	34	48	49	73	31	24	37	40	46	2					
