Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Тунгиро-Олекминская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240					
1	"Число избирателей, внесенных в списки избирателей"	1048	680	207	70	62	29					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1158	745	240	74	70	29					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	918	594	184	54	57	29					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	58	49	7	0	2	0					
6	Число погашенных избирательных бюллетеней	182	102	49	20	11	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	58	49	7	0	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	917	593	184	54	57	29					
9	Число недействительных избирательных бюллетеней	12	10	0	1	1	0					
10	Число действительных избирательных бюллетеней	963	632	191	53	58	29					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	129	86	34	2	5	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	117	83	30	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	10	6	4	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	12	3	4	2	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	17	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	12	5	3	3	1	0					
		1.23%	0.78%	1.57%	5.56%	1.69%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2	2	0	0	0	0					
		0.21%	0.31%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	26	17	6	3	0	0					
		2.67%	2.65%	3.14%	5.56%	0.00%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1	1	0	0	0	0					
		0.10%	0.16%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	1	0	0	0	0					
		0.10%	0.16%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	156	125	22	1	3	5					
		16.00%	19.47%	11.52%	1.85%	5.08%	17.24%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	22	17	4	0	1	0					
		2.26%	2.65%	2.09%	0.00%	1.69%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	17	13	2	0	2	0					
		1.74%	2.02%	1.05%	0.00%	3.39%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	722	448	154	46	50	24					
		74.05%	69.78%	80.63%	85.19%	84.75%	82.76%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4	3	0	0	1	0					
		0.41%	0.47%	0.00%	0.00%	1.69%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
