Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Терская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
1	"Число избирателей, внесенных в списки избирателей"	5726	104	86	72	135	176	352	839	662	1871	1429					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4175	110	100	70	135	170	240	580	460	1330	980					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	104	12	16	0	0	55	21	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2797	58	51	57	94	88	175	373	256	944	701					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	284	2	0	12	6	0	13	46	39	81	85					
6	Число погашенных избирательных бюллетеней	990	38	33	1	35	27	31	161	165	305	194					
7	Число избирательных бюллетеней в переносных ящиках для голосования	388	14	16	12	6	55	34	46	39	81	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2797	58	51	57	94	88	175	373	256	944	701					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	1	1	0	1	4	3					
10	Число действительных избирательных бюллетеней	3175	72	67	69	100	142	208	419	294	1021	783					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	2	2	1	2	2	10	15	20	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	50	2	0	0	1	0	7	2	5	19	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	81	1	2	1	10	2	13	8	9	18	17					
14	Число погашенных неиспользованных открепительных удостоверений	49	0	2	1	1	2	3	13	15	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	9	13	0	0	3	9	17	5	31	14					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	70	0	2	0	2	2	12	10	6	23	13					
		2.20%	0.00%	2.99%	0.00%	2.00%	1.40%	5.74%	2.39%	2.03%	2.24%	1.65%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	0	2	0	2	0	1	3	1	15	7					
		0.97%	0.00%	2.99%	0.00%	2.00%	0.00%	0.48%	0.72%	0.34%	1.46%	0.89%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	0	0	1	0	0	0	4					
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.51%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	538	5	2	9	18	4	33	71	43	177	176					
		16.89%	6.94%	2.99%	13.04%	18.00%	2.80%	15.79%	16.95%	14.58%	17.27%	22.39%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	14	0	0	1	0	1	1	3	0	5	3					
		0.44%	0.00%	0.00%	1.45%	0.00%	0.70%	0.48%	0.72%	0.00%	0.49%	0.38%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	0	0	0	1	0	0	3	1					
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.29%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	301	6	12	9	6	10	15	46	34	100	63					
		9.45%	8.33%	17.91%	13.04%	6.00%	6.99%	7.18%	10.98%	11.53%	9.76%	8.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	414	5	5	5	18	12	24	59	23	139	124					
		12.99%	6.94%	7.46%	7.25%	18.00%	8.39%	11.48%	14.08%	7.80%	13.56%	15.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	30	0	0	0	0	2	2	5	1	12	8					
		0.94%	0.00%	0.00%	0.00%	0.00%	1.40%	0.96%	1.19%	0.34%	1.17%	1.02%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1725	56	44	45	53	111	115	220	181	525	375					
		54.16%	77.78%	65.67%	65.22%	53.00%	77.62%	55.02%	52.51%	61.36%	51.22%	47.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	42	0	0	0	1	0	3	2	5	22	9					
		1.32%	0.00%	0.00%	0.00%	1.00%	0.00%	1.44%	0.48%	1.69%	2.15%	1.15%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
