Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Светловская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
1	"Число избирателей, внесенных в список избирателей"	11093	2686	2570	3097	2740					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10925	2661	2533	3081	2650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	740	13	31	592	104					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7066	1670	1580	2110	1706					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	264	21	21	215	7					
6	Число погашенных избирательных бюллетеней	2855	957	901	164	833					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1004	34	52	807	111					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7024	1636	1576	2109	1703					
9	Число недействительных избирательных бюллетеней	116	22	40	18	36					
10	Число действительных избирательных бюллетеней	7912	1648	1588	2898	1778					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	344	86	86	86	86					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	163	48	43	7	65					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	18	13	4	8					
14	Число погашенных неиспользованных открепительных удостоверений	181	38	43	79	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	2	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	689	203	185	130	171					
		8.58%	12.16%	11.36%	4.46%	9.43%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1794	286	291	825	392					
		22.35%	17.13%	17.87%	28.29%	21.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	18	23	30	21					
		1.15%	1.08%	1.41%	1.03%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1210	359	325	191	335					
		15.07%	21.50%	19.96%	6.55%	18.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	145	26	40	41	38					
		1.81%	1.56%	2.46%	1.41%	2.09%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3951	753	718	1665	815					
		49.22%	45.09%	44.10%	57.10%	44.93%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	31	3	6	16	6					
		0.39%	0.18%	0.37%	0.55%	0.33%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
