Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Хабаровская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816					
1	"Число избирателей, внесенных в список"	65953	84	916	86	656	333	475	75	86	432	1118	151	718	69	2633	1578	677	3051	2998	1217	675	515	1342	1396	1064	171	1748	1225	1248	1682	940	1804	1510	2130	2135	2415	2107	1849	1559	1823	553	109	1087	297	398	1187	395	2762	79	894	644	1729	606	699	129	155	1512	1414	1023	1170	1834	586					
2	Число полученных избирательных бюллетеней	66270	92	930	85	620	330	480	82	85	420	1150	140	720	61	2470	1700	690	3000	3000	1200	700	550	1330	1460	1100	160	1780	1320	1260	1700	1000	1860	1490	2200	2120	2500	2170	1860	1600	1990	550	100	960	310	400	1220	420	2800	85	870	650	1750	610	680	140	150	1500	1230	940	1100	1800	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	167	0	0	0	28	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45323	62	539	60	467	223	286	69	66	270	1039	124	510	57	2008	1303	531	2721	2451	777	522	362	889	1088	672	134	1071	1069	799	1024	485	994	1058	1381	1374	1641	1258	956	854	1179	352	97	810	211	269	707	247	1522	56	578	445	904	342	354	88	96	902	880	940	913	1688	549					
5	"Число избирательных бюллетеней, выданных вне помещения"	2587	3	61	4	46	35	16	0	18	91	17	2	63	3	55	232	30	108	67	63	84	29	15	15	63	8	65	11	29	68	13	50	1	64	77	71	56	45	47	39	9	0	24	28	0	46	63	204	18	37	12	81	17	73	14	1	22	84	0	25	31	34					
6	Число погашенных избирательных бюллетеней	18193	27	330	21	79	64	178	13	1	59	94	14	147	1	407	165	129	171	482	360	94	159	426	357	365	18	644	240	432	608	502	816	431	755	669	788	856	859	699	772	189	3	126	71	131	467	96	1074	11	255	193	765	251	253	38	53	576	266	0	45	81	17					
7	Число избирательных бюллетеней в переносных ящиках	2753	3	61	4	74	43	16	0	18	91	17	2	63	3	55	232	30	108	67	63	84	29	15	15	63	8	65	11	29	68	13	49	1	64	77	71	56	45	47	39	9	0	24	28	0	46	77	204	18	37	12	81	17	73	14	1	22	84	0	142	31	34					
8	Число бюллетеней в стационарных ящиках для голосования	45270	62	539	60	467	223	286	69	66	270	1033	124	510	57	2007	1303	531	2721	2446	777	522	362	889	1088	672	134	1070	1069	799	1024	485	992	1057	1381	1374	1604	1258	956	854	1179	352	97	810	211	269	707	247	1522	56	578	445	904	342	354	88	96	902	880	940	913	1688	549					
9	Число недействительных избирательных бюллетеней	471	1	9	1	5	0	2	0	1	1	4	0	5	1	15	7	5	11	12	10	3	1	13	13	2	2	15	8	5	32	6	22	5	24	23	12	24	24	21	15	4	1	5	5	4	7	1	22	1	9	0	12	4	7	0	2	10	6	3	3	4	1					
10	Число действительных избирательных бюллетеней	47552	64	591	63	536	266	300	69	83	360	1046	126	568	59	2047	1528	556	2818	2501	830	603	390	891	1090	733	140	1120	1072	823	1060	492	1019	1053	1421	1428	1663	1290	977	880	1203	357	96	829	234	265	746	323	1704	73	606	457	973	355	420	102	95	914	958	937	1052	1715	582					
11	Число полученных открепительных  удостоверений	1611	5	10	0	10	5	5	10	5	20	30	5	20	5	50	10	40	100	50	25	20	15	60	30	30	5	50	40	38	30	20	20	50	45	48	45	45	40	30	75	10	5	35	5	5	35	10	30	5	45	35	33	5	15	1	1	20	15	20	40	70	30					
12	Число выданных открепительных удостоверений	1372	5	10	0	5	3	1	10	1	20	30	5	20	3	46	7	35	81	49	25	20	15	52	25	28	3	42	36	36	29	15	19	44	39	34	35	30	38	23	65	10	2	32	4	4	20	6	25	2	24	29	30	3	15	1	1	16	15	14	40	66	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	887	2	7	2	3	1	1	2	7	12	6	5	10	13	53	0	19	50	21	10	7	4	56	10	11	3	12	11	15	21	8	23	9	12	13	16	17	22	13	16	15	7	16	8	2	18	24	22	12	12	16	14	5	15	3	5	11	122	3	10	12	12					
14	Число неиспользованных открепительных удостоверений	239	0	0	0	5	2	4	0	4	0	0	0	0	2	4	3	5	19	1	0	0	0	8	5	2	2	8	4	2	1	5	1	6	6	14	10	15	2	7	10	0	3	3	1	1	15	4	5	3	21	6	3	2	0	0	0	4	0	6	0	4	1					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	1	0	1	0	0	2	1	2	0	0	0	0	0	1	0	3	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	1774	0	17	2	26	6	8	1	2	5	10	2	26	4	54	11	12	54	38	27	10	9	30	41	38	3	68	43	33	37	13	46	28	88	108	121	80	71	78	36	28	1	18	4	10	34	5	89	0	11	51	42	12	15	9	2	43	73	7	7	19	8					
		3.69%	0.00%	2.83%	3.12%	4.81%	2.26%	2.65%	1.45%	2.38%	1.39%	0.95%	1.59%	4.54%	6.67%	2.62%	0.72%	2.14%	1.91%	1.51%	3.21%	1.65%	2.30%	3.32%	3.72%	5.17%	2.11%	5.99%	3.98%	3.99%	3.39%	2.61%	4.42%	2.65%	6.09%	7.44%	7.22%	6.09%	7.09%	8.66%	2.96%	7.76%	1.03%	2.16%	1.67%	3.72%	4.52%	1.54%	5.16%	0.00%	1.79%	11.16%	4.26%	3.34%	3.51%	8.82%	2.06%	4.65%	7.57%	0.74%	0.66%	1.11%	1.37%					
