Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Гурьевская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в списки"	35455	2217	2649	2431	1290	590	450	516	1130	777	257	795	371	486	442	571	856	483	2064	2648	2009	702	650	1348	713	2360	1291	778	941	1419	1659	562					
2	"Число бюллетеней, полученных участковыми комиссиями"	33521	2096	2524	2154	1191	541	453	506	1091	780	252	750	361	445	404	546	788	466	1893	2467	1922	785	656	1284	699	2315	1311	750	910	1180	1563	438					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14337	1009	1111	964	481	213	218	227	384	305	92	344	183	217	199	278	322	224	701	951	842	205	179	528	280	1111	461	287	420	436	756	409					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	424	9	27	17	15	8	8	6	19	29	7	23	5	4	6	4	20	6	11	10	14	38	38	0	24	17	18	19	4	9	9	0					
6	Число погашенных бюллетеней	18760	1078	1386	1173	695	320	227	273	688	446	153	383	173	224	199	264	446	236	1181	1506	1066	542	439	756	395	1187	832	444	486	735	798	29					
7	Число бюллетеней в переносных ящиках для голосования	424	9	27	17	15	8	8	6	19	29	7	23	5	4	6	4	20	6	11	10	14	38	38	0	24	17	18	19	4	9	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	14337	1009	1111	964	481	213	218	227	384	305	92	344	183	217	199	278	322	224	701	951	842	205	179	528	280	1111	461	287	420	436	756	409					
9	Число недействительных бюллетеней	210	10	17	11	5	3	10	7	15	6	1	5	6	6	3	7	1	0	5	9	7	6	5	7	3	16	6	8	11	5	4	5					
10	Число действительных бюллетеней	14551	1008	1121	970	491	218	216	226	388	328	98	362	182	215	202	275	341	230	707	952	849	237	212	521	301	1112	473	298	413	440	761	404					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	310	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	1	1	4	0	0	1	0	1	0	0	1	0	2	3	0	0	0	2	5	0	1	0	1	2	4	0	0	0	2	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	1	0	1	2	0	0	1	0	0	2	0	0	1	0	0	2	2	2	2	1	1	0	2	0	1	0	0	0	0	3	0					
14	Число погашенных открепительных удостоверений	261	9	9	6	10	10	9	10	9	10	10	9	10	8	7	10	10	10	8	5	10	9	10	9	8	6	10	10	10	8	0	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	262	16	10	9	12	13	9	3	13	21	7	15	4	4	5	5	7	4	3	17	15	4	4	4	5	16	11	3	5	6	6	6					
		1.77%	1.57%	0.87%	0.91%	2.41%	5.88%	3.98%	1.28%	3.22%	6.28%	7.07%	4.08%	2.12%	1.80%	2.43%	1.77%	2.04%	1.73%	0.42%	1.76%	1.75%	1.64%	1.84%	0.75%	1.64%	1.41%	2.29%	0.98%	1.17%	1.34%	0.78%	1.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	534	31	48	49	17	6	5	4	15	6	1	11	10	4	2	2	13	6	53	47	37	6	4	15	4	26	28	5	11	17	34	17					
		3.61%	3.04%	4.21%	4.99%	3.42%	2.71%	2.21%	1.71%	3.72%	1.79%	1.01%	2.99%	5.31%	1.80%	0.97%	0.70%	3.80%	2.60%	7.44%	4.89%	4.32%	2.46%	1.84%	2.84%	1.31%	2.30%	5.84%	1.63%	2.59%	3.82%	4.44%	4.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	360	34	20	18	9	4	7	4	15	8	0	10	6	5	3	11	6	9	13	14	18	5	7	14	7	33	14	6	8	15	25	12					
		2.43%	3.33%	1.75%	1.83%	1.81%	1.80%	3.09%	1.71%	3.72%	2.39%	0.0%	2.72%	3.19%	2.26%	1.46%	3.90%	1.75%	3.91%	1.82%	1.45%	2.10%	2.05%	3.22%	2.65%	2.30%	2.92%	2.92%	1.96%	1.88%	3.37%	3.26%	2.93%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	554	47	53	42	12	5	5	4	12	9	1	6	5	3	9	9	21	10	40	43	46	7	13	17	11	30	18	11	11	21	26	7					
		3.75%	4.61%	4.65%	4.28%	2.41%	2.26%	2.21%	1.71%	2.97%	2.69%	1.01%	1.63%	2.65%	1.35%	4.39%	3.19%	6.14%	4.34%	5.61%	4.47%	5.37%	2.88%	5.99%	3.21%	3.61%	2.65%	3.75%	3.59%	2.59%	4.71%	3.39%	1.71%					
22	"5. ""За Русь Святую"""	59	5	3	2	2	0	1	1	2	0	1	3	0	0	3	0	2	1	4	0	4	2	3	4	0	6	2	0	0	2	2	4					
		0.39%	0.49%	0.26%	0.20%	0.40%	0.0%	0.44%	0.42%	0.49%	0.0%	1.01%	0.81%	0.0%	0.0%	1.46%	0.0%	0.58%	0.43%	0.56%	0.0%	0.46%	0.82%	1.38%	0.75%	0.0%	0.53%	0.41%	0.0%	0.0%	0.44%	0.26%	0.97%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	0	0	1	0	2	1	0	0	0	0	1	0	1	1	3	0	1	1	3	4	1	0	3	0	3	0	1	0	0	1	2					
		0.20%	0.0%	0.0%	0.10%	0.0%	0.90%	0.44%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.45%	0.48%	1.06%	0.0%	0.43%	0.14%	0.31%	0.46%	0.41%	0.0%	0.56%	0.0%	0.26%	0.0%	0.32%	0.0%	0.0%	0.13%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	187	9	8	8	11	4	3	1	5	5	0	7	4	2	2	3	3	3	8	12	5	1	1	10	5	17	6	2	12	2	16	12					
