Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Минераловодская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98952	1040	1768	1405	1592	1659	716	1829	2736	2075	1405	2092	2174	1482	1264	2413	1459	1703	1710	1882	1832	2499	2813	1697	1470	1416	1198	1631	1873	1261	480	2495	1986	2035	716	376	1291	757	2592	1832	985	1628	354	273	1085	864	1077	1967	1135	1566	2108	2294	497	163	1484	1503	1060	2157	561	628	1982	1521	2117	1583	2410	889	407									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74350	800	1300	1000	1200	1200	600	1300	2000	1500	1000	1500	1600	1100	1000	1800	1100	1200	1300	1400	1400	1800	2000	1200	1100	1000	1000	1200	1400	1000	400	1800	1500	1500	600	300	1000	600	2000	1200	700	1200	300	200	800	700	800	1500	1000	1300	1700	1900	400	150	1200	1200	850	1600	450	500	1500	1200	1500	1200	1700	600	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28329	246	358	343	357	488	200	427	703	594	360	578	697	489	349	844	434	439	616	527	596	779	921	379	332	369	291	394	634	338	145	708	571	561	176	130	379	173	667	436	264	548	90	124	353	327	331	519	275	487	725	692	311	112	330	477	231	535	129	168	541	474	601	447	752	306	152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2183	42	21	9	51	8	48	14	21	11	10	27	21	62	13	21	6	61	9	10	25	8	9	20	74	7	11	80	22	9	3	26	23	48	63	23	37	28	21	9	30	23	27	16	56	16	15	42	50	110	179	50	16	4	146	78	104	65	17	15	26	13	21	13	21	17	2									
6	Число погашенных избирательных бюллетеней	43838	512	921	648	792	704	352	859	1276	895	630	895	882	549	638	935	660	700	675	863	779	1013	1070	801	694	624	698	726	744	653	252	1066	906	891	361	147	584	399	1312	755	406	629	183	60	391	357	454	939	675	703	796	1158	73	34	724	645	515	1000	304	317	933	713	878	740	927	277	146									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2182	42	21	9	51	8	48	14	21	11	10	27	21	62	13	21	6	61	9	10	25	8	9	20	74	7	11	80	22	9	3	26	23	48	63	23	37	28	21	9	30	23	27	16	56	16	15	42	50	110	179	50	16	4	146	78	103	65	17	15	26	13	21	13	21	17	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28143	246	357	343	357	488	200	427	703	594	360	578	697	489	349	844	434	439	616	527	596	779	921	379	332	369	291	394	634	338	145	708	571	561	176	130	379	173	667	435	264	548	90	124	353	327	331	519	275	487	541	692	311	112	330	477	231	535	129	168	541	474	601	447	752	306	152									
9	Число недействительных избирательных бюллетеней	1156	8	19	11	16	17	13	12	29	4	17	18	10	18	74	21	36	0	17	23	13	20	40	14	11	15	6	20	23	23	4	27	12	19	11	6	15	4	27	18	19	35	11	3	10	19	27	39	8	23	22	49	1	1	7	10	5	36	5	8	15	24	19	29	22	9	9									
10	Число действительных избирательных бюллетеней	29169	280	359	341	392	479	235	429	695	601	353	587	708	533	288	844	404	500	608	514	608	767	890	385	395	361	296	454	633	324	144	707	582	590	228	147	401	197	661	426	275	536	106	137	399	324	319	522	317	574	698	693	326	115	469	545	329	564	141	175	552	463	603	431	751	314	145									
