Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Красносельская N26																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955					
1	"Число избирателей, внесенных в списки избирателей"	120708	289	2126	2115	2161	2283	2484	2575	2550	2827	2194	1912	2512	2277	2073	2054	2425	2569	2096	2066	2141	583	1698	1702	1303	2079	2128	2375	2484	2217	2539	2266	2040	2082	1209	1921	2623	1963	2575	2737	2670	938	1026	2036	1978	2310	1377	2391	1979	2434	2576	3019	2477	2543	2036	1892	274	907	513	3079					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93200	500	1500	1500	1600	1700	2000	2000	2000	2000	1600	1500	2000	1700	1500	1500	1800	2000	1600	1500	1800	600	1500	1500	1000	1600	1600	1700	2000	1700	1700	1700	1600	1600	1000	1500	2000	1500	2000	2200	2000	700	800	1600	1500	1800	1000	1800	1500	1800	2000	2500	2000	2000	1500	1500	300	700	400	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60731	242	1133	1007	1105	1099	1397	1198	1183	1526	1042	904	1289	1089	1048	1006	1238	1314	1124	999	914	583	826	860	565	1138	1028	1242	1290	1025	1414	1212	1110	1000	543	535	1216	991	1296	2014	1267	461	392	1019	940	1108	653	1252	973	1041	1249	1597	1215	1163	1060	850	274	574	201	1697					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1385	0	25	15	20	23	17	18	19	20	8	3	26	17	11	20	20	16	15	72	50	0	26	11	22	21	14	8	18	19	16	16	16	14	29	62	78	13	13	39	16	7	22	11	21	21	15	22	34	47	23	27	29	44	33	98	0	12	46	7					
6	Число погашенных избирательных бюллетеней	31084	258	342	478	475	578	586	784	798	454	550	593	685	594	441	474	542	670	461	429	836	17	648	629	413	441	558	450	692	656	270	472	474	586	428	903	706	496	691	147	717	232	386	570	539	671	332	526	493	712	728	876	756	793	407	552	26	114	153	796					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1385	0	25	15	20	23	17	18	19	20	8	3	26	17	11	20	20	16	15	72	50	0	26	11	22	21	14	8	18	19	16	16	16	14	29	62	78	13	13	39	16	7	22	11	21	21	15	22	34	47	23	27	29	44	33	98	0	12	46	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60660	242	1132	1004	1103	1096	1397	1198	1183	1526	1039	901	1284	1086	1047	1005	1238	1314	1121	998	912	583	824	858	565	1138	1028	1242	1290	1025	1409	1212	1110	1000	543	535	1216	991	1294	2011	1266	461	389	1016	937	1105	653	1252	970	1041	1248	1594	1213	1163	1059	850	274	572	201	1696					
9	Число недействительных избирательных бюллетеней	534	2	11	12	9	14	11	13	6	41	5	2	11	10	5	4	7	11	13	5	6	13	8	5	5	12	11	8	8	5	11	10	11	9	2	2	5	12	16	45	8	4	2	7	7	6	8	7	9	10	5	10	11	4	5	9	0	7	0	19					
10	Число действительных избирательных бюллетеней	61511	240	1146	1007	1114	1105	1403	1203	1196	1505	1042	902	1299	1093	1053	1021	1251	1319	1123	1065	956	570	842	864	582	1147	1031	1242	1300	1039	1414	1218	1115	1005	570	595	1289	992	1291	2005	1274	464	409	1020	951	1120	660	1267	995	1078	1266	1611	1231	1203	1087	939	274	577	247	1684					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2890	0	40	40	40	50	60	50	55	60	50	40	50	50	50	40	70	60	40	40	40	0	40	40	40	50	50	50	60	50	40	50	60	50	40	40	40	40	40	119	41	30	30	50	50	50	40	60	50	70	70	80	50	60	50	50	0	40	30	165					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2334	0	35	28	27	43	58	46	52	58	39	38	45	43	32	31	56	52	35	29	21	0	33	36	29	41	41	48	51	46	32	43	47	42	19	19	22	30	31	76	38	22	8	42	45	49	30	57	50	58	59	65	44	51	29	36	0	33	4	160					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1719	27	41	41	16	18	27	15	17	45	16	36	20	25	12	19	29	48	15	19	33	61	10	14	7	20	17	102	14	18	90	64	30	19	20	9	13	15	14	18	30	11	13	13	25	8	135	78	11	40	38	23	18	12	35	9	65	26	28	27					
14	Число погашенных неиспользованных открепительных удостоверений	556	0	5	12	13	7	2	4	3	2	11	2	5	7	18	9	14	8	5	11	19	0	7	4	11	9	9	2	9	4	8	7	13	8	21	21	18	10	9	43	3	8	22	8	5	1	10	3	0	12	11	15	6	9	21	14	0	7	26	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	225	0	4	4	4	9	9	7	8	8	1	1	5	3	5	5	7	8	6	5	5	0	2	2	1	3	0	2	6	1	7	3	4	1	2	1	2	3	3	3	4	0	0	1	3	6	0	1	0	6	0	5	3	4	3	6	0	28	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	1.Политическая партия «Аграрная партия России»	1708	5	26	31	24	29	30	36	29	39	20	27	37	30	27	21	37	29	29	32	18	4	32	35	20	34	29	37	44	31	56	42	25	24	13	16	45	23	42	34	39	7	8	37	24	43	14	25	36	37	29	46	36	46	33	33	5	14	8	46					
		2.75%	2.07%	2.25%	3.04%	2.14%	2.59%	2.12%	2.96%	2.41%	2.52%	1.91%	2.99%	2.82%	2.72%	2.55%	2.05%	2.94%	2.18%	2.55%	2.99%	1.87%	0.69%	3.76%	4.03%	3.41%	2.93%	2.78%	2.96%	3.36%	2.97%	3.93%	3.42%	2.22%	2.37%	2.27%	2.68%	3.48%	2.29%	3.21%	1.66%	3.04%	1.50%	1.95%	3.60%	2.51%	3.82%	2.10%	1.96%	3.59%	3.40%	2.28%	2.84%	2.90%	3.81%	3.02%	3.48%	1.82%	2.40%	3.24%	2.70%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1121	1	30	12	30	17	34	41	12	18	10	20	19	18	20	27	29	26	19	11	13	3	14	15	13	26	20	24	38	17	40	24	18	11	6	15	12	17	29	45	17	7	8	14	23	25	9	17	18	15	20	22	26	21	18	23	2	5	1	36					
		1.81%	0.41%	2.59%	1.18%	2.67%	1.52%	2.40%	3.37%	0.99%	1.16%	0.96%	2.21%	1.45%	1.63%	1.89%	2.63%	2.31%	1.95%	1.67%	1.03%	1.35%	0.51%	1.65%	1.73%	2.21%	2.24%	1.92%	1.92%	2.91%	1.63%	2.81%	1.95%	1.60%	1.08%	1.05%	2.51%	0.93%	1.69%	2.22%	2.20%	1.33%	1.50%	1.95%	1.36%	2.40%	2.22%	1.35%	1.33%	1.79%	1.38%	1.57%	1.36%	2.09%	1.74%	1.65%	2.43%	0.73%	0.86%	0.40%	2.11%					
20	3.Политическая партия «Демократическая партия России»	79	0	1	2	3	1	1	1	1	3	0	2	1	3	2	1	3	0	2	0	1	0	1	1	1	3	1	1	2	2	2	0	1	0	0	0	2	1	2	6	3	0	1	1	0	2	0	2	3	1	1	0	0	3	0	3	1	1	0	3					
		0.13%	0.00%	0.09%	0.20%	0.27%	0.09%	0.07%	0.08%	0.08%	0.19%	0.00%	0.22%	0.08%	0.27%	0.19%	0.10%	0.24%	0.00%	0.18%	0.00%	0.10%	0.00%	0.12%	0.12%	0.17%	0.26%	0.10%	0.08%	0.15%	0.19%	0.14%	0.00%	0.09%	0.00%	0.00%	0.00%	0.15%	0.10%	0.15%	0.29%	0.23%	0.00%	0.24%	0.10%	0.00%	0.18%	0.00%	0.16%	0.30%	0.09%	0.08%	0.00%	0.00%	0.25%	0.00%	0.32%	0.36%	0.17%	0.00%	0.18%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8230	35	126	135	123	140	176	124	187	209	154	112	148	102	135	121	176	176	171	143	101	4	94	106	90	205	117	155	154	124	166	186	150	122	74	60	194	122	215	185	290	85	66	138	141	204	77	181	161	147	202	235	200	195	162	155	10	31	30	203					
		13.26%	14.46%	10.89%	13.25%	10.95%	12.51%	12.45%	10.20%	15.56%	13.52%	14.71%	12.39%	11.30%	9.25%	12.76%	11.80%	13.99%	13.23%	15.05%	13.36%	10.50%	0.69%	11.06%	12.20%	15.33%	17.69%	11.23%	12.40%	11.77%	11.88%	11.65%	15.15%	13.32%	12.03%	12.94%	10.05%	14.99%	12.15%	16.45%	9.02%	22.62%	18.16%	16.06%	13.44%	14.72%	18.12%	11.53%	14.21%	16.04%	13.51%	15.89%	14.50%	16.10%	16.16%	14.84%	16.35%	3.65%	5.31%	12.15%	11.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1081	1	19	15	30	32	34	14	14	25	17	27	22	25	14	17	27	22	25	17	16	1	18	11	10	23	18	31	26	9	51	27	23	13	5	7	17	14	15	16	26	11	11	18	28	29	14	21	17	13	27	16	14	26	15	18	2	6	3	18					
