Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    район Чертаново Центральное																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68124	219	2234	2403	2159	1865	2331	2390	2357	3022	2402	2382	2657	2528	2737	2521	2243	2548	2239	2373	2107	2225	2351	2196	2058	1473	2225	2031	2078	2109	1888	1773									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50850	250	1700	1800	1600	1500	1700	1800	1800	2200	1800	1800	2000	1900	2000	1900	1700	1900	1700	1800	1500	1600	1700	1600	1500	1100	1600	1500	1600	1600	1400	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27488	178	1126	1409	1085	674	1159	1152	894	944	757	793	855	1198	882	808	755	1240	686	1230	785	943	709	1439	701	426	940	840	808	750	650	672									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	838	32	84	17	19	33	29	33	13	11	22	21	19	47	13	21	29	33	29	21	29	25	34	31	15	22	25	57	25	10	31	8									
6	Число погашенных избирательных бюллетеней	22524	40	490	374	496	793	512	615	893	1245	1021	986	1126	655	1105	1071	916	627	985	549	686	632	957	130	784	652	635	603	767	840	719	620									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	838	32	84	17	19	33	29	33	13	11	22	21	19	47	13	21	29	33	29	21	29	25	34	31	15	22	25	57	25	10	31	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27406	178	1126	1409	1085	674	1159	1152	894	944	757	793	855	1198	876	807	755	1240	686	1217	785	885	709	1439	697	426	940	840	808	750	650	672									
9	Число недействительных избирательных бюллетеней	434	8	7	12	16	11	22	18	12	20	13	14	4	7	9	6	5	0	18	13	12	10	10	30	18	3	25	14	54	17	14	12									
10	Число действительных избирательных бюллетеней	27810	202	1203	1414	1088	696	1166	1167	895	935	766	800	870	1238	880	822	779	1273	697	1225	802	900	733	1440	694	445	940	883	779	743	667	668									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	540	10	20	20	20	10	10	10	10	40	20	20	20	10	30	20	20	20	20	20	20	10	20	10	20	10	10	10	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	372	0	14	17	16	8	7	8	8	35	9	20	14	8	24	11	14	15	10	13	11	7	10	7	12	9	5	6	15	12	15	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	358	0	11	13	8	3	9	16	6	18	5	11	4	21	12	4	17	10	5	13	52	9	4	2	3	4	2	13	12	17	8	46									
14	Число погашенных неиспользованных открепительных удостоверений	168	10	6	3	4	2	3	2	2	5	11	0	6	2	6	9	6	5	10	7	9	3	10	3	8	1	5	4	5	8	5	8									
