Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Среднеуральская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525					
1	"Число избирателей, внесенных в списки избирателей"	15992	1520	2240	1505	2185	1779	1132	2442	1553	1636					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15800	1400	2250	1500	2250	1700	1100	2350	1600	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9482	967	1353	866	1322	1023	683	1522	803	943					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	449	63	40	47	31	109	31	54	35	39					
6	Число погашенных избирательных бюллетеней	5869	370	857	587	897	568	386	774	762	668					
7	Число избирательных бюллетеней в переносных ящиках для голосования	449	63	40	47	31	109	31	54	35	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9478	966	1353	866	1322	1023	682	1522	803	941					
9	Число недействительных избирательных бюллетеней	94	10	12	3	13	11	9	20	9	7					
10	Число действительных избирательных бюллетеней	9833	1019	1381	910	1340	1121	704	1556	829	973					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	109	12	15	13	12	13	7	13	10	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	107	11	15	13	12	13	7	13	10	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	112	8	9	10	9	12	11	40	7	6					
14	Число погашенных неиспользованных открепительных удостоверений	2	1	0	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	1	1	2	2	0	3	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	191	20	23	17	23	23	12	34	18	21					
		1.92%	1.94%	1.65%	1.86%	1.70%	2.03%	1.68%	2.16%	2.15%	2.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	359	37	33	46	74	36	27	49	35	22					
		3.62%	3.60%	2.37%	5.04%	5.47%	3.18%	3.79%	3.11%	4.18%	2.24%					
20	3.Политическая партия «Демократическая партия России»	15	2	0	1	3	1	1	3	2	2					
		0.15%	0.19%	0.00%	0.11%	0.22%	0.09%	0.14%	0.19%	0.24%	0.20%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	543	42	72	68	77	58	45	81	46	54					
		5.47%	4.08%	5.17%	7.45%	5.69%	5.12%	6.31%	5.14%	5.49%	5.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	101	17	17	8	10	13	6	17	3	10					
		1.02%	1.65%	1.22%	0.88%	0.74%	1.15%	0.84%	1.08%	0.36%	1.02%					
23	6.Политическая партия «Партия социальной справедливости»	40	7	3	2	9	4	0	14	0	1					
		0.40%	0.68%	0.22%	0.22%	0.67%	0.35%	0.00%	0.89%	0.00%	0.10%					
24	7.Политическая партия «Либерально-демократическая партия России»	1339	165	170	121	170	148	88	188	120	169					
		13.49%	16.03%	12.20%	13.25%	12.56%	13.07%	12.34%	11.93%	14.32%	17.24%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	816	74	129	83	118	93	71	92	67	89					
		8.22%	7.19%	9.26%	9.09%	8.72%	8.22%	9.96%	5.84%	7.99%	9.08%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	7	12	5	5	7	1	13	4	5					
		0.59%	0.68%	0.86%	0.55%	0.37%	0.62%	0.14%	0.82%	0.48%	0.51%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6223	629	899	540	836	722	448	1044	521	584					
		62.69%	61.13%	64.54%	59.15%	61.79%	63.78%	62.83%	66.24%	62.17%	59.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	147	19	23	19	15	16	5	21	13	16					
		1.48%	1.85%	1.65%	2.08%	1.11%	1.41%	0.70%	1.33%	1.55%	1.63%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
