Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Иркутская городская № 4																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №1576	УИК №1578	УИК №1591					
1	"Число избирателей, внесенных в список"	143747	2710	2803	2785	2937	2577	2794	2570	2713	2254	2769	2684	2848	2668	2559	2665	2676	2594	2788	2841	2853	1557	2056	690	2917	1679	2718	2696	2498	2864	2689	2715	2546	2805	2992	2208	2289	2367	2377	2584	2819	2829	1693	2590	2918	2603	2906	2813	2846	2714	2621	2180	2731	2650	527	2899	2745	1328					
2	Число полученных избирательных бюллетеней	128110	2450	2450	2470	2550	2360	2530	2340	2450	2050	2500	2450	2570	2470	2350	2420	2450	2350	2550	2560	2580	1360	1830	640	2600	1470	2200	2350	2200	2470	2420	2370	2300	2430	2370	1960	1900	2140	2170	2350	2500	2550	1550	2370	2600	2400	2550	2350	2450	2480	2340	1960	2470	2360	520	2600	2500	1130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	68996	1255	1317	1116	1430	1117	1223	1189	1284	1188	1446	1103	1378	1077	1158	1212	1101	1177	1186	1449	1435	507	1137	242	1384	844	1204	1288	1252	1247	1223	1426	1250	1625	2066	1274	1252	1304	1350	1466	1218	1248	911	1242	1542	1271	1191	1196	1159	1285	1331	1042	1210	1272	369	1420	1224	683					
5	"Число избирательных бюллетеней, выданных вне помещения"	3327	34	147	36	150	68	46	28	61	56	22	61	19	27	38	34	43	25	24	19	23	51	35	6	113	26	251	131	51	41	50	22	42	63	26	18	24	42	38	55	91	28	30	32	67	59	225	228	145	39	31	20	46	32	136	22	36	14					
6	Число погашенных избирательных бюллетеней	55787	1161	986	1318	970	1175	1261	1123	1105	806	1032	1286	1173	1366	1154	1174	1306	1148	1340	1092	1122	802	658	392	1103	600	745	931	897	1182	1147	922	1008	742	278	668	624	794	782	829	1191	1274	609	1096	991	1070	1134	926	1146	1156	978	898	1214	1056	15	1158	1240	433					
7	Число избирательных бюллетеней в переносных ящиках	3323	34	147	36	150	68	46	28	61	56	22	61	19	27	38	34	43	25	24	19	23	51	35	6	113	26	251	131	51	41	50	22	42	63	26	18	24	42	38	55	91	28	30	32	67	59	225	228	141	39	31	20	46	32	136	22	36	14					
8	Число бюллетеней в стационарных ящиках для голосования	68963	1255	1317	1116	1424	1117	1223	1189	1284	1188	1446	1103	1378	1077	1158	1212	1101	1177	1186	1449	1435	507	1137	242	1384	844	1204	1288	1249	1246	1223	1425	1248	1622	2064	1274	1252	1304	1349	1465	1218	1248	902	1242	1541	1270	1191	1195	1158	1285	1331	1042	1210	1272	369	1420	1224	683					
9	Число недействительных избирательных бюллетеней	472	23	18	10	9	6	7	14	38	9	6	6	10	13	0	7	0	9	9	0	3	10	7	0	14	2	6	7	4	8	6	6	6	5	7	12	6	3	4	8	9	11	6	9	14	5	7	10	11	3	12	3	5	16	9	11	6	7					
10	Число действительных избирательных бюллетеней	71814	1266	1446	1142	1565	1179	1262	1203	1307	1235	1462	1158	1387	1091	1196	1239	1144	1193	1201	1468	1455	548	1165	248	1483	868	1449	1412	1296	1279	1267	1441	1284	1680	2083	1280	1270	1343	1383	1512	1300	1265	926	1265	1594	1324	1409	1413	1288	1321	1350	1059	1251	1288	496	1431	1254	690					
11	Число полученных открепительных  удостоверений	1890	35	35	35	35	30	35	30	30	30	35	35	35	35	30	30	35	30	35	35	35	25	30	10	30	25	25	25	25	35	25	25	25	70	90	30	35	60	30	30	35	35	30	30	35	30	35	35	30	30	40	25	30	30	0	70	30	25					
