Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Монастырщинская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288					
1	"Число избирателей, внесенных в список избирателей"	9916	273	202	465	263	226	125	159	353	280	268	744	97	170	178	235	138	624	227	255	245	201	2186	2002					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10225	285	209	479	270	241	123	158	363	274	286	772	98	180	188	235	145	649	230	263	273	212	2234	2058					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5462	145	119	226	160	123	72	115	156	135	101	450	46	102	106	114	57	318	139	150	147	93	1183	1205					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1076	33	35	78	38	29	28	13	66	40	62	76	18	25	34	59	19	119	46	26	39	35	93	65					
6	Число погашенных избирательных бюллетеней	3687	107	55	175	72	89	23	30	141	99	123	246	34	53	48	62	69	212	45	87	87	84	958	788					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1076	33	35	78	38	29	28	13	66	40	62	76	18	25	34	59	19	119	46	26	39	35	93	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5461	145	119	226	160	123	72	115	156	135	101	450	46	102	106	114	57	317	139	150	147	93	1183	1205					
9	Число недействительных избирательных бюллетеней	189	0	3	5	3	5	3	1	10	4	2	7	3	2	0	2	2	76	2	5	4	2	32	16					
10	Число действительных избирательных бюллетеней	6348	178	151	299	195	147	97	127	212	171	161	519	61	125	140	171	74	360	183	171	182	126	1244	1254					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	241	8	13	10	8	13	5	6	8	8	8	10	5	8	8	8	8	15	8	8	13	8	30	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	112	4	8	1	4	13	0	0	6	1	2	3	3	2	4	0	0	10	1	0	10	0	20	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	4	5	3	6	4	0	1	2	3	4	5	4	2	2	2	1	1	3	1	1	5	15	10					
14	Число погашенных неиспользованных открепительных удостоверений	129	4	5	9	4	0	5	6	2	7	6	7	2	6	4	8	8	5	7	8	3	8	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
