Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    ЗАТО п. Горный										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №296	УИК №297	УИК №298					
1	"Число избирателей, внесенных в список избирателей"	6519	2690	2843	986					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	2400	2600	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3970	1629	1862	479					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	117	52	54	11					
6	Число погашенных избирательных бюллетеней	1913	719	684	510					
7	Число избирательных бюллетеней в переносных ящиках для голосования	117	52	54	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3969	1628	1862	479					
9	Число недействительных избирательных бюллетеней	79	41	31	7					
10	Число действительных избирательных бюллетеней	4007	1639	1885	483					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	100	100	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	101	44	34	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	9	34	5					
14	Число погашенных неиспользованных открепительных удостоверений	149	56	66	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	2	1					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	540	223	272	45					
		13.22%	13.27%	14.20%	9.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1203	533	503	167					
		29.44%	31.73%	26.25%	34.08%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	16	21	8					
		1.10%	0.95%	1.10%	1.63%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	552	195	280	77					
		13.51%	11.61%	14.61%	15.71%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	24	20	6					
		1.22%	1.43%	1.04%	1.22%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1588	629	780	179					
		38.86%	37.44%	40.71%	36.53%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	29	19	9	1					
		0.71%	1.13%	0.47%	0.20%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
