Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    район Матушкино																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29822	1372	1176	1033	1017	1222	1436	1224	1358	1245	1397	1264	1234	1157	1284	1272	1318	1186	1262	1289	1235	1255	1123	1315	1148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	1000	900	800	800	900	1000	900	1000	900	1000	900	900	900	1000	900	1000	900	900	900	900	900	800	1000	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10918	528	390	370	357	452	514	478	503	469	506	455	438	434	466	452	507	362	466	485	452	481	430	475	448									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	615	33	29	21	19	12	38	19	14	30	27	26	19	26	18	42	29	26	26	28	31	37	28	21	16									
6	Число погашенных избирательных бюллетеней	10467	439	481	409	424	436	448	403	483	401	467	419	443	440	516	406	464	512	408	387	417	382	342	504	436									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	615	33	29	21	19	12	38	19	14	30	27	26	19	26	18	42	29	26	26	28	31	37	28	21	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10899	528	388	369	357	450	513	478	503	469	505	455	436	434	466	452	507	362	459	483	452	481	430	474	448									
9	Число недействительных избирательных бюллетеней	209	6	11	8	5	10	18	7	3	9	10	13	1	12	13	9	10	6	6	6	9	11	14	7	5									
10	Число действительных избирательных бюллетеней	11305	555	406	382	371	452	533	490	514	490	522	468	454	448	471	485	526	382	479	505	474	507	444	488	459									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	252	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	12	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	8	7	3	10	6	5	6	13	9	10	2	5	8	8	3	3	1	6	1	7	11	5	3	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	234	17	11	2	1	19	24	17	17	8	5	8	2	10	2	8	19	5	7	1	6	15	13	4	13									
14	Число погашенных неиспользованных открепительных удостоверений	104	2	3	7	0	4	5	4	7	1	0	8	5	2	2	7	7	9	4	9	3	1	5	7	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	1	2	2	0	1	2	2	2	1	2	1	1	2	1	0	0	2	1	0	0	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	359	19	9	13	11	21	17	17	19	11	16	18	13	11	11	15	14	18	16	24	9	15	19	7	16									
		3.12%	3.39%	2.16%	3.33%	2.93%	4.55%	3.09%	3.42%	3.68%	2.20%	3.01%	3.74%	2.86%	2.39%	2.27%	3.04%	2.61%	4.64%	3.30%	4.70%	1.86%	2.90%	4.15%	1.41%	3.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	199	10	8	7	5	9	9	9	9	9	14	10	3	7	12	12	4	8	7	9	7	11	6	8	6									
		1.73%	1.78%	1.92%	1.79%	1.33%	1.95%	1.63%	1.81%	1.74%	1.80%	2.63%	2.08%	0.66%	1.52%	2.48%	2.43%	0.75%	2.06%	1.44%	1.76%	1.45%	2.12%	1.31%	1.62%	1.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	331	16	16	17	10	12	14	9	7	20	10	15	12	11	16	14	20	11	12	16	15	12	17	21	8									
		2.87%	2.85%	3.84%	4.36%	2.66%	2.60%	2.54%	1.81%	1.35%	4.01%	1.88%	3.12%	2.64%	2.39%	3.31%	2.83%	3.73%	2.84%	2.47%	3.13%	3.11%	2.32%	3.71%	4.24%	1.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4453	234	172	129	152	175	218	172	205	187	213	171	180	207	185	197	209	150	180	198	182	195	168	183	191									
		38.67%	41.71%	41.25%	33.08%	40.43%	37.88%	39.56%	34.61%	39.65%	37.47%	40.04%	35.55%	39.56%	45.00%	38.22%	39.88%	38.99%	38.66%	37.11%	38.75%	37.68%	37.64%	36.68%	36.97%	41.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	219	13	6	4	7	7	10	9	9	11	12	4	7	9	12	12	11	6	9	10	10	11	10	11	9									
		1.90%	2.32%	1.44%	1.03%	1.86%	1.52%	1.81%	1.81%	1.74%	2.20%	2.26%	0.83%	1.54%	1.96%	2.48%	2.43%	2.05%	1.55%	1.86%	1.96%	2.07%	2.12%	2.18%	2.22%	1.94%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	1	1	1	1	2	1	3	5	3	0	0	1	1	2	1	3	4	1	0	0	1	1	1	2									
		0.31%	0.18%	0.24%	0.26%	0.27%	0.43%	0.18%	0.60%	0.97%	0.60%	0.00%	0.00%	0.22%	0.22%	0.41%	0.20%	0.56%	1.03%	0.21%	0.00%	0.00%	0.19%	0.22%	0.20%	0.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1709	71	63	48	51	76	104	80	84	71	72	74	67	66	76	68	68	58	65	72	88	68	75	80	64									
		14.84%	12.66%	15.11%	12.31%	13.56%	16.45%	18.87%	16.10%	16.25%	14.23%	13.53%	15.38%	14.73%	14.35%	15.70%	13.77%	12.69%	14.95%	13.40%	14.09%	18.22%	13.13%	16.38%	16.16%	13.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	260	11	5	7	10	5	6	8	7	22	20	13	13	6	7	6	10	8	14	16	13	19	6	14	14									
		2.26%	1.96%	1.20%	1.79%	2.66%	1.08%	1.09%	1.61%	1.35%	4.41%	3.76%	2.70%	2.86%	1.30%	1.45%	1.21%	1.87%	2.06%	2.89%	3.13%	2.69%	3.67%	1.31%	2.83%	3.02%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	369	13	12	14	7	14	19	26	15	15	15	14	18	15	13	18	19	11	19	17	20	13	12	16	14									
		3.20%	2.32%	2.88%	3.59%	1.86%	3.03%	3.45%	5.23%	2.90%	3.01%	2.82%	2.91%	3.96%	3.26%	2.69%	3.64%	3.54%	2.84%	3.92%	3.33%	4.14%	2.51%	2.62%	3.23%	3.02%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	1	3	2	1	0	1	1	0	1	0	0	2	1	0	1	0	0	0	0	0	1	1	0									
		0.14%	0.00%	0.24%	0.77%	0.53%	0.22%	0.00%	0.20%	0.19%	0.00%	0.19%	0.00%	0.00%	0.43%	0.21%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.20%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	767	36	20	28	14	21	33	36	38	22	35	27	35	33	36	36	44	27	31	35	20	44	29	45	42									
