Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Сочи, Лазаревская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452	УИК №4453	УИК №4454	УИК №4455	УИК №4456	УИК №4457									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67685	272	253	755	337	993	566	1418	420	1083	122	2140	1051	1540	1748	1804	1042	1411	1397	2336	889	881	1406	1556	790	871	611	1482	832	650	1074	564	1654	1102	957	2707	646	1362	2000	1188	939	2635	1296	2495	2205	2459	1581	1304	2080	150	1260	1140	759	186	958	188	819	1321									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62555	275	225	750	325	1000	525	1300	400	1000	125	1800	1000	1500	1500	1700	1000	1300	1300	2000	800	700	1300	1500	700	800	600	1300	700	625	1000	550	1500	1000	950	2600	625	1100	1800	1000	900	2500	1200	2300	2100	2300	1500	1200	2000	150	1200	1000	750	200	900	180	800	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32518	107	147	250	185	488	275	668	116	423	102	913	799	928	688	1107	630	744	640	916	514	355	408	546	303	501	286	630	372	397	630	293	835	500	513	1385	488	556	794	759	488	1899	848	1256	1035	851	281	649	926	123	516	590	247	96	428	105	366	623									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5321	12	38	68	29	159	90	161	48	99	0	135	66	12	149	122	170	95	165	80	11	84	23	247	60	150	87	101	140	46	15	54	47	57	174	197	41	126	56	55	209	48	225	33	5	2	235	149	202	0	87	96	164	12	150	21	87	127									
6	Число погашенных избирательных бюллетеней	24716	156	40	432	111	353	160	471	236	478	23	752	135	560	663	471	200	461	495	1004	275	261	869	707	337	149	227	569	188	182	355	203	618	443	263	1018	96	418	950	186	203	553	127	1011	1060	1447	984	402	872	27	597	314	339	92	322	54	347	450									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5321	12	38	68	29	159	90	161	48	99	0	135	66	12	149	122	170	95	165	80	11	84	23	247	60	150	87	101	140	46	15	54	47	57	174	197	41	126	56	55	209	48	225	33	5	2	235	149	202	0	87	96	164	12	150	21	87	127									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32512	107	147	250	185	488	275	668	116	423	102	913	799	928	688	1107	630	744	640	916	514	355	403	546	303	501	286	630	372	397	630	293	835	500	513	1385	488	556	794	759	488	1899	848	1256	1035	851	281	649	926	123	516	590	246	96	428	105	366	623									
9	Число недействительных избирательных бюллетеней	439	2	1	19	3	9	4	4	6	7	1	19	4	17	12	24	3	6	12	13	3	5	5	9	7	0	9	7	8	3	6	3	3	6	2	13	0	3	8	7	0	20	0	22	13	23	3	6	19	0	21	7	7	4	7	3	1	10									
10	Число действительных избирательных бюллетеней	37394	117	184	299	211	638	361	825	158	515	101	1029	861	923	825	1205	797	833	793	983	522	434	421	784	356	651	364	724	504	440	639	344	879	551	685	1569	529	679	842	807	697	1927	1073	1267	1027	830	513	792	1109	123	582	679	403	104	571	123	452	740									
