Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Верх-Нейвинская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2572	УИК №2573					
1	"Число избирателей, внесенных в список избирателей"	3827	1871	1956					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3760	1860	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1909	976	933					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	95	48	47					
6	Число погашенных избирательных бюллетеней	1756	836	920					
7	Число избирательных бюллетеней в переносных ящиках для голосования	95	48	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1909	976	933					
9	Число недействительных избирательных бюллетеней	67	31	36					
10	Число действительных избирательных бюллетеней	1937	993	944					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	48	27	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	43	36					
14	Число погашенных неиспользованных открепительных удостоверений	32	13	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	461	211	250					
		23.00%	20.61%	25.51%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	335	177	158					
		16.72%	17.29%	16.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	10	7					
		0.85%	0.98%	0.71%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	352	200	152					
		17.56%	19.53%	15.51%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	17	19					
		1.80%	1.66%	1.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	703	361	342					
		35.08%	35.25%	34.90%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	33	17	16					
		1.65%	1.66%	1.63%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
