Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Верх-Нейвинская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2572	УИК №2573					
1	"Число избирателей, внесенных в списки избирателей"	3944	1993	1951					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3800	1900	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2471	1248	1223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	161	89	72					
6	Число погашенных избирательных бюллетеней	1168	563	605					
7	Число избирательных бюллетеней в переносных ящиках для голосования	161	89	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2470	1248	1222					
9	Число недействительных избирательных бюллетеней	48	23	25					
10	Число действительных избирательных бюллетеней	2583	1314	1269					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	96	48	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	70	36	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	50	24	26					
14	Число погашенных неиспользованных открепительных удостоверений	26	12	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	65	18	47					
		2.47%	1.35%	3.63%					
19	2.Всероссийская политическая партия «Гражданская Сила»	52	22	30					
		1.98%	1.65%	2.32%					
20	3.Политическая партия «Демократическая партия России»	9	4	5					
		0.34%	0.30%	0.39%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	218	112	106					
		8.29%	8.38%	8.19%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	25	13	12					
		0.95%	0.97%	0.93%					
23	6.Политическая партия «Партия социальной справедливости»	11	4	7					
		0.42%	0.30%	0.54%					
24	7.Политическая партия «Либерально-демократическая партия России»	339	178	161					
		12.88%	13.31%	12.44%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	187	95	92					
		7.11%	7.11%	7.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	13	9					
		0.84%	0.97%	0.70%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1628	844	784					
		61.88%	63.13%	60.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	27	11	16					
		1.03%	0.82%	1.24%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
