Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Баймакская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084					
1	"Число избирателей, внесенных в списки избирателей"	37532	1848	925	1375	1738	1187	1058	2056	672	432	130	1020	171	357	105	392	705	303	391	76	102	170	379	208	125	638	223	134	604	372	230	546	708	632	318	666	270	124	250	270	229	298	985	929	255	278	362	221	220	527	285	348	831	477	323	171	128	757	107	426	213	122	1470	224	240	237	160	252	610	200	269	1526	132	148	210	170	153	329	351	91	358					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38465	1900	1000	1400	1750	1150	1100	2100	750	450	130	1050	170	370	110	400	710	310	410	80	110	180	380	195	125	650	225	140	620	380	230	570	730	630	320	670	270	155	250	270	230	300	1010	1010	260	295	410	225	225	560	300	350	845	480	330	185	130	760	110	440	205	125	1470	225	250	245	160	265	625	200	270	1550	140	160	210	175	150	325	360	100	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34623	1711	806	1269	1498	1030	808	1735	609	390	124	940	168	346	99	354	666	288	389	76	97	170	368	192	117	580	219	123	571	336	224	468	660	597	296	636	266	118	245	270	229	288	941	903	235	269	334	199	211	504	275	320	802	413	309	169	128	732	106	426	192	117	1352	212	230	236	160	237	591	179	195	1407	126	140	198	160	149	316	336	90	348					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1654	63	58	60	75	62	67	219	63	42	6	30	0	11	6	22	21	15	2	0	5	0	11	3	8	30	0	7	15	15	6	67	34	33	17	21	4	6	5	0	0	10	20	26	15	9	26	8	7	14	8	20	29	61	10	0	0	14	1	0	13	5	31	6	10	0	0	5	12	12	60	54	5	5	10	8	0	6	14	1	10					
6	Число погашенных избирательных бюллетеней	2188	126	136	71	177	58	225	146	78	18	0	80	2	13	5	24	23	7	19	4	8	10	1	0	0	40	6	10	34	29	0	35	36	0	7	13	0	31	0	0	1	2	49	81	10	17	50	18	7	42	17	10	14	6	11	16	2	14	3	14	0	3	87	7	10	9	0	23	22	9	15	89	9	15	2	7	1	3	10	9	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1654	63	58	60	75	62	67	219	63	42	6	30	0	11	6	22	21	15	2	0	5	0	11	3	8	30	0	7	15	15	6	67	34	33	17	21	4	6	5	0	0	10	20	26	15	9	26	8	7	14	8	20	29	61	10	0	0	14	1	0	13	5	31	6	10	0	0	5	12	12	60	54	5	5	10	8	0	6	14	1	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34617	1711	806	1269	1498	1030	808	1735	609	390	124	940	168	346	99	354	666	288	389	76	97	170	368	192	117	580	219	123	571	336	218	468	660	597	296	636	266	118	245	270	229	288	941	903	235	269	334	199	211	504	275	320	802	413	309	169	128	732	106	426	192	117	1352	212	230	236	160	237	591	179	195	1407	126	140	198	160	149	316	336	90	348					
9	Число недействительных избирательных бюллетеней	287	0	0	11	24	5	13	0	7	4	1	8	0	2	0	0	1	3	6	0	0	0	2	0	0	5	16	0	0	0	0	0	64	5	0	1	0	23	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	8	0	10	0	0	0	2	0	0	0	7	2	2	1	37	0	0	6	0	0	0	0	0	5					
10	Число действительных избирательных бюллетеней	35984	1774	864	1318	1549	1087	862	1954	665	428	129	962	168	355	105	376	686	300	385	76	102	170	377	195	125	605	203	130	586	351	224	535	630	625	313	656	270	101	249	270	228	298	961	929	249	278	360	206	218	518	282	340	831	474	319	168	128	738	107	416	205	122	1383	216	240	236	160	235	601	189	254	1424	131	145	202	168	149	322	350	91	353					
