Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Баймакская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078					
1	"Число избирателей, внесенных в список избирателей"	40253	2611	823	1290	1781	1276	1180	2356	789	455	145	1018	180	389	121	448	742	321	426	75	95	184	403	223	141	656	206	150	594	390	244	524	641	616	361	663	260	152	292	293	229	339	1074	1060	284	305	419	233	238	580	306	375	871	525	328	192	127	710	103	437	203	100	1804	234	261	281	170	254	629	216	297	1566	121	159	261	164	144	323	374	89	354					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40905	2660	850	1350	1810	1290	1200	2400	800	450	145	1030	180	390	125	470	750	330	430	77	100	193	405	230	140	670	230	150	620	390	250	540	720	620	360	670	260	160	290	300	235	340	1070	1070	280	310	450	230	235	580	305	375	880	535	335	190	130	700	105	441	206	100	1800	225	260	290	170	255	660	220	295	1590	122	158	260	173	135	335	375	90	355					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	35147	2397	757	1095	1511	1043	917	1853	604	351	134	879	178	360	113	402	660	294	382	72	95	160	337	196	124	589	193	142	516	317	221	433	530	558	311	581	255	148	274	287	223	300	906	877	279	283	360	224	221	534	261	352	759	410	296	165	124	636	97	399	174	97	1680	190	239	252	167	219	554	191	282	1323	116	147	241	152	132	308	310	86	312					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1599	57	23	82	88	46	52	186	90	41	10	37	0	10	4	6	8	14	9	0	0	11	11	8	7	0	0	6	13	12	12	62	81	19	15	21	4	2	4	4	4	18	27	34	0	17	27	6	7	15	6	0	25	64	5	0	0	44	3	0	8	1	42	13	9	3	0	5	16	12	9	58	3	6	11	5	0	8	20	2	11					
6	Число погашенных избирательных бюллетеней	4159	206	70	173	211	201	231	361	106	58	1	114	2	20	8	62	82	22	39	5	5	22	57	26	9	81	37	2	91	61	17	45	109	43	34	68	1	10	12	9	8	22	137	159	1	10	63	0	7	31	38	23	96	61	34	25	6	20	5	42	24	2	78	22	12	35	3	31	90	17	4	209	3	5	8	16	3	19	45	2	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1599	57	23	82	88	46	52	186	90	41	10	37	0	10	4	6	8	14	9	0	0	11	11	8	7	0	0	6	13	12	12	62	81	19	15	21	4	2	4	4	4	18	27	34	0	17	27	6	7	15	6	0	25	64	5	0	0	44	3	0	8	1	42	13	9	3	0	5	16	12	9	58	3	6	11	5	0	8	20	2	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35143	2397	757	1095	1511	1043	917	1853	604	351	134	879	178	360	113	402	660	294	382	72	95	160	337	196	124	589	193	142	516	317	221	433	530	558	311	581	255	148	270	287	223	300	906	877	279	283	360	224	221	534	261	352	759	410	296	165	124	636	97	399	174	97	1680	190	239	252	167	219	554	191	282	1323	116	147	241	152	132	308	310	86	312					
9	Число недействительных избирательных бюллетеней	153	0	0	3	0	0	11	0	3	1	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	0	16	7	0	2	8	1	3	0	0	0	0	4	1	0	12	0	0	0	1	5	2	0	2	7	1	16	1	0	2	1	6	0	0	8	0	0	0	3	0	2	1	0	10	0	0	0	0	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	36589	2454	780	1174	1599	1089	958	2039	691	391	144	914	176	370	117	408	668	306	389	72	95	171	348	204	131	589	192	146	529	313	226	495	609	569	325	599	259	150	274	291	223	317	933	899	279	300	387	229	223	547	267	350	777	473	285	164	124	678	99	393	182	98	1714	203	248	255	164	224	568	202	291	1371	119	153	252	157	132	314	330	88	323					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	359	20	13	10	17	11	15	12	10	3	0	7	2	3	2	6	5	3	3	1	1	1	3	3	1	5	1	1	5	1	2	5	5	1	0	5	1	2	2	2	3	3	10	10	2	3	3	4	2	5	2	3	10	19	3	0	0	4	2	0	1	3	10	2	1	2	0	2	18	2	2	20	3	0	2	3	1	3	3	0	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	304	17	13	10	15	11	15	12	7	3	0	7	1	3	2	6	5	0	3	1	0	0	3	3	0	3	0	0	5	1	1	2	5	1	0	3	1	0	1	0	0	0	10	10	0	0	0	3	1	5	2	2	10	17	3	0	0	4	0	0	1	3	10	2	1	2	0	2	18	2	1	20	3	0	2	3	0	2	3	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	4	2	3	2	3	5	0	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	2	5	0	1	0	2	0	1	1	0	3	2	0	1	0	4	0	0	1	0	2	3	1	2	0	0	1	0	3	3	0	0	0	1	3	0	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	55	3	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	1	2	1	1	0	0	1	3	0	0	0	2	0	2	1	2	3	3	0	0	2	3	3	1	1	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	0	3	0	1	0	4	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	345	10	2	5	5	2	24	16	3	5	2	16	1	8	0	0	11	2	1	3	1	1	1	0	1	6	2	1	1	0	3	7	6	2	3	7	0	0	4	6	0	2	6	3	1	7	5	0	2	5	2	3	6	5	7	0	0	5	2	7	0	0	36	2	2	3	0	5	4	2	5	31	1	0	3	0	1	6	6	2	0					
		0.94%	0.41%	0.26%	0.42%	0.31%	0.18%	2.48%	0.78%	0.43%	1.28%	1.39%	1.75%	0.56%	2.16%	0.00%	0.00%	1.65%	0.65%	0.26%	4.17%	1.05%	0.58%	0.29%	0.00%	0.76%	1.02%	1.04%	0.68%	0.19%	0.00%	1.29%	1.41%	0.98%	0.35%	0.92%	1.16%	0.00%	0.00%	1.46%	2.06%	0.00%	0.63%	0.64%	0.33%	0.36%	2.33%	1.29%	0.00%	0.88%	0.91%	0.75%	0.85%	0.77%	1.05%	2.33%	0.00%	0.00%	0.74%	2.00%	1.75%	0.00%	0.00%	2.09%	0.99%	0.81%	1.18%	0.00%	2.23%	0.70%	0.99%	1.72%	2.24%	0.84%	0.00%	1.19%	0.00%	0.76%	1.90%	1.82%	2.27%	0.00%					
