Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Обоянская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25664	777	443	305	276	237	104	171	220	301	448	245	305	222	1043	874	407	119	444	341	94	328	174	393	334	345	679	821	415	648	330	253	603	567	729	274	2198	1416	2150	1294	1325	1603	1169	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23141	700	400	270	250	210	90	150	200	270	400	220	270	200	960	800	360	100	400	300	80	300	150	350	300	310	620	740	370	580	300	230	550	510	660	240	2000	1250	2000	1150	1200	1400	1050	251									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9426	290	156	99	105	94	60	85	149	111	201	127	133	93	356	301	126	37	205	69	40	125	82	154	134	108	262	249	150	282	124	143	182	170	217	131	832	534	789	439	416	597	468	1									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1960	41	22	30	39	24	23	24	13	11	41	13	31	28	48	44	61	31	74	104	21	42	30	58	46	43	47	91	67	26	76	37	64	78	92	34	30	26	21	43	29	38	42	177									
6	Число погашенных избирательных бюллетеней	11755	369	222	141	106	92	7	41	38	148	158	80	106	79	556	455	173	32	121	127	19	133	38	138	120	159	311	400	153	272	100	50	304	262	351	75	1138	690	1190	668	755	765	540	73									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1960	41	22	30	39	24	23	24	13	11	41	13	31	28	48	44	61	31	74	104	21	42	30	58	46	43	47	91	67	26	76	37	64	78	92	34	30	26	21	43	29	38	42	177									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9426	290	156	99	105	94	60	85	149	111	201	127	133	93	356	301	126	37	205	69	40	125	82	154	134	108	262	249	150	282	124	143	182	170	217	131	832	534	789	439	416	597	468	1									
9	Число недействительных избирательных бюллетеней	212	6	3	5	7	4	2	0	3	3	3	7	5	2	6	10	2	0	2	2	3	10	0	11	5	2	5	5	1	7	0	0	0	4	4	2	21	11	10	11	7	18	3	0									
10	Число действительных избирательных бюллетеней	11174	325	175	124	137	114	81	109	159	119	239	133	159	119	398	335	185	68	277	171	58	157	112	201	175	149	304	335	216	301	200	180	246	244	305	163	841	549	800	471	438	617	507	178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	248	5	5	3	3	2	2	1	3	3	3	3	3	3	10	5	4	3	3	3	3	4	4	4	3	5	5	5	3	5	3	3	8	4	8	2	20	15	16	15	15	16	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	163	2	4	2	2	2	0	1	0	2	0	3	0	0	9	3	3	3	2	1	0	3	0	0	3	5	1	2	3	1	1	0	8	2	7	1	20	5	16	7	8	16	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	266	1	1	1	2	2	2	1	1	2	1	2	0	0	4	1	3	3	3	1	2	1	1	2	2	1	0	1	1	3	1	1	2	3	1	1	46	24	21	41	11	43	26	0									
14	Число погашенных неиспользованных открепительных удостоверений	85	3	1	1	1	0	2	0	3	1	3	0	3	3	1	2	1	0	1	2	3	1	4	4	0	0	4	3	0	4	2	3	0	2	1	1	0	10	0	8	7	0	0	0									
