Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Лабинская городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954					
1	"Число избирателей, внесенных в список"	76954	2441	2091	2841	2056	1876	2122	1911	1689	1898	1883	1259	1489	1461	874	1165	1775	2661	2289	1907	2377	2053	1656	1574	2022	2573	1309	1402	410	1234	1335	1756	1126	586	2610	455	1078	762	386	532	2128	1892	384	1537	809	762	414	315	1415	848	733	672	975	659	487					
2	Число полученных избирательных бюллетеней	75410	2360	2050	2600	2020	1660	2120	1820	1750	1850	1850	1220	1480	1440	850	1130	1750	2580	2270	1850	2300	2020	1620	1520	1980	2400	1300	1450	420	1200	1300	1720	1110	570	2570	440	1050	750	380	510	2150	1900	380	1570	790	750	450	440	1400	840	750	650	940	650	490					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40950	1306	1293	1488	1075	957	1030	999	919	1052	958	619	842	804	462	600	957	1406	1315	925	1483	1062	843	732	1049	1307	738	744	277	710	780	1057	567	360	1378	200	399	480	238	188	1109	1099	173	895	387	132	233	231	679	455	553	329	433	334	309					
5	"Число избирательных бюллетеней, выданных вне помещения"	6168	88	37	119	92	184	148	96	55	39	184	71	72	80	55	47	85	50	66	61	85	117	51	153	125	179	116	246	19	101	90	41	141	50	162	137	220	48	30	180	253	152	110	143	168	387	97	84	271	104	28	93	184	115	59					
6	Число погашенных избирательных бюллетеней	28292	966	720	993	853	519	942	725	776	759	708	530	566	556	333	483	708	1124	889	864	732	841	726	635	806	914	446	460	124	389	430	622	402	160	1030	103	431	222	112	142	788	649	97	532	235	231	120	125	450	281	169	228	323	201	122					
7	Число избирательных бюллетеней в переносных ящиках	6168	88	37	119	92	184	148	96	55	39	184	71	72	80	55	47	85	50	66	61	85	117	51	153	125	179	116	246	19	101	90	41	141	50	162	137	220	48	30	180	253	152	110	143	168	387	97	84	271	104	28	93	184	115	59					
8	Число бюллетеней в стационарных ящиках для голосования	40938	1306	1293	1488	1074	953	1030	999	919	1052	958	619	842	804	462	600	957	1404	1315	925	1483	1062	843	732	1049	1306	738	744	277	710	780	1057	567	360	1378	200	399	480	238	188	1105	1099	173	895	387	132	233	231	679	455	553	329	433	334	309					
9	Число недействительных избирательных бюллетеней	335	11	4	8	12	7	7	4	0	9	12	7	7	6	1	6	8	9	8	15	3	6	7	2	4	13	8	17	6	11	8	4	1	3	0	2	4	2	0	2	9	9	0	12	5	0	1	6	15	7	5	2	4	8	8					
10	Число действительных избирательных бюллетеней	46771	1383	1326	1599	1154	1130	1171	1091	974	1082	1130	683	907	878	516	641	1034	1445	1373	971	1565	1173	887	883	1170	1472	846	973	290	800	862	1094	707	407	1540	335	615	526	268	366	1349	1242	283	1026	550	519	329	309	935	552	576	420	613	441	360					
