Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Кировградская городская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  1974	УИК  1975	УИК  1976	УИК  1977	УИК  1978	УИК  1979	УИК  1980	УИК  1981	УИК  1982	УИК  1983	УИК  1984	УИК  1985	УИК  1986					
1	"Число избирателей, внесенных в списки"	25140	2604	2568	2425	1948	2348	2170	1837	1774	1455	2077	1581	1185	1168					
2	"Число бюллетеней, полученных участковыми комиссиями"	22800	2290	2260	2190	1780	2120	2020	1680	1620	1330	1910	1460	1060	1080					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11354	1339	1242	1073	771	1184	1010	813	841	543	828	704	448	558					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	776	30	24	41	92	54	33	42	24	76	68	94	79	119					
6	Число погашенных бюллетеней	10670	921	994	1076	917	882	977	825	755	711	1014	662	533	403					
7	Число бюллетеней в переносных ящиках для голосования	776	30	24	41	92	54	33	42	24	76	68	94	79	119					
8	Число бюллетеней в стационарных ящиках для голосования	11351	1336	1242	1073	771	1184	1010	813	841	543	828	704	448	558					
9	Число недействительных бюллетеней	242	18	27	15	18	22	20	26	24	6	26	22	3	15					
10	Число действительных бюллетеней	11885	1348	1239	1099	845	1216	1023	829	841	613	870	776	524	662					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	25	25	25	20	25	25	20	24	20	25	20	20	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	3	4	4	5	4	3	7	1	3	9	3	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	4	2	3	3	7	3	2	2	2	12	9	3	8					
14	Число погашенных открепительных удостоверений	245	22	21	21	15	21	22	13	23	17	16	17	16	21					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
