Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Великоустюгская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170					
1	"Число избирателей, внесенных в списки"	50710	1011	1003	2186	1877	2378	1471	1795	2103	1442	1493	1533	1296	1929	1361	2273	1184	152	571	317	1541	1725	1597	1615	294	144	369	239	808	450	1190	116	190	417	364	338	166	1314	256	110	349	107	155	120	2289	307	204	747	350	419	863	242	1176	563	174	535	1203	289					
2	"Число бюллетеней, полученных участковыми комиссиями"	51600	1000	1000	2000	1800	2000	1500	1800	2000	1300	1500	1500	1200	2000	1400	2100	1200	200	600	450	1600	1700	1600	1600	350	150	400	250	900	500	1250	150	200	450	400	400	200	1350	300	150	400	150	200	150	2500	350	200	800	400	500	900	300	1200	700	200	600	1300	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27085	486	561	1243	1000	1342	836	948	1119	737	730	693	694	1078	671	1133	597	79	328	248	851	908	946	982	187	91	142	136	461	283	612	72	113	259	168	184	103	772	169	91	135	78	106	79	1114	121	111	357	172	275	417	104	581	311	80	271	561	159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2677	26	18	33	46	44	43	32	33	20	54	45	23	66	60	56	82	6	40	0	73	65	77	79	27	34	98	17	34	7	24	13	21	44	64	44	20	87	54	12	101	3	13	15	139	81	29	25	15	57	80	45	122	96	28	53	106	48					
6	Число погашенных бюллетеней	21838	488	421	724	754	614	621	820	848	543	716	762	483	856	669	911	521	115	232	202	676	727	577	539	136	25	160	97	405	210	614	65	66	147	168	172	77	491	77	47	164	69	81	56	1247	148	60	418	213	168	403	151	497	293	92	276	633	93					
7	Число бюллетеней в переносных ящиках для голосования	2677	26	18	33	46	44	43	32	33	20	54	45	23	66	60	56	82	6	40	0	73	65	77	79	27	34	98	17	34	7	24	13	21	44	64	44	20	87	54	12	101	3	13	15	139	81	29	25	15	57	80	45	122	96	28	53	106	48					
8	Число бюллетеней в стационарных ящиках для голосования	27051	486	561	1243	1000	1342	835	948	1119	717	730	693	695	1077	671	1130	597	77	328	248	851	908	946	982	187	91	142	136	460	283	612	72	112	259	168	184	103	772	169	91	135	78	106	79	1112	121	111	357	171	275	417	104	581	311	80	271	558	159					
9	Число недействительных бюллетеней	742	9	16	17	11	9	15	21	6	19	10	23	12	21	14	14	18	0	4	10	52	31	47	40	3	2	4	0	24	12	21	8	5	8	13	8	5	25	4	2	4	9	0	2	19	3	5	20	1	2	17	3	23	19	6	14	20	12					
10	Число действительных бюллетеней	28986	503	563	1259	1035	1377	863	959	1146	718	774	715	706	1122	717	1172	661	83	364	238	872	942	976	1021	211	123	236	153	470	278	615	77	128	295	219	220	118	834	219	101	232	72	119	92	1232	199	135	362	185	330	480	146	680	388	102	310	644	195					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1978	40	40	80	60	80	45	45	80	60	40	45	45	60	45	80	45	10	30	0	60	60	60	60	20	20	20	20	20	30	55	25	20	20	20	20	10	60	10	10	0	10	10	10	80	10	20	20	20	20	30	10	60	40	10	20	50	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	156	3	3	4	6	5	6	22	5	13	8	1	3	9	3	8	3	0	1	0	7	3	1	3	0	0	3	1	2	0	1	0	1	2	5	7	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	0	2	1	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	2	1	2	2	6	1	4	1	6	2	0	3	3	1	3	1	0	2	4	2	3	1	0	1	0	0	0	1	0	1	0	3	1	6	1	0	3	0	0	0	1	0	0	1	2	3	1	0	2	1	0	3	0	2	0	4	5					
14	Число погашенных открепительных удостоверений	1822	37	37	76	54	75	39	23	75	47	32	44	42	51	42	72	42	10	29	0	53	57	59	57	20	20	17	19	18	30	54	25	19	18	15	13	10	60	10	10	0	10	10	10	74	8	20	20	20	20	29	10	58	39	10	20	45	8					
15	Число открепительных удостоверений выданных ТИК	22	0	3	0	2	5	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	"1. ""ЕДИНЕНИЕ"""	333	11	5	3	9	8	10	9	9	7	8	7	4	10	10	11	5	0	1	5	12	9	18	12	4	5	5	5	7	9	6	0	4	6	1	3	2	9	2	1	4	0	0	1	14	5	3	7	3	4	4	2	16	6	2	1	8	1					
		1.12%	2.14%	0.86%	0.23%	0.86%	0.57%	1.13%	0.91%	0.78%	0.94%	1.02%	0.94%	0.55%	0.87%	1.36%	0.92%	0.73%	0.0%	0.27%	2.01%	1.29%	0.92%	1.75%	1.13%	1.86%	4.0%	2.08%	3.26%	1.41%	3.10%	0.94%	0.0%	3.00%	1.98%	0.43%	1.31%	1.62%	1.04%	0.89%	0.97%	1.69%	0.0%	0.0%	1.06%	1.11%	2.47%	2.14%	1.83%	1.61%	1.20%	0.80%	1.34%	2.27%	1.47%	1.85%	0.30%	1.20%	0.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	783	13	24	45	46	86	41	38	49	22	18	26	24	33	18	34	20	1	4	8	16	14	19	9	2	0	2	1	13	4	3	2	1	7	5	5	1	12	2	1	5	1	0	0	28	3	7	1	3	3	10	2	23	5	0	7	14	2					
		2.63%	2.53%	4.14%	3.52%	4.39%	6.20%	4.66%	3.87%	4.25%	2.98%	2.29%	3.52%	3.34%	2.88%	2.46%	2.86%	2.94%	1.20%	1.08%	3.22%	1.73%	1.43%	1.85%	0.84%	0.93%	0.0%	0.83%	0.65%	2.63%	1.37%	0.47%	2.35%	0.75%	2.31%	2.15%	2.19%	0.81%	1.39%	0.89%	0.97%	2.11%	1.23%	0.0%	0.0%	2.23%	1.48%	4.99%	0.26%	1.61%	0.90%	2.01%	1.34%	3.27%	1.22%	0.0%	2.16%	2.10%	0.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1078	20	21	49	36	33	35	35	20	33	21	26	32	45	39	44	23	2	14	8	35	37	34	50	12	1	7	7	10	13	20	3	5	9	10	8	6	21	3	6	10	1	4	8	48	6	7	15	10	6	23	5	29	14	10	11	18	20					
		3.62%	3.90%	3.62%	3.84%	3.44%	2.38%	3.98%	3.57%	1.73%	4.47%	2.67%	3.52%	4.45%	3.93%	5.33%	3.70%	3.38%	2.40%	3.80%	3.22%	3.78%	3.80%	3.32%	4.71%	5.60%	0.8%	2.91%	4.57%	2.02%	4.48%	3.14%	3.52%	3.75%	2.97%	4.31%	3.50%	4.87%	2.44%	1.34%	5.82%	4.23%	1.23%	3.36%	8.51%	3.83%	2.97%	4.99%	3.92%	5.37%	1.80%	4.62%	3.35%	4.12%	3.43%	9.25%	3.39%	2.71%	9.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	495	8	13	29	15	35	16	15	24	23	23	18	25	17	19	19	9	1	3	3	17	15	16	16	0	0	1	4	2	10	9	3	1	1	0	1	3	8	2	0	3	1	0	1	22	0	0	3	6	1	8	4	10	0	1	7	4	0					
		1.66%	1.56%	2.24%	2.27%	1.43%	2.52%	1.82%	1.53%	2.08%	3.12%	2.93%	2.43%	3.48%	1.48%	2.59%	1.60%	1.32%	1.20%	0.81%	1.20%	1.83%	1.54%	1.56%	1.50%	0.0%	0.0%	0.41%	2.61%	0.40%	3.44%	1.41%	3.52%	0.75%	0.33%	0.0%	0.43%	2.43%	0.93%	0.89%	0.0%	1.27%	1.23%	0.0%	1.06%	1.75%	0.0%	0.0%	0.78%	3.22%	0.30%	1.60%	2.68%	1.42%	0.0%	0.92%	2.16%	0.60%	0.0%					
22	"5. ""За Русь Святую"""	182	3	3	6	5	9	7	6	4	2	2	5	5	6	2	3	4	0	2	1	8	9	16	8	0	2	2	0	5	3	2	0	3	2	0	1	1	4	3	1	1	0	3	2	7	1	0	3	3	0	3	1	4	1	5	0	2	1					
		0.61%	0.58%	0.51%	0.47%	0.47%	0.64%	0.79%	0.61%	0.34%	0.27%	0.25%	0.67%	0.69%	0.52%	0.27%	0.25%	0.58%	0.0%	0.54%	0.40%	0.86%	0.92%	1.56%	0.75%	0.0%	1.6%	0.83%	0.0%	1.01%	1.03%	0.31%	0.0%	2.25%	0.66%	0.0%	0.43%	0.81%	0.46%	1.34%	0.97%	0.42%	0.0%	2.52%	2.12%	0.55%	0.49%	0.0%	0.78%	1.61%	0.0%	0.60%	0.67%	0.56%	0.24%	4.62%	0.0%	0.30%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	79	0	3	2	1	4	1	3	2	3	2	2	0	1	2	0	5	1	0	1	5	5	2	3	0	0	0	0	1	1	3	1	1	0	0	1	0	0	2	0	0	0	0	2	4	0	0	4	3	0	0	1	1	3	1	1	0	1					
		0.26%	0.0%	0.51%	0.15%	0.09%	0.28%	0.11%	0.30%	0.17%	0.40%	0.25%	0.27%	0.0%	0.08%	0.27%	0.0%	0.73%	1.20%	0.0%	0.40%	0.54%	0.51%	0.19%	0.28%	0.0%	0.0%	0.0%	0.0%	0.20%	0.34%	0.47%	1.17%	0.75%	0.0%	0.0%	0.43%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	2.12%	0.31%	0.0%	0.0%	1.04%	1.61%	0.0%	0.0%	0.67%	0.14%	0.73%	0.92%	0.30%	0.0%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	151	1	3	10	5	11	5	7	4	7	9	1	4	8	3	9	2	0	0	0	7	3	3	7	0	0	0	1	4	0	3	0	2	0	0	0	0	4	0	0	1	1	0	0	7	2	1	1	1	0	1	1	2	0	0	5	4	1					
		0.50%	0.19%	0.51%	0.78%	0.47%	0.79%	0.56%	0.71%	0.34%	0.94%	1.14%	0.13%	0.55%	0.69%	0.41%	0.75%	0.29%	0.0%	0.0%	0.0%	0.75%	0.30%	0.29%	0.65%	0.0%	0.0%	0.0%	0.65%	0.80%	0.0%	0.47%	0.0%	1.50%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.42%	1.23%	0.0%	0.0%	0.55%	0.99%	0.71%	0.26%	0.53%	0.0%	0.20%	0.67%	0.28%	0.0%	0.0%	1.54%	0.60%	0.48%					
25	"8. ""Народно-республиканская партия России"""	31	0	0	1	0	1	0	4	0	0	0	0	0	2	3	4	1	0	0	0	2	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.07%	0.0%	0.07%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.41%	0.33%	0.14%	0.0%	0.0%	0.0%	0.21%	0.20%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.42%	0.0%	0.0%	0.0%	0.07%	0.99%	0.0%	0.0%	0.53%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	82	0	1	3	4	3	3	6	2	1	0	2	1	3	0	4	5	0	0	3	1	2	3	3	1	0	1	0	2	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	5	1	1	0	2	0	2	0	0	2	0	1	7	2					
		0.27%	0.0%	0.17%	0.23%	0.38%	0.21%	0.34%	0.61%	0.17%	0.13%	0.0%	0.27%	0.13%	0.26%	0.0%	0.33%	0.73%	0.0%	0.0%	1.20%	0.10%	0.20%	0.29%	0.28%	0.46%	0.0%	0.41%	0.0%	0.40%	0.34%	0.15%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.39%	0.49%	0.71%	0.0%	1.07%	0.0%	0.40%	0.0%	0.0%	0.49%	0.0%	0.30%	1.05%	0.96%					
27	"10. ""Аграрная партия России"""	2257	27	18	73	68	59	32	38	56	33	30	32	30	41	42	65	23	5	19	18	44	33	56	55	69	14	49	21	81	37	23	4	8	76	17	40	5	25	31	26	37	8	16	8	61	9	13	13	4	144	148	42	87	84	11	38	92	19					
		7.59%	5.27%	3.10%	5.72%	6.50%	4.25%	3.64%	3.87%	4.86%	4.47%	3.82%	4.33%	4.17%	3.58%	5.74%	5.48%	3.38%	6.02%	5.16%	7.25%	4.76%	3.39%	5.47%	5.18%	32.24%	11.2%	20.41%	13.72%	16.39%	12.75%	3.61%	4.70%	6.01%	25.08%	7.32%	17.54%	4.06%	2.91%	13.90%	25.24%	15.67%	9.87%	13.44%	8.51%	4.87%	4.45%	9.28%	3.40%	2.15%	43.37%	29.77%	28.18%	12.37%	20.63%	10.18%	11.72%	13.85%	9.17%					
28	"11. ""Истинные патриоты России"""	17	0	0	1	1	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0					
		0.05%	0.0%	0.0%	0.07%	0.09%	0.07%	0.0%	0.0%	0.26%	0.0%	0.12%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.46%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.53%	0.0%	0.20%	0.67%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	358	3	5	22	18	9	13	12	15	5	13	10	16	11	16	21	9	5	4	1	7	6	16	12	2	0	4	1	4	6	6	0	5	2	2	0	0	7	1	0	2	3	1	1	13	1	0	5	0	2	6	0	8	5	1	10	8	3					
		1.20%	0.58%	0.86%	1.72%	1.72%	0.64%	1.48%	1.22%	1.30%	0.67%	1.65%	1.35%	2.22%	0.96%	2.18%	1.77%	1.32%	6.02%	1.08%	0.40%	0.75%	0.61%	1.56%	1.13%	0.93%	0.0%	1.66%	0.65%	0.80%	2.06%	0.94%	0.0%	3.75%	0.66%	0.86%	0.0%	0.0%	0.81%	0.44%	0.0%	0.84%	3.70%	0.84%	1.06%	1.03%	0.49%	0.0%	1.30%	0.0%	0.60%	1.20%	0.0%	1.13%	1.22%	0.92%	3.08%	1.20%	1.44%					
30	"13. ""Демократическая партия России"""	54	1	1	0	0	1	0	4	2	1	2	0	3	1	0	2	4	1	0	0	1	7	2	3	0	0	0	0	2	0	1	0	0	0	0	0	1	3	1	0	0	0	1	1	3	1	1	1	0	0	0	0	1	0	1	0	0	0					
		0.18%	0.19%	0.17%	0.0%	0.0%	0.07%	0.0%	0.40%	0.17%	0.13%	0.25%	0.0%	0.41%	0.08%	0.0%	0.16%	0.58%	1.20%	0.0%	0.0%	0.10%	0.71%	0.19%	0.28%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.34%	0.44%	0.0%	0.0%	0.0%	0.84%	1.06%	0.23%	0.49%	0.71%	0.26%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.92%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	0	1	0	0	1	1	1	2	1	0	2	1	0	1	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	3	2	0	1	0	2	0	0	1	1	1					
		0.11%	0.0%	0.17%	0.0%	0.0%	0.07%	0.11%	0.10%	0.17%	0.13%	0.0%	0.27%	0.13%	0.0%	0.13%	0.08%	0.29%	0.0%	0.0%	0.0%	0.10%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.97%	0.0%	1.23%	0.0%	0.0%	0.0%	0.49%	0.0%	0.78%	1.07%	0.0%	0.20%	0.0%	0.28%	0.0%	0.0%	0.30%	0.15%	0.48%					
32	"15. ""Партия СЛОН"""	40	0	1	3	1	4	2	1	5	2	1	1	2	2	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0					
		0.13%	0.0%	0.17%	0.23%	0.09%	0.28%	0.22%	0.10%	0.43%	0.27%	0.12%	0.13%	0.27%	0.17%	0.13%	0.25%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.44%	0.0%	0.42%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.52%	0.53%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.30%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1883	27	43	120	79	134	59	74	98	57	53	57	61	102	47	91	62	1	18	13	45	63	73	53	11	4	16	3	19	13	27	1	8	16	15	3	6	43	4	2	21	5	17	0	53	5	5	12	7	17	19	2	31	13	0	14	33	8					
		6.33%	5.27%	7.42%	9.40%	7.55%	9.66%	6.71%	7.55%	8.50%	7.73%	6.76%	7.72%	8.49%	8.92%	6.42%	7.67%	9.13%	1.20%	4.89%	5.24%	4.87%	6.47%	7.13%	4.99%	5.14%	3.2%	6.66%	1.96%	3.84%	4.48%	4.24%	1.17%	6.01%	5.28%	6.46%	1.31%	4.87%	5.00%	1.79%	1.94%	8.89%	6.17%	14.28%	0.0%	4.23%	2.47%	3.57%	3.14%	3.76%	5.12%	3.82%	1.34%	4.40%	3.19%	0.0%	4.32%	4.96%	3.86%					
