Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Щекинская																																																																																					
																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																					
																																																																																					
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092					
1	"Число избирателей, внесенных в списки"	95546	2779	2924	2351	2780	2966	2775	2861	2835	2792	107	386	1212	2646	1498	824	2486	2383	1192	1836	1744	1508	726	2588	1278	1935	1050	259	2711	2601	2181	1480	5	384	194	838	736	2083	2260	2433	36	2450	478	948	288	323	1146	646	162	821	653	1039	326	138	827	372	1569	656	166	1614	2173	233	454	328	353	184	223	342	318	627	333	1516	793	447	948	1129	1045	772	43					
2	"Число бюллетеней, полученных участковыми комиссиями"	114181	2500	2500	2100	2500	2600	2500	2500	2500	2500	110	360	1180	2400	1500	810	2500	2150	2200	1800	1550	1300	660	2300	1300	1700	950	300	2450	2300	2000	1300	10	370	490	850	670	1900	2200	2500	50	2400	430	950	260	330	1000	660	150	800	600	950	300	130	760	340	1360	650	170	1500	2000	200	420	300	320	180	200	310	280	570	331	1430	720	400	7000	7000	7000	7000	420					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	24	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	46435	1249	1467	1134	1393	1361	1322	1354	1346	1123	107	190	600	1216	699	414	1283	1094	1143	908	840	818	384	1141	677	901	409	148	1417	1330	1089	744	3	163	118	278	306	970	1194	1094	21	1073	149	252	88	100	444	276	105	318	176	428	118	45	302	161	645	280	67	736	862	99	221	137	124	58	110	181	103	245	37	667	338	200	934	1129	1007	729	43					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3428	48	25	29	41	28	54	42	31	56	0	14	14	41	20	18	35	53	49	45	27	39	10	66	26	51	17	87	43	48	19	43	2	6	76	122	14	73	34	29	14	26	42	132	55	81	102	36	15	49	117	63	57	29	86	71	95	20	33	109	117	33	96	70	30	23	22	13	51	63	89	57	11	10	14	0	7	15	0					
6	Число погашенных бюллетеней	64271	1203	1008	937	1066	1211	1124	1104	1123	1321	3	156	566	1143	781	378	1182	1003	1008	847	683	443	266	1093	597	748	524	65	990	929	892	513	5	201	296	450	350	857	972	1377	15	1301	239	566	117	149	454	348	30	433	307	459	125	56	372	108	620	350	70	655	1021	68	103	93	166	99	68	116	126	262	205	706	372	190	6052	5871	5955	6232	377					
7	Число бюллетеней в переносных ящиках для голосования	3428	48	25	29	41	28	54	42	31	56	0	14	14	41	20	18	35	53	49	45	27	39	10	66	26	51	17	87	43	48	19	43	2	6	76	122	14	73	34	29	14	26	42	132	55	81	102	36	15	49	117	63	57	29	86	71	95	20	33	109	117	33	96	70	30	23	22	13	51	63	89	57	11	10	14	0	7	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	46433	1249	1467	1103	1393	1361	1322	1354	1346	1123	107	190	600	1208	699	414	1283	1094	1137	908	840	818	384	1141	677	901	409	148	1417	1323	1089	744	3	163	118	278	306	970	1194	1094	21	1073	149	252	88	100	444	276	105	318	176	428	118	45	302	161	645	280	67	736	862	99	221	137	124	58	110	181	103	245	37	667	338	200	934	1129	1037	749	43					
9	Число недействительных бюллетеней	770	9	18	3	18	14	10	14	28	16	0	3	18	17	10	5	17	16	9	9	14	35	11	17	14	6	16	4	12	26	17	8	0	4	0	6	15	24	29	33	0	19	2	2	0	1	5	2	0	14	1	9	0	2	11	1	26	5	1	11	3	2	2	2	3	0	1	0	2	10	1	27	7	7	6	8	36	16	0					
10	Число действительных бюллетеней	49091	1288	1474	1129	1416	1375	1366	1382	1349	1163	107	201	596	1232	709	427	1301	1131	1177	944	853	822	383	1190	689	946	410	231	1448	1345	1091	779	5	165	194	394	305	1019	1199	1090	35	1080	189	382	143	180	541	310	120	353	292	482	175	72	377	231	714	295	99	834	976	130	315	205	151	81	131	194	152	298	125	697	342	203	942	1121	1008	748	43					
