Выборы Президента Российской Федерации																																																		
																																																		
"Наименование Избирательной комиссии:    Барнаул, Железнодорожная"																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58					
1	"Число избирателей, внесенных в список"	92620	2159	2515	3070	2458	2496	2225	2389	1978	1993	1950	1050	1244	1242	2197	2017	1963	2233	2483	2817	2671	2290	1903	2474	2195	1725	2075	2197	2047	2005	1897	2079	2457	2290	1959	2424	1833	1947	2184	3026	2821	2023	1977	1642					
2	Число полученных избирательных бюллетеней	86600	2000	2200	2800	2300	2300	2100	2300	1800	1900	1800	1000	1200	1200	2100	1900	1800	2100	2300	2600	2500	2200	1800	2400	2100	1600	1800	2000	1900	1900	1800	2000	2300	2200	1800	2300	1700	1800	2100	2800	2600	1900	1800	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53315	1033	1679	1780	1683	1713	1322	1653	1315	1238	1210	665	895	810	1345	1240	1013	1379	1274	1643	1449	1549	860	1093	1100	902	950	1163	1153	1169	1129	1256	1506	1343	1117	1406	1036	1156	1397	1514	1401	966	780	1030					
5	"Число избирательных бюллетеней, выданных вне помещения"	2319	36	37	29	47	51	9	70	45	55	74	36	39	55	82	31	32	33	49	96	45	50	54	68	21	36	125	33	55	72	58	43	71	66	87	61	70	54	32	74	67	54	61	56					
6	Число погашенных избирательных бюллетеней	30966	931	484	991	570	536	769	577	440	607	516	299	266	335	673	629	755	688	977	861	1006	601	886	1239	979	662	725	804	692	659	613	701	723	791	596	833	594	590	671	1212	1132	880	959	514					
7	Число избирательных бюллетеней в переносных ящиках	2319	36	37	29	47	51	9	70	45	55	74	36	39	55	82	31	32	33	49	96	45	50	54	68	21	36	125	33	55	72	58	43	71	66	87	61	70	54	32	74	67	54	61	56					
8	Число бюллетеней в стационарных ящиках для голосования	53172	1032	1676	1776	1674	1708	1290	1651	1315	1237	1210	663	895	797	1345	1229	1013	1377	1274	1632	1447	1549	860	1093	1100	902	950	1163	1153	1169	1129	1256	1505	1341	1115	1387	1031	1153	1394	1507	1399	966	779	1030					
9	Число недействительных избирательных бюллетеней	504	18	11	6	4	8	1	20	10	7	7	4	7	0	18	20	14	13	19	13	14	10	9	13	4	9	10	8	10	14	14	13	34	10	20	28	5	13	23	7	15	12	4	5					
10	Число действительных избирательных бюллетеней	54987	1050	1702	1799	1717	1751	1298	1701	1350	1285	1277	695	927	852	1409	1240	1031	1397	1304	1715	1478	1589	905	1148	1117	929	1065	1188	1198	1227	1173	1286	1542	1397	1182	1420	1096	1194	1403	1574	1451	1008	836	1081					
