Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Нефтеюганская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457					
1	"Число избирателей, внесенных в список"	24639	444	1971	1678	2392	2416	2766	1799	1158	219	271	805	701	133	528	1292	283	979	1456	253	1531	367	651	546					
2	Число полученных избирательных бюллетеней	25562	657	2210	1730	2480	2400	2700	1760	1140	240	280	890	690	145	560	1340	270	1020	1500	260	1560	400	730	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17437	417	1407	1088	1627	1579	1940	1156	776	172	233	579	616	130	488	973	201	752	960	210	923	292	529	389					
5	"Число избирательных бюллетеней, выданных вне помещения"	218	6	21	9	17	14	25	18	7	6	7	4	0	0	10	8	0	6	25	0	22	0	2	11					
6	Число погашенных избирательных бюллетеней	7897	234	782	633	836	807	735	586	357	62	40	307	74	15	62	359	69	262	515	50	605	108	199	200					
7	Число избирательных бюллетеней в переносных ящиках	228	6	21	9	17	14	25	18	7	6	7	4	0	0	10	8	0	6	25	0	32	0	2	11					
8	Число бюллетеней в стационарных ящиках для голосования	17436	417	1407	1088	1627	1579	1939	1156	776	172	233	579	616	130	488	973	201	752	960	210	923	292	529	389					
9	Число недействительных избирательных бюллетеней	122	5	10	11	8	11	15	5	9	2	0	0	5	1	2	5	1	5	12	0	6	3	3	3					
10	Число действительных избирательных бюллетеней	17542	418	1418	1086	1636	1582	1949	1169	774	176	240	583	611	129	496	976	200	753	973	210	949	289	528	397					
11	Число полученных открепительных  удостоверений	471	10	29	17	35	29	45	20	23	10	10	92	10	10	5	15	6	25	15	10	15	10	20	10					
12	Число выданных открепительных удостоверений	442	10	29	16	29	26	40	20	20	8	9	90	10	10	3	15	4	25	15	10	13	10	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	290	58	5	2	6	11	22	15	4	2	6	9	53	11	1	5	6	8	36	0	7	9	5	9					
14	Число неиспользованных открепительных удостоверений	29	0	0	1	6	3	5	0	3	2	1	2	0	0	2	0	2	0	0	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	1	0	1	1	0	1	0	0	1	1	7	0	0	0	4	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	555	16	49	35	43	58	75	20	26	7	9	36	16	0	9	32	9	31	24	3	23	11	14	9					
		3.14%	3.78%	3.43%	3.19%	2.62%	3.64%	3.82%	1.70%	3.32%	3.93%	3.75%	6.17%	2.60%	0.00%	1.81%	3.26%	4.48%	4.09%	2.44%	1.43%	2.41%	3.77%	2.64%	2.25%					
19	. Малышкин Олег Александрович	591	17	29	25	50	51	60	42	41	5	16	34	12	2	22	20	6	29	19	4	49	23	20	15					
		3.35%	4.02%	2.03%	2.28%	3.04%	3.20%	3.05%	3.58%	5.24%	2.81%	6.67%	5.83%	1.95%	1.54%	4.42%	2.04%	2.99%	3.83%	1.93%	1.90%	5.13%	7.88%	3.77%	3.75%					
20	. Миронов Сергей Михайлович	132	6	7	11	12	8	19	6	3	1	1	3	3	0	3	13	1	6	5	0	12	9	3	0					
		0.75%	1.42%	0.49%	1.00%	0.73%	0.50%	0.97%	0.51%	0.38%	0.56%	0.42%	0.51%	0.49%	0.00%	0.60%	1.33%	0.50%	0.79%	0.51%	0.00%	1.26%	3.08%	0.56%	0.00%					
21	. Путин Владимир Владимирович	13255	328	1047	784	1269	1158	1407	883	556	107	171	427	504	124	401	723	154	558	814	182	760	192	381	325					
		75.04%	77.54%	73.32%	71.47%	77.19%	72.69%	71.64%	75.21%	71.01%	60.11%	71.25%	73.24%	81.82%	95.38%	80.52%	73.70%	76.62%	73.61%	82.64%	86.67%	79.58%	65.75%	71.75%	81.25%					
22	. Хакамада Ирина Муцуовна	816	19	73	65	63	83	110	56	44	10	4	12	17	1	9	65	9	41	38	6	28	18	27	18					
		4.62%	4.49%	5.11%	5.93%	3.83%	5.21%	5.60%	4.77%	5.62%	5.62%	1.67%	2.06%	2.76%	0.77%	1.81%	6.63%	4.48%	5.41%	3.86%	2.86%	2.93%	6.16%	5.08%	4.50%					
23	. Харитонов Николай Михайлович	1461	18	154	112	133	147	189	122	82	33	32	41	26	1	14	83	8	42	44	8	64	28	56	24					
		8.27%	4.26%	10.78%	10.21%	8.09%	9.23%	9.62%	10.39%	10.47%	18.54%	13.33%	7.03%	4.22%	0.77%	2.81%	8.46%	3.98%	5.54%	4.47%	3.81%	6.70%	9.59%	10.55%	6.00%					
																														
24	Против всех	732	14	59	54	66	77	89	40	22	13	7	30	33	1	38	40	13	46	29	7	13	8	27	6					
		4.14%	3.31%	4.13%	4.92%	4.01%	4.83%	4.53%	3.41%	2.81%	7.30%	2.92%	5.15%	5.36%	0.77%	7.63%	4.08%	6.47%	6.07%	2.94%	3.33%	1.36%	2.74%	5.08%	1.50%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
