Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
"Наименование Избирательной комиссии:    г. Тула, Центральная"																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113					
1	"Число избирателей, внесенных в списки избирателей"	82567	2018	2253	1300	1091	1321	1460	283	2752	1605	2263	1447	2095	2001	1951	1277	2428	2158	2157	2015	2346	2154	1353	1733	1815	2272	1909	810	1426	1929	1232	1022	1451	1869	1888	1929	2284	2292	2429	2356	2296	2672	2229	1221	1641	2134					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67700	1600	1800	1100	950	1100	1150	250	2250	1300	1850	1150	1700	1750	1550	1050	1950	1900	1750	1600	1900	1700	1200	1400	1450	2200	1550	900	1150	1550	950	900	1150	1350	1350	1750	1900	1900	1950	1900	1850	2100	1800	1000	1350	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42731	808	1021	521	435	525	588	191	1231	573	1129	484	1118	1172	988	655	1288	1419	1096	1140	1225	1025	708	840	1052	1840	1061	808	729	1146	680	545	583	798	756	1152	1294	1258	1316	1324	1206	1363	1080	661	821	1078					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4192	190	156	123	125	173	130	10	153	158	231	211	50	47	68	62	91	43	41	50	69	138	75	71	65	156	102	2	74	62	111	30	104	32	211	68	84	54	74	59	41	205	49	16	47	81					
6	Число погашенных избирательных бюллетеней	20777	602	623	456	390	402	432	49	866	569	490	455	532	531	494	333	571	438	613	410	606	537	417	489	333	204	387	90	347	342	159	325	463	520	383	530	522	588	560	517	603	532	671	323	482	591					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4191	190	156	123	125	173	130	10	153	158	231	211	50	47	68	62	91	43	41	50	69	138	75	71	65	156	102	2	74	62	111	30	104	32	211	68	84	54	74	58	41	205	49	16	47	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42665	808	1021	521	435	525	588	191	1228	573	1129	484	1117	1172	988	655	1288	1418	1092	1140	1225	1020	708	840	1049	1837	1053	803	729	1142	680	545	583	798	754	1152	1288	1253	1311	1323	1206	1358	1080	660	821	1074					
9	Число недействительных избирательных бюллетеней	502	6	10	15	14	9	5	2	14	3	7	4	12	13	11	5	13	22	10	16	19	9	7	9	13	28	11	14	12	19	4	7	6	15	16	19	14	11	13	6	15	9	10	3	13	9					
10	Число действительных избирательных бюллетеней	46354	992	1167	629	546	689	713	199	1367	728	1353	691	1155	1206	1045	712	1366	1439	1123	1174	1275	1149	776	902	1101	1965	1144	791	791	1185	787	568	681	815	949	1201	1358	1296	1372	1375	1232	1554	1119	673	855	1146					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1460	15	25	25	18	15	10	6	30	15	35	15	33	27	33	25	33	221	30	28	23	25	20	23	44	50	30	0	30	28	34	40	10	23	45	30	37	55	45	27	41	45	40	24	22	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1425	15	25	23	17	15	10	6	30	15	35	11	33	27	30	20	33	220	30	26	23	24	20	23	44	50	27	0	28	28	34	39	10	23	44	30	34	54	45	26	39	45	38	24	22	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1208	14	33	14	2	13	12	21	20	10	11	15	19	26	15	9	21	56	12	29	16	19	43	10	39	18	53	52	33	22	22	51	28	158	74	18	17	21	23	22	37	20	24	11	19	6					
14	Число погашенных неиспользованных открепительных удостоверений	35	0	0	2	1	0	0	0	0	0	0	4	0	0	3	5	0	1	0	2	0	1	0	0	0	0	3	0	2	0	0	1	0	0	1	0	3	1	0	1	2	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	2	0	1	0	0	1	0	1	0	2	1	1	2	0	2	3	0	1	3	3	1	2	3	4	0	0	0	1	2	0	2	2	4	1	2	3	4	0	1	1	2	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	1.Политическая партия «Аграрная партия России»	995	26	19	8	8	13	10	2	38	16	16	12	29	31	31	14	44	37	24	27	25	21	23	31	26	30	19	6	15	26	8	23	10	18	29	39	27	25	33	34	24	30	17	12	13	26					
		2.12%	2.61%	1.61%	1.24%	1.43%	1.86%	1.39%	0.99%	2.75%	2.19%	1.18%	1.73%	2.49%	2.54%	2.94%	1.95%	3.19%	2.53%	2.12%	2.27%	1.93%	1.81%	2.94%	3.40%	2.33%	1.51%	1.65%	0.75%	1.87%	2.16%	1.01%	4.00%	1.46%	2.17%	3.01%	3.20%	1.97%	1.91%	2.38%	2.46%	1.92%	1.92%	1.51%	1.78%	1.50%	2.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	733	10	4	2	8	5	9	2	16	11	18	6	25	15	23	9	22	30	13	31	32	21	12	20	22	25	38	6	15	18	9	19	9	14	11	13	17	18	27	11	22	30	28	12	9	16					
		1.56%	1.00%	0.34%	0.31%	1.43%	0.72%	1.25%	0.99%	1.16%	1.50%	1.32%	0.86%	2.14%	1.23%	2.18%	1.26%	1.60%	2.05%	1.15%	2.61%	2.47%	1.81%	1.53%	2.20%	1.97%	1.25%	3.29%	0.75%	1.87%	1.50%	1.14%	3.30%	1.31%	1.69%	1.14%	1.07%	1.24%	1.38%	1.95%	0.80%	1.76%	1.92%	2.48%	1.78%	1.04%	1.39%					
20	3.Политическая партия «Демократическая партия России»	82	0	3	2	2	0	0	0	5	1	1	0	3	0	2	1	4	5	4	1	2	4	0	1	3	2	3	2	2	2	0	1	3	0	2	2	1	0	3	2	1	3	4	1	2	2					
		0.18%	0.00%	0.25%	0.31%	0.36%	0.00%	0.00%	0.00%	0.36%	0.14%	0.07%	0.00%	0.26%	0.00%	0.19%	0.14%	0.29%	0.34%	0.35%	0.08%	0.15%	0.35%	0.00%	0.11%	0.27%	0.10%	0.26%	0.25%	0.25%	0.17%	0.00%	0.17%	0.44%	0.00%	0.21%	0.16%	0.07%	0.00%	0.22%	0.14%	0.08%	0.19%	0.35%	0.15%	0.23%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5776	89	118	70	53	63	48	29	152	77	143	81	182	194	167	101	189	146	163	182	175	163	79	141	168	150	191	20	117	213	56	62	57	98	127	197	204	153	190	202	128	198	131	65	109	135					
		12.33%	8.92%	10.03%	10.87%	9.46%	9.03%	6.69%	14.43%	11.01%	10.53%	10.51%	11.65%	15.60%	15.91%	15.81%	14.09%	13.71%	9.99%	14.39%	15.29%	13.52%	14.08%	10.09%	15.48%	15.08%	7.53%	16.54%	2.48%	14.57%	17.69%	7.08%	10.78%	8.30%	11.81%	13.16%	16.15%	14.87%	11.71%	13.72%	14.63%	10.26%	12.67%	11.60%	9.62%	12.56%	11.69%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	534	4	21	7	1	4	2	1	13	4	11	5	22	8	10	8	15	9	9	17	17	24	10	13	13	10	32	1	16	32	7	8	4	10	9	10	15	7	20	17	12	24	9	2	24	17					
		1.14%	0.40%	1.78%	1.09%	0.18%	0.57%	0.28%	0.50%	0.94%	0.55%	0.81%	0.72%	1.89%	0.66%	0.95%	1.12%	1.09%	0.62%	0.79%	1.43%	1.31%	2.07%	1.28%	1.43%	1.17%	0.50%	2.77%	0.12%	1.99%	2.66%	0.88%	1.39%	0.58%	1.20%	0.93%	0.82%	1.09%	0.54%	1.44%	1.23%	0.96%	1.54%	0.80%	0.30%	2.76%	1.47%					
23	6.Политическая партия «Партия социальной справедливости»	149	1	3	2	1	1	2	0	5	1	6	0	4	6	5	0	4	3	2	6	6	5	3	2	1	3	5	8	4	0	4	0	3	2	6	6	4	5	6	5	3	6	3	3	2	2					
		0.32%	0.10%	0.25%	0.31%	0.18%	0.14%	0.28%	0.00%	0.36%	0.14%	0.44%	0.00%	0.34%	0.49%	0.47%	0.00%	0.29%	0.21%	0.18%	0.50%	0.46%	0.43%	0.38%	0.22%	0.09%	0.15%	0.43%	0.99%	0.50%	0.00%	0.51%	0.00%	0.44%	0.24%	0.62%	0.49%	0.29%	0.38%	0.43%	0.36%	0.24%	0.38%	0.27%	0.44%	0.23%	0.17%					
