Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489					
1	"Число избирателей, внесенных в списки избирателей"	152204	1677	1846	1663	1800	507	2125	2291	1131	2011	2149	1046	1572	1664	871	931	2564	1550	1384	1104	1172	1369	555	915	729	1019	901	2329	2274	1929	2024	2634	2316	1847	2266	2010	2302	2340	2234	2230	308	2077	2544	2606	2661	2409	2484	2549	2186	2550	2849	1817	2966	2078	2205	1895	2232	2410	2725	1411	2627	2387	2876	1902	2852	2533	1924	1985	2449	2698	2094	1959	2426	1993	2067	2412	2199	1710	868					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	141200	1400	1700	1500	1500	450	2000	2100	1100	1800	2000	1000	1500	1600	800	850	2300	1400	1100	1000	1100	1100	500	900	600	900	1000	2200	2200	1800	1900	2500	2300	2300	1750	1900	2200	2100	2100	2100	300	2100	2400	2400	2500	2200	2300	2400	2000	2100	2700	1700	2300	1900	2100	1700	2100	2000	2600	1300	2500	2250	2600	1700	2600	2400	1800	1900	2300	2600	2000	1900	2300	1900	2000	2200	2100	1600	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	106448	818	894	891	1036	304	1311	1442	826	1130	1337	673	1028	1026	545	512	1792	982	847	751	777	924	425	558	468	582	771	1728	1580	1409	1448	1972	1784	1792	1545	1396	1676	1738	1617	1569	207	1444	1909	1831	1902	1624	1820	1912	1545	1765	2098	1251	2180	1503	1604	1455	1760	1704	1848	1000	1927	1760	2111	1390	1901	1751	1419	1438	1667	1870	1547	1476	1754	1482	1429	1681	1529	1182	868					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4129	263	34	69	157	19	64	102	30	29	17	30	46	40	28	51	69	46	187	39	60	51	0	40	64	76	130	40	59	44	35	27	44	55	96	47	54	63	24	153	3	36	52	60	30	27	20	29	18	44	43	37	53	41	67	8	13	36	40	27	51	80	28	9	57	52	30	93	114	51	49	66	35	28	75	41	54	50	0					
6	Число погашенных избирательных бюллетеней	30620	319	772	540	307	127	625	556	244	641	646	297	426	533	227	287	439	372	66	210	263	125	75	302	68	242	99	432	561	347	417	501	472	453	109	457	470	299	459	378	90	620	439	509	568	549	460	459	437	291	559	412	67	356	429	237	327	260	712	273	522	410	461	301	642	597	349	369	519	679	404	358	511	390	496	478	517	368	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4128	263	34	69	157	19	64	102	30	29	17	30	46	40	28	51	69	46	187	39	60	51	0	40	64	76	130	40	59	44	35	27	44	55	96	47	53	63	24	153	3	36	52	60	30	27	20	29	18	44	43	37	53	41	67	8	13	36	40	27	51	80	28	9	57	52	30	93	114	51	49	66	35	28	75	41	54	50	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	106350	818	894	891	1035	304	1311	1442	796	1130	1337	673	1028	1026	545	512	1790	982	842	751	777	924	425	558	468	582	771	1728	1580	1409	1446	1945	1784	1792	1545	1396	1675	1736	1614	1562	207	1444	1909	1831	1902	1624	1820	1912	1542	1765	2096	1251	2177	1503	1604	1454	1760	1703	1848	1000	1927	1760	2111	1387	1901	1751	1419	1438	1667	1868	1546	1476	1754	1482	1429	1681	1528	1182	867					
9	Число недействительных избирательных бюллетеней	1564	21	16	9	13	3	14	23	19	19	15	12	12	24	7	4	18	5	19	3	10	12	7	7	7	1	8	19	32	12	19	25	25	11	24	18	25	32	18	25	4	29	50	84	41	24	30	27	18	27	28	18	33	18	12	24	26	28	26	10	29	25	30	23	36	25	16	15	14	23	13	15	21	13	26	25	22	18	25					
10	Число действительных избирательных бюллетеней	108914	1060	912	951	1179	320	1361	1521	807	1140	1339	691	1062	1042	566	559	1841	1023	1010	787	827	963	418	591	525	657	893	1749	1607	1441	1462	1947	1803	1836	1617	1425	1703	1767	1620	1690	206	1451	1911	1807	1891	1627	1810	1914	1542	1782	2111	1270	2197	1526	1659	1438	1747	1711	1862	1017	1949	1815	2109	1373	1922	1778	1433	1516	1767	1896	1582	1527	1768	1497	1478	1697	1560	1214	842					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2209	20	20	20	20	10	35	35	20	20	35	40	20	20	10	10	35	20	20	20	21	19	10	10	10	10	20	35	35	25	30	35	35	35	35	20	40	35	35	35	10	35	35	35	32	38	35	35	35	35	35	30	35	20	35	35	45	35	35	20	35	35	35	20	39	35	40	20	35	35	35	40	35	30	35	35	35	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1912	15	18	13	17	3	25	22	16	17	25	38	8	17	10	7	25	20	16	7	21	14	5	10	9	10	12	35	25	22	25	35	29	35	14	20	40	32	35	19	3	24	35	34	27	38	32	30	28	35	33	29	35	20	35	35	44	31	35	14	32	31	35	20	39	32	25	20	35	30	35	31	30	30	31	33	35	25	0					
