Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №2233	УИК №2254					
1	"Число избирателей, внесенных в список избирателей"	158448	1510	2138	1767	2414	508	1981	1857	1348	1961	2244	1750	1690	800	1044	733	802	1382	2595	1721	1217	1053	1145	1424	574	1285	2835	2223	2164	1829	1891	2443	2317	2296	2117	1949	2161	2384	2394	2384	647	2135	2676	2500	2699	2637	2358	2406	2021	2433	1840	1903	2345	2621	2004	1884	1811	2421	1951	1957	2242	2787	2001	1961	2077	1634	2056	2486	2090	2517	2280	1899	2834	2666	2464	2548	2651	2672	2813	350	1841					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	156750	1450	2100	1700	2300	500	2000	1850	1300	1950	2200	1700	1700	800	1050	700	700	1350	2550	1700	1150	1050	1150	1400	550	1250	2500	2200	2150	1850	1900	2450	2300	2300	2100	1950	2150	2400	2400	2350	600	2100	2700	2500	2700	2600	2350	2400	2050	2400	1850	1900	2350	2600	2000	1850	1800	2400	1950	1950	2200	2750	2000	1950	2100	1650	2000	2500	2100	2550	2250	1900	2850	2650	2450	2550	2600	2650	2700	350	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	106247	1283	694	641	2117	205	967	1635	520	835	900	1625	1626	364	471	205	396	1308	1043	1611	572	898	545	1291	286	541	1292	2029	1200	1070	1140	1420	2187	2213	1117	1065	2115	2323	1380	2130	289	1562	2349	2323	1504	2525	2302	1503	1170	1292	984	1797	1203	2531	1877	1065	1071	1375	1092	1076	1236	1616	1141	1138	1215	900	1149	1396	2035	1380	1490	1022	2716	1438	1293	1427	1509	2549	1345	350	1752					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3085	58	26	59	85	2	42	39	37	34	24	52	28	22	32	25	15	18	32	60	80	64	70	60	9	47	301	32	62	36	38	36	30	22	48	19	16	45	24	131	16	46	28	12	12	38	25	13	14	17	21	69	104	52	31	32	30	35	29	51	40	39	33	28	50	35	20	31	31	44	13	9	29	18	17	28	14	28	32	0	11					
6	Число погашенных избирательных бюллетеней	47418	109	1380	1000	98	293	991	176	743	1081	1276	23	46	414	547	470	289	24	1475	29	498	88	535	49	255	662	907	139	888	744	722	994	83	65	935	866	19	32	996	89	295	492	323	165	1184	37	23	884	866	1091	845	34	1043	17	92	753	699	990	829	823	924	1095	826	784	835	715	831	1073	34	1126	747	869	105	1194	1140	1095	1077	73	1323	0	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3085	58	26	59	85	2	42	39	37	34	24	52	28	22	32	25	15	18	32	60	80	64	70	60	9	47	301	32	62	36	38	36	30	22	48	19	16	45	24	131	16	46	28	12	12	38	25	13	14	17	21	69	104	52	31	32	30	35	29	51	40	39	33	28	50	35	20	31	31	44	13	9	29	18	17	28	14	28	32	0	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	106233	1283	694	641	2117	205	967	1635	520	835	900	1625	1626	364	471	205	396	1308	1043	1610	570	898	545	1291	286	541	1292	2029	1200	1070	1140	1419	2187	2213	1117	1065	2114	2321	1379	2129	289	1562	2349	2323	1504	2525	2300	1503	1170	1292	984	1797	1203	2531	1877	1065	1071	1375	1092	1076	1236	1616	1141	1138	1215	900	1149	1396	2035	1379	1489	1022	2716	1437	1293	1427	1509	2549	1345	350	1752					
9	Число недействительных избирательных бюллетеней	1973	18	22	19	29	5	28	20	8	23	11	24	17	11	9	5	6	2	24	6	21	14	10	20	10	22	27	29	24	24	24	30	30	29	26	36	30	50	32	31	1	15	33	33	36	39	43	43	31	33	19	19	16	40	35	21	14	0	19	22	24	36	34	29	33	15	37	41	20	38	38	24	46	16	42	29	54	32	32	1	34					
10	Число действительных избирательных бюллетеней	107345	1323	698	681	2173	202	981	1654	549	846	913	1653	1637	375	494	225	405	1324	1051	1664	629	948	605	1331	285	566	1566	2032	1238	1082	1154	1425	2187	2206	1139	1048	2100	2316	1371	2229	304	1593	2344	2302	1480	2524	2282	1473	1153	1276	986	1847	1291	2543	1873	1076	1087	1410	1102	1105	1252	1619	1140	1137	1232	920	1132	1386	2046	1385	1464	1007	2699	1439	1268	1426	1469	2545	1345	349	1729					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1606	10	15	15	10	5	20	25	15	10	20	25	20	10	10	10	10	10	25	15	10	10	20	20	10	10	15	30	25	26	20	25	20	20	20	20	30	30	25	20	10	10	25	30	25	25	30	20	20	20	20	15	20	25	25	15	15	20	10	20	25	25	20	20	20	30	30	25	20	30	25	15	40	30	25	30	30	20	25	0	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1451	10	12	10	4	2	17	25	11	10	12	18	18	6	10	4	3	10	25	15	9	9	17	15	10	5	15	30	25	23	20	25	18	20	20	20	25	30	23	15	3	10	25	30	24	25	26	20	20	20	20	15	20	12	25	15	12	20	10	20	21	23	18	18	20	26	22	25	20	23	25	15	40	30	25	29	28	20	20	0	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1164	55	6	12	75	2	15	7	11	10	16	30	7	4	4	3	4	23	33	16	22	1	18	4	2	3	13	18	12	3	16	9	2	10	10	16	16	17	8	3	6	15	5	12	15	16	5	15	2	9	10	10	7	20	8	9	6	4	5	4	23	15	19	7	12	6	9	11	10	14	16	7	7	22	6	14	13	18	11	193	12					
