Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Клинцовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13795	591	346	584	260	600	351	540	334	324	305	116	965	653	414	394	273	796	537	436	760	776	166	169	477	92	734	503	1025	274									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14070	604	364	598	266	624	364	550	335	341	310	121	983	672	420	389	243	817	542	439	789	799	171	172	485	89	730	527	1057	269									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7766	285	115	283	160	350	266	333	209	190	179	70	530	224	135	201	165	531	293	203	575	571	75	80	269	59	425	227	686	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1809	71	34	102	27	131	17	39	14	29	15	28	148	163	224	62	8	70	75	121	31	34	49	39	27	7	59	80	83	22									
6	Число погашенных избирательных бюллетеней	4495	248	215	213	79	143	81	178	112	122	116	23	305	285	61	126	70	216	174	115	183	194	47	53	189	23	246	220	288	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1809	71	34	102	27	131	17	39	14	29	15	28	148	163	224	62	8	70	75	121	31	34	49	39	27	7	59	80	83	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7766	285	115	283	160	350	266	333	209	190	179	70	530	224	135	201	165	531	293	203	575	571	75	80	269	59	425	227	686	77									
9	Число недействительных избирательных бюллетеней	102	17	8	2	1	2	0	3	0	4	4	0	6	6	0	2	3	4	5	2	4	5	2	0	3	0	5	5	7	2									
10	Число действительных избирательных бюллетеней	9473	339	141	383	186	479	283	369	223	215	190	98	672	381	359	261	170	597	363	322	602	600	122	119	293	66	479	302	762	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	5	15	5	5	24	3	5	2	5	5	2	10	10	4	5	5	12	5	5	5	5	3	2	5	2	10	10	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	5	15	5	1	24	3	5	1	1	3	2	4	6	0	1	3	12	2	4	4	1	0	0	2	2	10	7	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	7	2	1	1	1	1	4	4	0	5	4	4	2	0	0	9	3	0	2	3	0	0	2	0	3	3	2	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	53	0	0	0	4	0	0	0	1	4	2	0	6	4	4	4	2	0	3	1	1	4	3	2	3	0	0	3	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	6	1	6	0	3	0	3	2	1	3	1	3	2	4	1	0	0	0	0	2	5	0	1	3	0	6	2	7	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	450	11	25	6	4	5	2	23	6	3	5	5	36	2	10	7	7	46	27	3	46	53	2	0	27	1	72	5	8	3									
		4.70%	3.09%	16.78%	1.56%	2.14%	1.04%	0.71%	6.18%	2.69%	1.37%	2.58%	5.10%	5.31%	0.52%	2.79%	2.66%	4.05%	7.65%	7.34%	0.93%	7.59%	8.76%	1.61%	0.00%	9.12%	1.52%	14.88%	1.63%	1.04%	3.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	165	10	5	8	3	10	5	4	7	8	7	0	15	4	4	6	1	4	11	4	5	2	1	1	5	1	6	5	19	4									
		1.72%	2.81%	3.36%	2.08%	1.60%	2.08%	1.77%	1.08%	3.14%	3.65%	3.61%	0.00%	2.21%	1.03%	1.11%	2.28%	0.58%	0.67%	2.99%	1.23%	0.83%	0.33%	0.81%	0.84%	1.69%	1.52%	1.24%	1.63%	2.47%	4.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	106	2	4	6	1	4	4	4	5	4	5	0	7	1	3	2	5	3	1	2	3	2	0	1	7	0	11	4	12	3									
		1.11%	0.56%	2.68%	1.56%	0.53%	0.83%	1.41%	1.08%	2.24%	1.83%	2.58%	0.00%	1.03%	0.26%	0.84%	0.76%	2.89%	0.50%	0.27%	0.62%	0.50%	0.33%	0.00%	0.84%	2.36%	0.00%	2.27%	1.30%	1.56%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6747	216	62	271	134	377	185	252	172	128	129	79	462	312	300	207	107	445	255	255	428	365	110	103	201	53	317	216	548	58									
		70.46%	60.67%	41.61%	70.39%	71.66%	78.38%	65.37%	67.74%	77.13%	58.45%	66.49%	80.61%	68.14%	80.62%	83.57%	78.71%	61.85%	74.04%	69.29%	78.70%	70.63%	60.33%	88.71%	86.55%	67.91%	80.30%	65.50%	70.36%	71.26%	58.59%									
