Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Сургутская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК  278	УИК  279					
1	"Число избирателей, внесенных в список"	70003	1654	2539	2739	541	396	30	92	1451	3116	1114	1359	1403	1296	1192	568	1506	1439	1714	1958	2118	2901	1965	2260	1575	164	1078	2692	2523	2368	1322	1919	1168	2492	1964	1855	1812	2841	3064	1753	395	524	89	806	155	1736	125	232					
2	Число полученных избирательных бюллетеней	64360	1600	2400	2400	500	350	30	100	1300	2800	1000	1300	1300	1200	1100	550	1400	1400	1600	1800	1900	2600	1800	2000	1500	150	900	2600	2200	2000	1200	1800	1100	2200	1800	1800	1700	2700	2900	1600	380	500	80	750	140	1600	120	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	700	0	0	209	0	0	0	3	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	46	0	0	0	45	0	0	0	0	0	0	0	0	0	0	14	0	177	46	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43064	801	1308	1131	378	267	27	74	891	1827	574	739	755	740	686	232	837	790	1148	1208	1382	1926	1337	1577	886	88	503	2228	1777	1582	769	1106	708	1584	1279	1235	1198	1983	1975	1082	360	384	67	497	107	791	66	174					
5	"Число избирательных бюллетеней, выданных вне помещения"	401	38	4	13	2	2	0	0	32	8	24	14	7	8	4	7	6	4	8	1	16	8	9	12	19	0	1	7	35	4	1	0	2	6	6	4	3	13	12	6	0	11	0	36	0	8	0	0					
6	Число погашенных избирательных бюллетеней	20195	761	1088	1047	120	81	3	23	345	965	402	547	538	452	410	311	557	606	444	591	502	666	454	411	595	62	268	365	342	414	430	694	345	610	515	561	499	704	913	512	20	105	13	203	33	624	8	36					
7	Число избирательных бюллетеней в переносных ящиках	1101	38	4	222	2	2	0	3	64	8	24	14	7	8	4	7	6	4	8	1	16	8	9	12	19	0	129	7	81	4	1	0	47	6	6	4	3	13	12	6	0	11	0	50	0	185	46	0					
8	Число бюллетеней в стационарных ящиках для голосования	43025	801	1306	1131	378	266	27	74	891	1824	574	739	755	740	686	232	837	788	1148	1208	1382	1926	1331	1577	886	88	503	2228	1777	1561	769	1106	707	1584	1279	1235	1198	1981	1974	1082	360	384	67	497	107	791	66	174					
9	Число недействительных избирательных бюллетеней	462	11	23	15	1	2	0	2	10	27	7	8	3	7	4	5	11	8	19	14	14	25	8	16	4	5	6	14	14	17	10	15	11	12	14	13	13	11	20	11	3	5	2	5	2	12	0	3					
10	Число действительных избирательных бюллетеней	43664	828	1287	1338	379	266	27	75	945	1805	591	745	759	741	686	234	832	784	1137	1195	1384	1909	1332	1573	901	83	626	2221	1844	1548	760	1091	743	1578	1271	1226	1188	1983	1966	1077	357	390	65	542	105	964	112	171					
11	Число полученных открепительных  удостоверений	563	7	7	7	6	7	3	3	15	25	10	10	10	10	10	5	10	10	10	10	17	15	10	10	5	3	6	20	20	20	20	6	20	20	20	20	20	34	20	20	5	5	3	5	5	25	10	4					
12	Число выданных открепительных удостоверений	365	7	7	7	6	7	0	0	13	25	7	4	4	3	3	3	5	6	5	10	14	15	10	10	4	0	3	20	20	15	7	4	9	8	16	9	3	19	18	4	2	5	2	3	0	21	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	602	12	9	5	23	40	0	2	10	26	8	2	1	3	3	0	3	1	5	11	12	9	7	1	12	8	35	74	65	31	5	6	7	32	21	5	0	16	10	17	0	2	0	1	1	48	0	13					
14	Число неиспользованных открепительных удостоверений	198	0	0	0	0	0	3	3	2	0	3	6	6	7	7	2	5	4	5	0	3	0	0	0	1	3	3	0	0	5	13	2	11	12	4	11	17	15	2	16	3	0	1	2	5	4	10	2					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	1147	22	27	33	7	7	1	1	50	49	10	22	14	37	20	3	22	19	26	27	31	46	43	44	28	8	11	63	39	36	12	22	30	42	34	27	35	52	55	17	4	9	0	20	0	36	0	6					
		2.60%	2.62%	2.06%	2.44%	1.84%	2.61%	3.70%	1.30%	5.24%	2.67%	1.67%	2.92%	1.84%	4.95%	2.90%	1.26%	2.61%	2.40%	2.25%	2.23%	2.22%	2.38%	3.21%	2.77%	3.09%	9.09%	1.74%	2.82%	2.10%	2.30%	1.56%	1.99%	3.98%	2.64%	2.65%	2.18%	2.91%	2.61%	2.77%	1.56%	1.11%	2.28%	0.00%	3.66%	0.00%	3.69%	0.00%	3.45%					
19	. Малышкин Олег Александрович	1578	52	47	77	11	11	0	0	46	85	19	23	35	25	26	7	40	37	64	55	68	83	57	52	54	2	11	56	56	43	26	26	31	50	48	30	30	42	47	32	8	6	0	13	1	36	1	9					
		3.58%	6.20%	3.59%	5.69%	2.89%	4.10%	0.00%	0.00%	4.82%	4.64%	3.18%	3.05%	4.59%	3.34%	3.77%	2.93%	4.74%	4.67%	5.54%	4.55%	4.86%	4.29%	4.25%	3.27%	5.97%	2.27%	1.74%	2.51%	3.01%	2.75%	3.38%	2.35%	4.11%	3.14%	3.74%	2.42%	2.50%	2.11%	2.37%	2.94%	2.22%	1.52%	0.00%	2.38%	0.93%	3.69%	0.89%	5.17%					
20	. Миронов Сергей Михайлович	239	4	11	7	1	2	1	0	6	6	6	2	5	3	2	3	3	2	3	13	11	13	5	6	3	1	7	9	15	3	6	5	5	8	8	5	8	5	9	7	0	4	0	2	0	13	0	1					
		0.54%	0.48%	0.84%	0.52%	0.26%	0.75%	3.70%	0.00%	0.63%	0.33%	1.00%	0.27%	0.66%	0.40%	0.29%	1.26%	0.36%	0.25%	0.26%	1.08%	0.79%	0.67%	0.37%	0.38%	0.33%	1.14%	1.11%	0.40%	0.81%	0.19%	0.78%	0.45%	0.66%	0.50%	0.62%	0.40%	0.67%	0.25%	0.45%	0.64%	0.00%	1.01%	0.00%	0.37%	0.00%	1.33%	0.00%	0.57%					
21	. Путин Владимир Владимирович	34895	650	1008	1026	312	210	24	68	712	1439	476	592	591	582	536	192	629	614	890	890	1088	1439	1029	1221	717	54	537	1853	1527	1293	607	899	584	1286	986	1017	967	1624	1588	893	314	333	62	456	98	742	105	135					
		79.08%	77.47%	76.95%	75.83%	82.11%	78.36%	88.89%	88.31%	74.55%	78.55%	79.60%	78.62%	77.56%	77.81%	77.68%	80.33%	74.61%	77.53%	76.99%	73.61%	77.83%	74.41%	76.79%	76.84%	79.23%	61.36%	84.97%	82.91%	82.19%	82.62%	78.83%	81.28%	77.45%	80.88%	76.73%	82.08%	80.52%	81.44%	79.96%	82.08%	87.22%	84.30%	92.54%	83.36%	91.59%	76.02%	93.75%	77.59%					
22	. Хакамада Ирина Муцуовна	1752	29	49	52	23	16	0	0	23	75	26	34	32	27	34	11	47	35	44	47	49	78	63	76	40	5	18	84	54	53	27	37	27	58	60	55	51	119	94	31	0	13	2	8	1	39	0	6					
		3.97%	3.46%	3.74%	3.84%	6.05%	5.97%	0.00%	0.00%	2.41%	4.09%	4.35%	4.52%	4.20%	3.61%	4.93%	4.60%	5.58%	4.42%	3.81%	3.89%	3.51%	4.03%	4.70%	4.78%	4.42%	5.68%	2.85%	3.76%	2.91%	3.39%	3.51%	3.35%	3.58%	3.65%	4.67%	4.44%	4.25%	5.97%	4.73%	2.85%	0.00%	3.29%	2.99%	1.46%	0.93%	4.00%	0.00%	3.45%					
23	. Харитонов Николай Михайлович	2665	51	97	91	15	12	1	4	72	100	39	34	60	37	43	13	60	46	59	89	86	177	79	101	34	2	21	113	111	84	60	71	40	91	91	70	69	89	121	73	27	18	0	37	4	61	2	10					
		6.04%	6.08%	7.40%	6.73%	3.95%	4.48%	3.70%	5.19%	7.54%	5.46%	6.52%	4.52%	7.87%	4.95%	6.23%	5.44%	7.12%	5.81%	5.10%	7.36%	6.15%	9.15%	5.90%	6.36%	3.76%	2.27%	3.32%	5.06%	5.97%	5.37%	7.79%	6.42%	5.31%	5.72%	7.08%	5.65%	5.75%	4.46%	6.09%	6.71%	7.50%	4.56%	0.00%	6.76%	3.74%	6.25%	1.79%	5.75%					
																																																						
24	Против всех	1388	20	48	52	10	8	0	2	36	51	15	38	22	30	25	5	31	31	51	74	51	73	56	73	25	11	21	43	42	36	22	31	26	43	44	22	28	52	52	24	4	7	1	6	1	37	4	4					
		3.15%	2.38%	3.66%	3.84%	2.63%	2.99%	0.00%	2.60%	3.77%	2.78%	2.51%	5.05%	2.89%	4.01%	3.62%	2.09%	3.68%	3.91%	4.41%	6.12%	3.65%	3.77%	4.18%	4.59%	2.76%	12.50%	3.32%	1.92%	2.26%	2.30%	2.86%	2.80%	3.45%	2.70%	3.42%	1.78%	2.33%	2.61%	2.62%	2.21%	1.11%	1.77%	1.49%	1.10%	0.93%	3.79%	3.57%	2.30%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
