Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Ордынская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898					
1	"Число избирателей, внесенных в списки избирателей"	31478	2555	2563	1578	1842	1715	1075	1787	979	201	912	511	208	587	120	525	171	1261	1110	1195	87	37	1666	131	1038	676	661	421	1211	608	302	651	261	613	252	959	375	543	91					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31075	2377	2400	1500	1700	1680	1050	1790	970	308	900	770	208	590	121	534	170	1280	1112	1175	84	44	1570	134	1054	680	664	437	1206	604	301	638	254	626	249	950	342	521	82					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17979	1396	1417	831	993	993	504	1188	571	181	549	456	155	331	93	303	104	825	666	611	56	32	843	75	541	353	387	250	715	334	178	320	194	314	144	498	191	330	57					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1791	122	86	40	36	82	53	67	65	20	34	55	8	28	4	23	14	50	83	65	4	5	135	18	65	47	52	46	81	48	54	64	22	44	24	52	46	43	6					
6	Число погашенных избирательных бюллетеней	11305	859	897	629	671	605	493	535	334	107	317	259	45	231	24	208	52	405	363	499	24	7	592	41	448	280	225	141	410	222	69	254	38	268	81	400	105	148	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1791	122	86	40	36	82	53	67	65	20	34	55	8	28	4	23	14	50	83	65	4	5	135	18	65	47	52	46	81	48	54	64	22	44	24	52	46	43	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17975	1394	1417	830	993	993	504	1188	571	181	549	456	155	331	93	303	104	825	666	611	56	32	843	75	541	353	386	250	715	334	178	320	194	314	144	498	191	330	57					
9	Число недействительных избирательных бюллетеней	198	12	20	15	13	8	11	10	4	4	3	1	0	4	1	3	0	5	8	5	0	1	10	1	12	4	6	2	8	0	2	7	2	5	0	2	4	5	0					
10	Число действительных избирательных бюллетеней	19568	1504	1483	855	1016	1067	546	1245	632	197	580	510	163	355	96	323	118	870	741	671	60	36	968	92	594	396	432	294	788	382	230	377	214	353	168	548	233	368	63					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	298	18	25	8	8	12	5	17	9	3	9	7	2	5	2	5	2	7	19	11	2	2	15	3	10	6	8	4	16	6	8	6	2	15	1	9	3	6	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	253	16	25	8	7	12	4	17	9	3	9	6	1	4	2	3	0	7	19	6	2	0	15	3	3	6	8	4	16	4	8	6	2	13	0	1	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	259	18	11	5	9	6	2	8	3	5	0	5	1	1	1	2	1	5	10	3	2	1	111	1	4	1	3	0	3	11	6	0	3	1	1	3	7	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	45	2	0	0	1	0	1	0	0	0	0	1	1	1	0	2	2	0	0	5	0	2	0	0	7	0	0	0	0	2	0	0	0	2	1	8	3	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	1.Политическая партия «Аграрная партия России»	667	59	31	36	29	40	13	47	12	2	10	6	0	17	2	14	2	25	36	21	0	2	42	4	39	21	17	11	27	10	9	29	4	15	3	12	4	13	3					
		3.37%	3.89%	2.06%	4.14%	2.82%	3.72%	2.33%	3.75%	1.89%	0.99%	1.72%	1.17%	0.00%	4.74%	2.06%	4.29%	1.69%	2.86%	4.81%	3.11%	0.00%	5.41%	4.29%	4.30%	6.44%	5.25%	3.88%	3.72%	3.39%	2.62%	3.88%	7.55%	1.85%	4.19%	1.79%	2.18%	1.69%	3.49%	4.76%					
