Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Свечинская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027					
1	"Число избирателей, внесенных в списки избирателей"	7401	1924	993	1085	160	75	89	455	191	152	304	139	827	277	174	556					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7736	1988	1028	1089	163	91	100	504	199	169	310	173	875	288	178	581					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4881	1305	624	682	122	53	72	306	139	121	183	92	518	200	126	338					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	831	87	94	100	19	9	11	71	22	21	75	13	116	51	18	124					
6	Число погашенных избирательных бюллетеней	2024	596	310	307	22	29	17	127	38	27	52	68	241	37	34	119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	831	87	94	100	19	9	11	71	22	21	75	13	116	51	18	124					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4879	1305	624	680	122	53	72	306	139	121	183	92	518	200	126	338					
9	Число недействительных избирательных бюллетеней	66	16	11	3	4	1	0	1	1	2	5	2	9	0	3	8					
10	Число действительных избирательных бюллетеней	5644	1376	707	777	137	61	83	376	160	140	253	103	625	251	141	454					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	382	50	42	17	9	17	7	40	16	19	12	31	35	27	12	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	382	50	42	17	9	17	7	40	16	19	12	31	35	27	12	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	153	32	20	22	3	2	3	12	6	4	3	6	13	7	3	17					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	9	5	6	0	0	0	0	1	0	0	0	4	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	679	131	48	61	23	6	11	71	24	39	27	8	77	25	29	99					
		11.89%	9.41%	6.69%	7.82%	16.31%	9.68%	13.25%	18.83%	14.91%	27.46%	10.47%	7.62%	12.15%	9.96%	20.14%	21.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	7	6	5	0	0	0	1	0	1	1	0	6	3	1	0					
		0.54%	0.50%	0.84%	0.64%	0.00%	0.00%	0.00%	0.27%	0.00%	0.70%	0.39%	0.00%	0.95%	1.20%	0.69%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	1	1	1	0	0	0	2	0	1	0	0	0	0	2	1					
		0.16%	0.07%	0.14%	0.13%	0.00%	0.00%	0.00%	0.53%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	1.39%	0.22%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	439	114	62	68	6	4	2	28	12	5	25	7	52	23	14	17					
		7.69%	8.19%	8.64%	8.72%	4.26%	6.45%	2.41%	7.43%	7.45%	3.52%	9.69%	6.67%	8.20%	9.16%	9.72%	3.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	28	13	0	6	0	0	0	0	0	4	0	0	4	1	0	0					
		0.49%	0.93%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	2.82%	0.00%	0.00%	0.63%	0.40%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	14	2	4	0	0	0	0	0	0	1	3	0	3	0	0	1					
		0.25%	0.14%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	1.16%	0.00%	0.47%	0.00%	0.00%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	677	186	103	98	20	7	7	37	17	13	32	7	71	16	14	49					
		11.86%	13.36%	14.35%	12.56%	14.18%	11.29%	8.43%	9.81%	10.56%	9.15%	12.40%	6.67%	11.20%	6.37%	9.72%	10.61%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	428	140	48	73	3	2	10	20	6	3	12	6	49	24	12	20					
		7.50%	10.06%	6.69%	9.36%	2.13%	3.23%	12.05%	5.31%	3.73%	2.11%	4.65%	5.71%	7.73%	9.56%	8.33%	4.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	50	14	5	5	1	1	0	3	2	0	7	1	7	1	1	2					
		0.88%	1.01%	0.70%	0.64%	0.71%	1.61%	0.00%	0.80%	1.24%	0.00%	2.71%	0.95%	1.10%	0.40%	0.69%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3253	751	429	457	84	40	53	208	98	73	146	71	352	158	68	265					
		56.97%	53.95%	59.75%	58.59%	59.57%	64.52%	63.86%	55.17%	60.87%	51.41%	56.59%	67.62%	55.52%	62.95%	47.22%	57.36%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	36	17	1	3	0	1	0	6	1	0	0	3	4	0	0	0					
		0.63%	1.22%	0.14%	0.38%	0.00%	1.61%	0.00%	1.59%	0.62%	0.00%	0.00%	2.86%	0.63%	0.00%	0.00%	0.00%					
																						
																						
																						
