Выборы Президента Российской Федерации																				
																				
"Наименование Избирательной комиссии:    Самара, Самарская"																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935					
1	"Число избирателей, внесенных в список"	24746	1828	1877	2386	1658	2054	1936	1919	2480	2007	1908	1772	1692	1229					
2	Число полученных избирательных бюллетеней	22341	1736	1590	2133	1490	1913	1733	1734	2273	1784	1745	1580	1570	1060					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11911	913	1058	1147	749	890	909	916	1140	995	911	907	772	604					
5	"Число избирательных бюллетеней, выданных вне помещения"	718	51	96	73	36	42	51	42	32	54	59	35	64	83					
6	Число погашенных избирательных бюллетеней	9712	772	436	913	705	981	773	776	1101	735	775	638	734	373					
7	Число избирательных бюллетеней в переносных ящиках	718	51	96	73	36	42	51	42	32	54	59	35	64	83					
8	Число бюллетеней в стационарных ящиках для голосования	11910	913	1058	1147	749	890	909	916	1140	995	911	906	772	604					
9	Число недействительных избирательных бюллетеней	155	15	21	10	5	8	8	9	21	7	13	10	14	14					
10	Число действительных избирательных бюллетеней	12473	949	1133	1210	780	924	952	949	1151	1042	957	931	822	673					
11	Число полученных открепительных  удостоверений	375	30	30	30	40	25	30	30	45	30	20	15	30	20					
12	Число выданных открепительных удостоверений	260	15	15	18	29	17	23	21	35	20	15	13	22	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	306	19	45	18	31	24	18	17	22	19	22	32	24	15					
14	Число неиспользованных открепительных удостоверений	115	15	15	12	11	8	7	9	10	10	5	2	8	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	1	0	0	1	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	596	41	39	62	33	51	52	57	47	41	42	53	43	35					
		4.72%	4.25%	3.38%	5.08%	4.20%	5.47%	5.42%	5.95%	4.01%	3.91%	4.33%	5.63%	5.14%	5.09%					
19	. Малышкин Олег Александрович	257	19	22	24	17	20	18	30	23	19	22	12	19	12					
		2.04%	1.97%	1.91%	1.97%	2.17%	2.15%	1.88%	3.13%	1.96%	1.81%	2.27%	1.28%	2.27%	1.75%					
20	. Миронов Сергей Михайлович	113	4	8	8	10	8	10	6	6	13	12	10	6	12					
		0.89%	0.41%	0.69%	0.66%	1.27%	0.86%	1.04%	0.63%	0.51%	1.24%	1.24%	1.06%	0.72%	1.75%					
21	. Путин Владимир Владимирович	8026	603	826	772	523	598	600	555	753	658	615	592	501	430					
		63.56%	62.55%	71.58%	63.28%	66.62%	64.16%	62.50%	57.93%	64.25%	62.73%	63.40%	62.91%	59.93%	62.59%					
22	. Хакамада Ирина Муцуовна	1137	88	47	77	48	68	92	88	99	133	111	96	114	76					
		9.00%	9.13%	4.07%	6.31%	6.11%	7.30%	9.58%	9.19%	8.45%	12.68%	11.44%	10.20%	13.64%	11.06%					
23	. Харитонов Николай Михайлович	1684	144	118	209	107	139	131	151	155	126	100	120	109	75					
		13.34%	14.94%	10.23%	17.13%	13.63%	14.91%	13.65%	15.76%	13.23%	12.01%	10.31%	12.75%	13.04%	10.92%					
																				
24	Против всех	660	50	73	58	42	40	49	62	68	52	55	48	30	33					
		5.23%	5.19%	6.33%	4.75%	5.35%	4.29%	5.10%	6.47%	5.80%	4.96%	5.67%	5.10%	3.59%	4.80%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
