Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Нагайбакская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785					
1	"Число избирателей, внесенных в списки избирателей"	16474	933	143	463	181	134	131	824	188	161	646	234	222	88	99	621	162	231	161	222	1473	238	230	1520	251	205	182	463	200	243	1621	1671	135	250	245	184	1519					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15650	900	130	400	180	130	120	800	170	160	600	220	220	80	90	600	150	220	150	220	1500	250	220	1400	240	200	150	440	180	220	1500	1550	130	240	230	160	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11278	746	122	291	139	106	102	621	149	138	446	167	172	67	69	435	99	211	117	186	956	193	164	976	179	156	125	331	168	181	964	1044	95	179	188	138	858					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	887	50	4	46	18	1	13	40	13	10	40	5	21	2	11	21	14	5	15	5	88	25	19	79	29	11	10	23	7	8	74	57	7	13	0	4	99					
6	Число погашенных избирательных бюллетеней	3485	104	4	63	23	23	5	139	8	12	114	48	27	11	10	144	37	4	18	29	456	32	37	345	32	33	15	86	5	31	462	449	28	48	42	18	543					
7	Число избирательных бюллетеней в переносных ящиках для голосования	887	50	4	46	18	1	13	40	13	10	40	5	21	2	11	21	14	5	15	5	88	25	19	79	29	11	10	23	7	8	74	57	7	13	0	4	99					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11277	746	122	291	139	106	102	620	149	138	446	167	172	67	69	435	99	211	117	186	956	193	164	976	179	156	125	331	168	181	964	1044	95	179	188	138	858					
9	Число недействительных избирательных бюллетеней	120	3	0	8	2	0	4	5	0	1	5	1	3	0	0	3	5	0	0	2	5	2	0	9	2	3	5	3	0	2	10	20	0	4	1	0	12					
10	Число действительных избирательных бюллетеней	12044	793	126	329	155	107	111	655	162	147	481	171	190	69	80	453	108	216	132	189	1039	216	183	1046	206	164	130	351	175	187	1028	1081	102	188	187	142	945					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	361	10	3	5	9	3	3	15	3	19	11	3	3	3	3	10	3	3	3	3	40	33	3	13	19	11	3	5	3	3	35	39	3	10	3	3	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	293	10	3	5	5	3	3	15	0	17	11	3	2	0	0	10	3	3	3	3	40	30	3	13	17	11	0	5	0	1	25	22	3	4	0	0	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	128	1	4	3	1	2	5	0	0	4	7	2	2	1	3	8	3	1	1	2	3	3	1	10	0	4	6	2	3	0	15	22	0	2	2	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	68	0	0	0	4	0	0	0	3	2	0	0	1	3	3	0	0	0	0	0	0	3	0	0	2	0	3	0	3	2	10	17	0	6	3	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
