Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Злынковская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в список избирателей"	9582	306	1062	861	1561	1610	1219	254	380	285	385	282	153	281	313	383	247					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9400	300	1050	850	1550	1650	1200	250	350	300	350	250	150	250	300	350	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5360	173	662	500	810	860	611	174	256	164	276	175	86	105	130	225	153					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1278	91	144	141	139	244	147	42	48	29	34	34	10	61	54	46	14					
6	Число погашенных избирательных бюллетеней	2762	36	244	209	601	546	442	34	46	107	40	41	54	84	116	79	83					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1278	91	144	141	139	244	147	42	48	29	34	34	10	61	54	46	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5360	173	662	500	810	860	611	174	256	164	276	175	86	105	130	225	153					
9	Число недействительных избирательных бюллетеней	97	4	19	9	15	11	11	2	3	0	3	6	4	0	0	4	6					
10	Число действительных избирательных бюллетеней	6541	260	787	632	934	1093	747	214	301	193	307	203	92	166	184	267	161					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	128	7	13	13	14	22	5	4	5	5	5	5	4	5	1	5	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	128	7	13	13	14	22	5	4	5	5	5	5	4	5	1	5	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	0	3	0	2	3	5	3	4	0	1	1	0	1	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	2	0	1	14	1	0	0	1	0	0	0	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	490	15	87	72	88	10	68	14	15	25	9	12	8	15	16	22	14					
		7.38%	5.68%	10.79%	11.23%	9.27%	0.91%	8.97%	6.48%	4.93%	12.95%	2.90%	5.74%	8.33%	9.04%	8.70%	8.12%	8.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	314	24	65	38	4	0	42	17	21	13	11	14	4	14	14	18	15					
		4.73%	9.09%	8.06%	5.93%	0.42%	0.00%	5.54%	7.87%	6.91%	6.74%	3.55%	6.70%	4.17%	8.43%	7.61%	6.64%	8.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	4	6	3	8	0	2	3	2	2	3	4	1	2	4	2	3					
		0.74%	1.52%	0.74%	0.47%	0.84%	0.00%	0.26%	1.39%	0.66%	1.04%	0.97%	1.91%	1.04%	1.20%	2.17%	0.74%	1.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	870	20	136	96	131	83	119	26	35	25	34	18	7	24	37	52	27					
		13.11%	7.58%	16.87%	14.98%	13.80%	7.52%	15.70%	12.04%	11.51%	12.95%	10.97%	8.61%	7.29%	14.46%	20.11%	19.19%	16.17%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	1	11	4	13	0	8	2	3	3	3	0	0	0	0	1	3					
		0.78%	0.38%	1.36%	0.62%	1.37%	0.00%	1.06%	0.93%	0.99%	1.55%	0.97%	0.00%	0.00%	0.00%	0.00%	0.37%	1.80%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4744	194	481	416	686	1000	503	152	225	125	245	155	70	111	112	170	99					
		71.47%	73.48%	59.68%	64.90%	72.29%	90.58%	66.36%	70.37%	74.01%	64.77%	79.03%	74.16%	72.92%	66.87%	60.87%	62.73%	59.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	2	1	3	4	0	5	0	0	0	2	0	2	0	1	2	0					
		0.33%	0.76%	0.12%	0.47%	0.42%	0.00%	0.66%	0.00%	0.00%	0.00%	0.65%	0.00%	2.08%	0.00%	0.54%	0.74%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
