Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Канская городская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72238	1348	2660	1750	2966	2556	2481	2564	1849	1214	2040	2798	2727	2079	1727	1551	2397	727	2517	2066	1848	2323	2860	2816	2766	2551	2732	2419	2078	2125	1930	2834	2582	357									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70909	1314	2589	1713	2929	2490	2450	2520	1831	1186	2015	2712	2684	2029	1704	1525	2311	699	2436	2025	1801	2234	2827	2788	2756	2472	2693	2387	2036	2101	1894	2810	2566	382									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22446	396	683	362	773	805	880	898	619	311	565	619	830	498	567	528	984	251	595	534	484	680	1044	1132	999	778	990	759	734	724	633	740	694	357									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	13	15	12	6	28	31	31	25	15	12	3	33	8	10	8	13	3	14	16	11	12	15	13	21	147	19	27	18	30	21	8	10	0									
6	Число погашенных избирательных бюллетеней	47815	905	1891	1339	2150	1657	1539	1591	1187	860	1438	2090	1821	1523	1127	989	1314	445	1827	1475	1306	1542	1768	1643	1736	1547	1684	1601	1284	1347	1240	2062	1862	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	648	13	15	12	6	28	31	31	25	15	12	3	33	8	10	8	13	3	14	16	11	12	15	13	21	147	19	27	18	30	21	8	10	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22432	396	681	362	773	802	878	898	619	311	565	616	830	496	567	528	984	251	595	534	484	680	1044	1132	999	778	988	759	734	724	633	740	694	357									
9	Число недействительных избирательных бюллетеней	750	11	25	16	19	33	28	24	30	10	18	17	27	19	8	23	40	9	26	17	14	17	31	27	32	34	54	22	17	15	21	19	22	25									
10	Число действительных избирательных бюллетеней	22330	398	671	358	760	797	881	905	614	316	559	602	836	485	569	513	957	245	583	533	481	675	1028	1118	988	891	953	764	735	739	633	729	682	332									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	960	34	35	21	34	34	34	35	20	20	20	35	35	23	21	21	34	15	35	34	21	23	35	35	35	35	35	35	35	35	21	35	35	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	457	17	14	5	13	14	19	12	13	7	11	11	10	4	19	10	34	4	16	10	5	9	17	18	26	13	23	21	18	11	17	11	25	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	292	13	7	3	12	9	10	12	7	4	8	7	10	6	10	9	9	5	13	8	5	4	5	7	10	8	7	16	11	13	5	3	2	34									
14	Число погашенных неиспользованных открепительных удостоверений	503	17	21	16	21	20	15	23	7	13	9	24	25	19	2	11	0	11	19	24	16	14	18	17	9	22	12	14	17	24	4	24	10	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	1	2	0	4	1	3	3	3	0	1	0	3	0	1	0	3	0	1	0	1	1	0	1	2	2	1	0	0	1	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	525	11	13	7	26	13	24	31	13	4	13	21	25	9	11	8	17	6	19	15	6	20	21	27	35	19	14	10	24	20	11	14	11	7									
		2.27%	2.69%	1.87%	1.87%	3.34%	1.57%	2.64%	3.34%	2.02%	1.23%	2.25%	3.39%	2.90%	1.79%	1.91%	1.49%	1.71%	2.36%	3.12%	2.73%	1.21%	2.89%	1.98%	2.36%	3.43%	2.05%	1.39%	1.27%	3.19%	2.65%	1.68%	1.87%	1.56%	1.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	869	21	23	11	30	29	35	40	21	10	15	15	38	17	26	24	25	15	9	27	15	19	40	52	38	50	35	40	32	42	17	23	31	4									
		3.77%	5.13%	3.30%	2.94%	3.85%	3.49%	3.85%	4.31%	3.26%	3.07%	2.60%	2.42%	4.40%	3.37%	4.51%	4.48%	2.51%	5.91%	1.48%	4.91%	3.03%	2.75%	3.78%	4.54%	3.73%	5.41%	3.48%	5.09%	4.26%	5.57%	2.60%	3.07%	4.40%	1.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	498	7	13	8	8	26	23	26	8	6	9	8	12	7	10	12	11	7	16	7	9	18	25	30	30	26	23	17	11	25	16	18	20	6									
		2.16%	1.71%	1.87%	2.14%	1.03%	3.13%	2.53%	2.80%	1.24%	1.84%	1.56%	1.29%	1.39%	1.39%	1.73%	2.24%	1.10%	2.76%	2.63%	1.27%	1.82%	2.60%	2.36%	2.62%	2.94%	2.81%	2.28%	2.16%	1.46%	3.32%	2.45%	2.41%	2.84%	1.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9392	146	290	168	311	345	328	345	278	141	298	272	366	224	223	226	477	87	246	227	195	266	385	428	419	360	391	321	298	289	271	320	279	172									
		40.69%	35.70%	41.67%	44.92%	39.92%	41.57%	36.08%	37.14%	43.17%	43.25%	51.65%	43.94%	42.41%	44.44%	38.65%	42.16%	47.84%	34.25%	40.39%	41.27%	39.39%	38.44%	36.36%	37.38%	41.08%	38.92%	38.83%	40.84%	39.63%	38.33%	41.44%	42.78%	39.63%	48.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	174	5	7	2	3	5	8	4	8	1	4	1	8	3	3	1	12	4	5	3	1	4	7	6	9	5	8	8	4	7	7	7	10	4									
		0.75%	1.22%	1.01%	0.53%	0.39%	0.60%	0.88%	0.43%	1.24%	0.31%	0.69%	0.16%	0.93%	0.60%	0.52%	0.19%	1.20%	1.57%	0.82%	0.55%	0.20%	0.58%	0.66%	0.52%	0.88%	0.54%	0.79%	1.02%	0.53%	0.93%	1.07%	0.94%	1.42%	1.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	0	3	3	3	2	1	4	1	0	3	0	1	1	2	0	5	0	0	1	0	0	0	5	4	0	1	1	1	2	0	1	3	3									
		0.22%	0.00%	0.43%	0.80%	0.39%	0.24%	0.11%	0.43%	0.16%	0.00%	0.52%	0.00%	0.12%	0.20%	0.35%	0.00%	0.50%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.44%	0.39%	0.00%	0.10%	0.13%	0.13%	0.27%	0.00%	0.13%	0.43%	0.84%									
